Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,20393000,20389000,11100,12700,9500,27269,295.0,218,11100,10700,11100,10700,400,10833,10700,-400.0,-3.6,541,1763,4131,90831.0,27269.0,295.0,58,67,-9,31400,118100,-86700,-,
26/09/2024,20393000,20389000,11100,12700,9500,21923,243.0,222,11100,10900,11400,10900,500,11070,10900,-200.0,-1.8,635,1069,14277,57177.0,21923.0,243.0,57,74,-17,36200,79100,-42900,-,
25/09/2024,20393000,20389000,10700,12300,9100,19890,220.0,224,10800,11000,11500,10700,800,11084,11000,300.0,2.8,705,863,21710,54310.0,19890.0,220.0,59,86,-27,41600,74200,-32600,-,
24/09/2024,20393000,20389000,10900,12500,9300,37295,400.0,220,10900,10800,10900,10600,300,10715,10800,-100.0,-0.92,961,1412,21305,36105.0,37295.0,400.0,61,52,9,58600,73400,-14800,-,
23/09/2024,20393000,20389000,11100,12700,9500,48730,531.0,224,11100,11000,11100,10600,500,10901,11000,-100.0,-0.9,904,1652,25370,47070.0,48730.0,531.0,82,58,24,74100,95800,-21700,-,
20/09/2024,20393000,20389000,11100,12700,9500,25265,280.0,226,11200,11100,11300,11000,300,11098,11100,,,930,1429,31435,49035.0,25265.0,280.0,61,52,9,56700,74300,-17600,-,
19/09/2024,20393000,20389000,11200,12800,9600,12615,140.0,226,11000,11100,11300,11000,300,11090,11100,-100.0,-0.89,817,1063,26585,38385.0,12615.0,140.0,48,48,-,39200,51000,-11800,-,
18/09/2024,20393000,20389000,11100,12700,9500,5311,60.0,228,11400,11200,11400,11000,400,11223,11200,100.0,0.9,554,947,21289,37289.0,5311.0,60.0,48,45,3,26600,42600,-16000,-,
17/09/2024,20393000,20389000,11200,12800,9600,10911,121.0,224,11100,11000,11200,11000,200,11061,11000,-200.0,-1.79,714,2574,19089,79189.0,10911.0,121.0,42,35,7,30000,90100,-60100,-,
16/09/2024,20393000,20389000,11400,13100,9700,46747,523.0,232,11500,11400,11500,11000,500,11193,11400,,,831,1634,31353,59453.0,46747.0,523.0,94,65,29,78100,106200,-28100,-,
13/09/2024,20393000,20389000,11500,13200,9800,32389,369.0,234,11600,11500,11600,11300,300,11387,11500,,,705,1792,19111,75111.0,32389.0,369.0,73,60,13,51500,107500,-56000,-,
12/09/2024,20393000,20389000,11400,13100,9700,11838,136.0,234,11500,11500,11600,11400,200,11492,11500,100.0,0.88,667,1976,20162,77062.0,11838.0,136.0,48,45,3,32000,88900,-56900,-,
11/09/2024,20393000,20389000,11500,13200,9800,52728,600.0,234,11600,11500,11600,11300,300,11376,11500,,,1133,2641,26572,116272.0,52728.0,600.0,70,64,6,79300,169000,-89700,-,
10/09/2024,20393000,20389000,11600,13300,9900,52115,599.0,234,11600,11500,11600,11300,300,11492,11500,-100.0,-0.86,1628,2100,40685,61285.0,52115.0,599.0,57,54,3,92800,113400,-20600,-,
09/09/2024,20393000,20389000,11600,13300,9900,12563,145.0,237,11600,11600,11700,11300,400,11554,11600,,,770,1618,18237,69937.0,12563.0,145.0,40,51,-11,30800,82500,-51700,-,
06/09/2024,20393000,20389000,11400,13100,9700,27066,314.0,237,11400,11600,12200,11400,800,11617,11600,200.0,1.75,910,1768,29334,121434.0,27066.0,314.0,62,84,-22,56400,148500,-92100,-,
05/09/2024,20393000,20389000,11400,13100,9700,61752,704.0,234,11600,11500,11600,11200,400,11396,11500,100.0,0.88,1063,2230,33948,74248.0,61752.0,704.0,90,61,29,95700,136000,-40300,-,
04/09/2024,20393000,20389000,12000,13800,10200,19644,233.0,245,11800,12000,12000,11800,200,11871,11500,,,863,1028,33856,21456.0,19644.0,233.0,62,40,22,53500,41100,12400,-,
30/08/2024,20393000,20389000,12000,13800,10200,20869,250.0,245,12000,12000,12100,11900,200,11958,11500,,,980,1114,37931,52631.0,20869.0,250.0,60,66,-6,58800,73500,-14700,-,
29/08/2024,20393000,20389000,11800,13500,10100,30922,370.0,245,11900,12000,12000,11900,100,11957,11500,200.0,1.69,973,1193,38178,57378.0,30922.0,370.0,71,74,-3,69100,88300,-19200,-,
28/08/2024,20393000,20389000,11900,13600,10200,31538,371.0,241,11900,11800,11900,11700,200,11760,11300,-100.0,-0.84,1311,1819,61562,83062.0,31538.0,371.0,71,63,8,93100,114600,-21500,-,
27/08/2024,20393000,20389000,12000,13800,10200,13361,159.0,243,12000,11900,12000,11800,200,11917,11400,-100.0,-0.83,1229,1353,37039,58339.0,13361.0,159.0,41,53,-12,50400,71700,-21300,-,
26/08/2024,20393000,20389000,12000,13800,10200,31800,381.0,243,12100,11900,12200,11900,300,11969,11400,-100.0,-0.83,1044,1226,27700,44200.0,31800.0,381.0,57,62,-5,59500,76000,-16500,-,
23/08/2024,20393000,20389000,12100,13900,10300,48654,582.0,247,12100,12100,12100,11900,200,11955,11600,,,1330,1426,88346,34046.0,48654.0,582.0,103,58,45,137000,82700,54300,-,
22/08/2024,20393000,20389000,12300,14100,10500,33466,406.0,247,12300,12100,12300,12000,300,12146,11600,-200.0,-1.63,703,1032,29134,40834.0,33466.0,406.0,89,72,17,62600,74300,-11700,-,
21/08/2024,20393000,20389000,12300,14100,10500,102839,1262.0,249,12400,12200,12400,12100,300,12267,11700,-100.0,-0.81,1390,2483,36161,75961.0,102839.0,1262.0,100,72,28,139000,178800,-39800,-,
20/08/2024,20393000,20389000,12200,14000,10400,45936,565.0,251,12200,12300,12500,12200,300,12301,11800,100.0,0.82,1011,1148,50064,56264.0,45936.0,565.0,95,89,6,96000,102200,-6200,-,
19/08/2024,20393000,20389000,12000,13800,10200,25091,305.0,249,12100,12200,12300,12100,200,12165,11700,200.0,1.67,843,1047,31409,56609.0,25091.0,305.0,67,78,-11,56500,81700,-25200,-,
16/08/2024,20393000,20389000,11600,13300,9900,32609,390.0,247,12000,12100,12100,11900,200,11953,11600,500.0,4.31,1092,1203,39491,51591.0,32609.0,390.0,66,70,-4,72100,84200,-12100,-,
15/08/2024,20393000,20389000,12000,13800,10200,33662,392.0,239,11000,11700,12000,11000,1000,11640,11200,-300.0,-2.5,994,1244,63738,31038.0,33662.0,392.0,98,52,46,97400,64700,32700,-,
14/08/2024,20393000,20389000,12000,13800,10200,34738,416.0,245,12100,12000,12400,11700,700,11961,11500,,,751,800,35862,37262.0,34738.0,416.0,94,90,4,70600,72000,-1400,-,
13/08/2024,20393000,20389000,11900,13600,10200,80256,966.0,249,12100,12200,12300,12000,300,12031,11700,300.0,2.52,1562,1413,46244,28544.0,80256.0,966.0,81,77,4,126500,108800,17700,-,
12/08/2024,20393000,20389000,12000,13800,10200,31953,380.0,245,12100,12000,12100,11800,300,11894,11500,,,810,1126,40947,32247.0,31953.0,380.0,90,57,33,72900,64200,8700,-,
09/08/2024,20393000,20389000,12000,13800,10200,1019332,12689.0,247,12300,12100,12300,12000,300,12005,11600,100.0,0.83,994,1148,33368,54168.0,19332.0,232.0,53,64,-11,52700,73500,-20800,1000000,12457.0
08/08/2024,20393000,20389000,11600,13300,9900,69113,827.0,243,12000,11900,12300,11800,500,11961,11400,300.0,2.59,1370,1160,73387,43387.0,69113.0,827.0,104,97,7,142500,112500,30000,-,
07/08/2024,20393000,20389000,11800,13500,10100,1040396,12970.0,243,11800,11900,11900,11500,400,11642,11400,100.0,0.85,580,1691,38504,52604.0,40396.0,470.0,136,55,81,78900,93000,-14100,1000000,12500.0
06/08/2024,20393000,20389000,12200,14000,10400,118844,1398.0,247,12000,12100,12100,11500,600,11767,11600,-100.0,-0.82,818,2024,64456,41056.0,118844.0,1398.0,224,79,145,183300,159900,23400,-,
05/08/2024,20393000,20389000,12500,14300,10700,42875,523.0,245,12800,12000,12800,11800,1000,12186,11500,-500.0,-4.0,564,1077,25325,41125.0,42875.0,523.0,121,78,43,68200,84000,-15800,-,
02/08/2024,20393000,20389000,12400,14200,10600,33396,417.0,261,12800,12800,12900,12100,800,12493,12300,400.0,3.23,635,758,45404,13604.0,33396.0,417.0,124,62,62,78800,47000,31800,-,
01/08/2024,20393000,20389000,13000,14900,11100,77739,965.0,257,13100,12600,13100,12000,1100,12418,12100,-400.0,-3.08,671,1013,54461,26561.0,77739.0,965.0,197,103,94,132200,104300,27900,-,
31/07/2024,20393000,20389000,13300,15200,11400,20837,271.0,269,13100,13200,13600,12800,800,13025,12700,-100.0,-0.75,675,1042,43963,65663.0,20837.0,271.0,96,83,13,64800,86500,-21700,-,
30/07/2024,20393000,20389000,13500,15500,11500,37333,495.0,275,13700,13500,13700,13100,600,13252,13000,,,696,1465,42067,79867.0,37333.0,495.0,114,80,34,79400,117200,-37800,-,
29/07/2024,20393000,20389000,13300,15200,11400,33884,456.0,275,14000,13500,14000,13200,800,13468,13000,200.0,1.5,703,1474,39216,95816.0,33884.0,456.0,104,88,16,73100,129700,-56600,-,
26/07/2024,20393000,20389000,12700,14600,10800,78400,1046.0,273,13000,13400,13500,13000,500,13346,12900,700.0,5.51,1186,930,104300,32300.0,78400.0,1046.0,154,119,35,182700,110700,72000,-,
25/07/2024,20393000,20389000,12600,14400,10800,31635,403.0,265,12600,13000,13000,12500,500,12726,12500,400.0,3.17,793,950,61965,32965.0,31635.0,403.0,118,68,50,93600,64600,29000,-,
24/07/2024,20393000,20389000,12800,14700,10900,40613,510.0,263,12900,12900,13000,12000,1000,12550,12400,100.0,0.78,759,1222,34487,47387.0,40613.0,510.0,99,72,27,75100,88000,-12900,-,
23/07/2024,20393000,20389000,13000,14900,11100,47289,604.0,261,13200,12800,13300,12500,800,12768,12300,-200.0,-1.54,658,1124,36911,50511.0,47289.0,604.0,128,87,41,84200,97800,-13600,-,
22/07/2024,20393000,20389000,13500,15500,11500,23049,300.0,267,13700,13100,13700,12700,1000,13026,12600,-400.0,-2.96,529,816,34051,58551.0,23049.0,300.0,108,100,8,57100,81600,-24500,-,
