Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,20000000,20000000,14900,15900,13900,3600,53.0,290,15000,14500,15100,14500,600,14722.0,14500,-400.0,-2.68,488,320,4100.0,2400.0,3600.0,53.0,16.0,30.0,-14,7800.0,9600.0,-1800,-,
26/09/2024,20000000,20000000,14600,15600,13600,600,8.0,298,14900,14900,14900,14900,-,13333.0,14900,300.0,2.05,400,247,5000.0,1600.0,600.0,8.0,18.0,19.0,-1,7200.0,4700.0,2500,-,
25/09/2024,20000000,20000000,14500,15500,13500,14100,205.0,292,14550,14600,14600,14500,100,14539.0,14600,100.0,0.69,362,502,1400.0,1600.0,14100.0,205.0,82.0,45.0,37,29700.0,22600.0,7100,-,
24/09/2024,20000000,20000000,14200,15150,13250,13600,195.0,290,14400,14500,14500,14250,250,14338.0,14500,300.0,2.11,579,452,2600.0,6400.0,13600.0,195.0,48.0,52.0,-4,27800.0,23500.0,4300,-,
23/09/2024,20000000,20000000,14000,14950,13050,2200,31.0,284,14000,14200,14200,14000,200,14091.0,14200,200.0,1.43,664,420,2700.0,3200.0,2200.0,31.0,22.0,25.0,-3,14600.0,10500.0,4100,-,
20/09/2024,20000000,20000000,13500,14400,12600,5000,68.0,280,13500,14000,14000,13500,500,13600.0,14000,500.0,3.7,426,808,4000.0,3300.0,5000.0,68.0,23.0,37.0,-14,9800.0,29900.0,-20100,-,
19/09/2024,20000000,20000000,14000,14950,13050,1100,14.0,270,14200,13500,14200,13500,700,12727.0,13500,-500.0,-3.57,505,696,3900.0,2400.0,1100.0,14.0,21.0,28.0,-7,10600.0,19500.0,-8900,-,
18/09/2024,20000000,20000000,13300,14200,12400,7700,106.0,280,13300,14000,14000,13300,700,13766.0,14000,700.0,5.26,797,324,3200.0,2200.0,7700.0,106.0,35.0,37.0,-2,27900.0,12000.0,15900,-,
17/09/2024,20000000,20000000,12750,13600,11900,13400,175.0,266,13000,13300,13500,13000,500,13060.0,13300,550.0,4.31,618,632,4000.0,6200.0,13400.0,175.0,74.0,38.0,36,45700.0,24000.0,21700,-,
16/09/2024,20000000,20000000,12400,13250,11550,200,2.0,255,13000,12750,13000,12750,250,10000.0,12800,350.0,2.82,870,400,2200.0,1600.0,200.0,2.0,20.0,15.0,5,17400.0,6000.0,11400,-,
13/09/2024,20000000,20000000,12400,13250,11550,-,,248,12400,12400,12400,12400,-,,12400,,,1060,886,2400.0,4200.0,,,10.0,7.0,3,10600.0,6200.0,4400,-,
12/09/2024,20000000,20000000,11900,12700,11100,600,7.0,248,11800,12400,12700,11800,900,11667.0,12400,500.0,4.2,714,393,7400.0,2700.0,600.0,7.0,35.0,29.0,6,25000.0,11400.0,13600,-,
11/09/2024,20000000,20000000,11900,12700,11100,400,4.0,238,11800,11900,11900,11800,100,10000.0,11900,,,414,533,1600.0,1200.0,400.0,4.0,21.0,3.0,18,8700.0,1600.0,7100,-,
10/09/2024,20000000,20000000,11900,12700,11100,100,1.0,238,11900,11900,11900,11900,-,10000.0,11900,,,612,425,1900.0,1600.0,100.0,1.0,25.0,4.0,21,15300.0,1700.0,13600,-,
09/09/2024,20000000,20000000,11900,12700,11100,-,,238,11900,11900,11900,11900,-,,11900,,,347,500,2200.0,2000.0,,,17.0,4.0,13,5900.0,2000.0,3900,-,
06/09/2024,20000000,20000000,11900,12700,11100,-,,238,11900,11900,11900,11900,-,,11900,,,779,1200,3100.0,1200.0,,,29.0,1.0,28,22600.0,1200.0,21400,-,
05/09/2024,20000000,20000000,11800,12600,11000,3600,42.0,238,11900,11900,11900,11900,-,11667.0,11900,100.0,0.85,338,933,900.0,3900.0,3600.0,42.0,16.0,12.0,4,5400.0,11200.0,-5800,-,
04/09/2024,20000000,20000000,11900,12700,11100,200,2.0,236,11800,11800,11800,11800,-,10000.0,11800,-100.0,-0.84,126,422,500.0,2300.0,200.0,2.0,19.0,9.0,10,2400.0,3800.0,-1400,-,
30/08/2024,20000000,20000000,11900,12700,11100,-,,238,11900,11900,11900,11900,-,,11900,,,77,136,1000.0,1500.0,,,13.0,11.0,2,1000.0,1500.0,-500,-,
29/08/2024,20000000,20000000,11900,12700,11100,-,,238,11900,11900,11900,11900,-,,11900,,,173,455,900.0,3500.0,,,15.0,11.0,4,2600.0,5000.0,-2400,-,
28/08/2024,20000000,20000000,11900,12700,11100,-,,238,11900,11900,11900,11900,-,,11900,,,271,442,2900.0,3000.0,,,17.0,12.0,5,4600.0,5300.0,-700,-,
