Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4863386,4863386,9800,11200,8400,6,0.0,48,9800,9800,9800,9800,-,9800,9800,,,3357,750,23494.0,4494.0,6.0,0.0,7.0,6,1,23500.0,4500,19000,-,
26/09/2024,4863386,4863386,9300,10600,8000,102,1.0,48,9800,9800,9800,9800,-,9800,9800,500.0,5.38,3817,380,22798.0,3698.0,102.0,1.0,6.0,10,-4,22900.0,3800,19100,-,
25/09/2024,4863386,4863386,9300,10600,8000,503,5.0,45,9300,9300,9300,9300,-,9300,9300,,,2578,464,22697.0,4597.0,503.0,5.0,9.0,11,-2,23200.0,5100,18100,-,
24/09/2024,4863386,4863386,9300,10600,8000,9600,89.0,45,9300,9300,9300,9300,-,9300,9300,,,3230,982,22700.0,1200.0,9600.0,89.0,10.0,11,-1,32300.0,10800,21500,-,
23/09/2024,4863386,4863386,9300,10600,8000,1,0.0,45,9300,9100,9300,9300,-,9300,9300,-200.0,-2.15,2650,857,21199.0,5999.0,1.0,0.0,8.0,7,1,21200.0,6000,15200,-,
20/09/2024,4863386,4863386,9300,10600,8000,1,0.0,45,9300,9100,9300,9300,-,9300,9300,-200.0,-2.15,3480,960,34799.0,9599.0,1.0,0.0,10.0,10,-,34800.0,9600,25200,-,
19/09/2024,4863386,4863386,9400,10800,8000,1511,14.0,44,9400,9100,9400,9100,300,9340,9100,-300.0,-3.19,2294,1392,37489.0,16589.0,1511.0,14.0,17.0,13,4,39000.0,18100,20900,-,
18/09/2024,4863386,4863386,9200,10500,7900,5006,47.0,46,9300,9500,9500,9300,200,9400,9500,300.0,3.26,2720,867,35794.0,5394.0,5006.0,47.0,15.0,12,3,40800.0,10400,30400,-,
17/09/2024,4863386,4863386,9200,10500,7900,24,0.0,45,9200,9200,9200,9200,-,9200,9200,,,3530,743,35276.0,5176.0,24.0,0.0,10.0,7,3,35300.0,5200,30100,-,
16/09/2024,4863386,4863386,10800,12400,9200,210,2.0,45,9200,9200,9200,9200,-,9200,9200,-1600.0,-14.81,67,814,,5490.0,210.0,2.0,3.0,7,-4,200.0,5700,-5500,-,
13/09/2024,4863386,4863386,10800,12400,9200,1,0.0,53,10800,10800,10800,10800,-,10800,10800,,,-,360,,3599.0,1.0,0.0,,10,-10,,3600,-3600,-,
12/09/2024,4863386,4863386,10800,12400,9200,9,0.0,53,10800,10800,10800,10800,-,10800,10800,,,-,767,,9191.0,9.0,0.0,,12,-12,,9200,-9200,-,
