Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5657936,5657936,6200,7100,5300,30466,185,35,6400,6200,6400,6000,400,6060,6200,,,998,1633,34434,33234.0,30466,185,65,39,26,64900,63700,1200,-,
26/09/2024,5657936,5657936,6300,7200,5400,15459,96,36,6500,6300,6500,6200,300,6214,6300,,,831,1488,13641,47041.0,15459,96,35,42,-7,29100,62500,-33400,-,
25/09/2024,5657936,5657936,6300,7200,5400,22310,127,36,6500,6400,6500,6300,200,6347,6400,100.0,1.59,2405,784,93690,21690.0,7310,46,42,37,5,101000,29000,72000,15000,81.0
24/09/2024,5657936,5657936,6500,7400,5600,24738,157,36,6300,6400,6600,6100,500,6332,6400,-100.0,-1.54,1038,1380,45862,42862.0,24738,157,68,49,19,70600,67600,3000,-,
23/09/2024,5657936,5657936,6300,7200,5400,14648,96,37,6400,6500,6700,6400,300,6546,6500,200.0,3.17,2871,998,82952,33252.0,14648,96,34,48,-14,97600,47900,49700,-,
20/09/2024,5657936,5657936,6300,7200,5400,9740,61,36,6200,6400,6400,6200,200,6277,6400,100.0,1.59,2153,1000,91460,25260.0,9740,61,47,35,12,101200,35000,66200,-,
19/09/2024,5657936,5657936,6400,7300,5500,86564,544,36,6400,6400,6900,6100,800,6279,6400,,,1431,1775,65136,18136.0,86564,544,106,59,47,151700,104700,47000,-,
18/09/2024,5657936,5657936,7100,8100,6100,60217,387,37,7100,6600,7100,6300,800,6425,6600,-500.0,-7.04,1110,2784,41883,98483.0,60217,387,92,57,35,102100,158700,-56600,-,
17/09/2024,5657936,5657936,7200,8200,6200,443,3,40,7100,7000,7100,7000,100,7075,7000,-200.0,-2.78,843,2392,11357,116757.0,443,3,14,49,-35,11800,117200,-105400,-,
16/09/2024,5657936,5657936,7000,8000,6000,5513,40,40,7200,7100,7700,7100,600,7242,7100,100.0,1.43,524,1654,12287,70587.0,5513,40,34,46,-12,17800,76100,-58300,-,
13/09/2024,5657936,5657936,6800,7800,5800,57783,406,41,6900,7200,7800,6200,1600,7022,7200,400.0,5.88,1151,1072,23917,10817.0,57783,406,71,64,7,81700,68600,13100,-,
12/09/2024,5657936,5657936,6500,7400,5600,21335,145,39,6600,6900,7000,6600,400,6804,6900,400.0,6.15,1086,1465,16665,28465.0,21335,145,35,34,1,38000,49800,-11800,-,
11/09/2024,5657936,5657936,6300,7200,5400,22554,147,38,6300,6800,6800,6200,600,6539,6800,500.0,7.94,1456,1342,34246,37846.0,22554,147,39,45,-6,56800,60400,-3600,-,
10/09/2024,5657936,5657936,5900,6700,5100,37837,237,36,6000,6300,6600,6000,600,6251,6300,400.0,6.78,1229,1335,21163,26263.0,37837,237,48,48,-,59000,64100,-5100,-,
09/09/2024,5657936,5657936,5900,6700,5100,7316,43,33,6000,5900,6000,5900,100,5905,5900,,,1147,1822,14484,34584.0,7316,43,19,23,-4,21800,41900,-20100,-,
06/09/2024,5657936,5657936,5700,6500,4900,6800,40,34,5700,6000,6000,5700,300,5871,6000,300.0,5.26,2787,593,57300,9200.0,6800,40,23,27,-4,64100,16000,48100,-,
05/09/2024,5657936,5657936,5700,6500,4900,5211,30,32,5800,5700,5800,5700,100,5708,5700,,,1288,1089,35989,14389.0,5211,30,32,18,14,41200,19600,21600,-,
04/09/2024,5657936,5657936,5700,6500,4900,29308,168,33,5700,5800,5800,5700,100,5742,5800,100.0,1.75,1390,1971,24892,12092.0,29308,168,39,21,18,54200,41400,12800,-,
30/08/2024,5657936,5657936,5800,6600,5000,31001,178,33,5800,5800,5800,5700,100,5733,5800,,,1094,2033,24799,17799.0,31001,178,51,24,27,55800,48800,7000,-,
29/08/2024,5657936,5657936,6000,6900,5100,10831,63,33,6000,5900,6000,5800,200,5839,5900,-100.0,-1.67,977,1777,18469,28269.0,10831,63,30,22,8,29300,39100,-9800,-,
28/08/2024,5657936,5657936,6100,7000,5200,10710,65,34,6100,6000,6100,6000,100,6039,6000,-100.0,-1.64,978,913,25490,16690.0,10710,65,37,30,7,36200,27400,8800,-,
27/08/2024,5657936,5657936,6100,7000,5200,4011,24,35,6000,6100,6100,6000,100,6078,6100,,,969,730,21189,20089.0,4011,24,26,33,-7,25200,24100,1100,-,
26/08/2024,5657936,5657936,5800,6600,5000,20353,124,34,6000,6000,6200,6000,200,6077,6000,200.0,3.45,1122,1150,40247,9547.0,20353,124,54,26,28,60600,29900,30700,-,
23/08/2024,5657936,5657936,6100,7000,5200,50758,295,34,6000,6000,6000,5800,200,5809,6000,-100.0,-1.64,1366,2559,40742,23442.0,50758,295,67,29,38,91500,74200,17300,-,
