Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,18399823,18399823,18400,21100,15700,2001,37.0,339,18400,18400,18400,18200,200,18320,18400,,,1038,2406,19799,41299.0,2001.0,37.0,21,18,3,21800,43300,-21500,-,
26/09/2024,18399823,18399823,18100,20800,15400,24100,443.0,337,18400,18300,18700,18200,500,18392,18300,200.0,1.1,1059,2077,27800,38200.0,24100.0,443.0,49,30,19,51900,62300,-10400,-,
25/09/2024,18399823,18399823,18300,21000,15600,5716,103.0,339,18100,18400,18400,18100,300,18105,18400,100.0,0.55,1187,1356,21584,15984.0,5716.0,103.0,23,16,7,27300,21700,5600,-,
24/09/2024,18399823,18399823,17800,20400,15200,40995,749.0,339,17800,18400,18400,17800,600,18261,18400,600.0,3.37,1436,1309,43705,28405.0,40995.0,749.0,59,53,6,84700,69400,15300,-,
23/09/2024,18399823,18399823,17800,20400,15200,5610,100.0,328,17800,17800,17800,17800,-,17800,17800,,,1228,689,16490,7490.0,5610.0,100.0,18,19,-1,22100,13100,9000,-,
20/09/2024,18399823,18399823,17800,20400,15200,4200,75.0,326,17800,17700,17800,17700,100,17750,17700,-100.0,-0.56,1116,2217,23700,22400.0,4200.0,75.0,25,12,13,27900,26600,1300,-,
19/09/2024,18399823,18399823,17900,20500,15300,6800,121.0,328,17700,17800,18000,17700,300,17793,17800,-100.0,-0.56,1005,558,31400,3800.0,6800.0,121.0,38,19,19,38200,10600,27600,-,
18/09/2024,18399823,18399823,17900,20500,15300,10610,190.0,331,18000,18000,18000,17900,100,17907,18000,100.0,0.56,1097,1479,25590,10090.0,10610.0,190.0,33,14,19,36200,20700,15500,-,
17/09/2024,18399823,18399823,17500,20100,14900,9410,168.0,331,17600,18000,18000,17500,500,17868,18000,500.0,2.86,1081,1244,24090,12990.0,9410.0,168.0,31,18,13,33500,22400,11100,-,
