Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,84083976,84083976,8600,9400,7800,1503451,13450,740,8700,8800,9200,8700,500,8950,8800,200.0,2.33,2809,3261,266449.0,1408849.0,1503451,13450,630,893,-263,1769900,2912300,-1142400,-,
26/09/2024,84083976,84083976,8800,9600,8000,459461,3985,723,8800,8600,8900,8600,300,8677,8600,-200.0,-2.27,1942,3309,156139.0,1185239.0,459461,3985,317,497,-180,615600,1644700,-1029100,-,
25/09/2024,84083976,84083976,8700,9500,7900,973339,8488,740,8700,8800,8800,8600,200,8717,8800,100.0,1.15,2703,3848,343261.0,919661.0,973339,8488,487,492,-5,1316600,1893000,-576400,-,
24/09/2024,84083976,84083976,8800,9600,8000,561842,4898,732,8800,8700,8900,8600,300,8719,8700,-100.0,-1.14,1927,3707,239858.0,1124758.0,561842,4898,416,455,-39,801700,1686600,-884900,-,
23/09/2024,84083976,84083976,8500,9300,7700,818871,7011,740,8500,8800,8800,8300,500,8535,8800,300.0,3.53,2764,3859,607529.0,848429.0,818871,7011,516,432,84,1426400,1667300,-240900,-,
20/09/2024,84083976,84083976,8700,9500,7900,873201,7586,715,8800,8500,9000,8500,500,8696,8500,-200.0,-2.3,3056,3090,193299.0,1172099.0,873201,7586,349,662,-313,1066500,2045300,-978800,-,
19/09/2024,84083976,84083976,8400,9200,7600,982436,8548,732,8400,8700,8900,8400,500,8701,8700,300.0,3.57,2564,2677,353564.0,746664.0,982436,8548,521,646,-125,1336000,1729100,-393100,-,
18/09/2024,84083976,84083976,8700,9500,7900,683359,5822,706,8700,8400,8800,8400,400,8530,8400,-300.0,-3.45,2171,3354,193641.0,785841.0,683359,5822,404,438,-34,877000,1469200,-592200,-,
17/09/2024,84083976,84083976,8200,9000,7400,818184,6885,732,8200,8700,8700,8100,600,8398,8700,500.0,6.1,3243,2422,725516.0,465216.0,818184,6885,476,530,-54,1543700,1283400,260300,-,
16/09/2024,84083976,84083976,8200,9000,7400,807948,6658,689,8200,8200,8500,8000,500,8243,8200,,,2932,2550,420652.0,553752.0,807948,6658,419,534,-115,1228600,1361700,-133100,-,
13/09/2024,84083976,84083976,7900,8600,7200,815612,6477,689,7800,8200,8200,7700,500,7932,8200,300.0,3.8,3959,2626,506588.0,182088.0,815612,6477,334,380,-46,1322200,997700,324500,-,
12/09/2024,84083976,84083976,7700,8400,7000,520830,4038,664,7800,7900,7900,7600,300,7751,7900,200.0,2.6,2585,3014,551870.0,374270.0,520830,4038,415,297,118,1072700,895100,177600,-,
11/09/2024,84083976,84083976,7900,8600,7200,790802,6092,647,7900,7700,8000,7500,500,7703,7700,-200.0,-2.53,2040,3551,420698.0,306498.0,790802,6092,594,309,285,1211500,1097300,114200,-,
10/09/2024,84083976,84083976,8200,9000,7400,1862274,14615,664,8300,7900,8400,7600,800,7847,7900,-300.0,-3.66,2105,4461,318326.0,363926.0,1862274,14615,1036,499,537,2180600,2226200,-45600,-,
09/09/2024,84083976,84083976,8400,9200,7600,275844,2263,689,8400,8200,8400,8100,300,8204,8200,-200.0,-2.38,1621,2609,317356.0,420856.0,275844,2263,366,267,99,593200,696700,-103500,-,
06/09/2024,84083976,84083976,8300,9100,7500,687516,5613,706,8200,8400,8400,8000,400,8156,8400,100.0,1.2,2140,2810,367284.0,239784.0,687516,5613,493,330,163,1054800,927300,127500,-,
05/09/2024,84083976,84083976,8600,9400,7800,1372330,11464,698,8500,8300,8800,8000,800,8358,8300,-300.0,-3.49,2116,3485,421870.0,457070.0,1372330,11464,848,525,323,1794200,1829400,-35200,-,
04/09/2024,84083976,84083976,8800,9600,8000,1001038,8574,723,8800,8600,8800,8400,400,8563,8600,-200.0,-2.27,2322,3367,324962.0,463662.0,1001038,8574,571,435,136,1326000,1464700,-138700,-,
30/08/2024,84083976,84083976,9000,9900,8100,597860,5285,740,9000,8800,9000,8800,200,8843,8800,-200.0,-2.22,1906,2901,309540.0,603140.0,597860,5285,476,414,62,907400,1201000,-293600,-,
29/08/2024,84083976,84083976,8700,9500,7900,1489822,13581,757,8700,9000,9400,8700,700,9121,9000,300.0,3.45,2547,2536,293078.0,838578.0,1489822,13581,700,918,-218,1782900,2328400,-545500,-,
28/08/2024,84083976,84083976,8600,9400,7800,869964,7448,732,8600,8700,8800,8400,400,8554,8700,100.0,1.16,2159,2839,430036.0,439036.0,869964,7448,602,461,141,1300000,1309000,-9000,-,
27/08/2024,84083976,84083976,8500,9300,7700,894623,7691,723,8500,8600,8800,8400,400,8597,8600,100.0,1.18,2445,2997,369277.0,441877.0,894623,7691,517,446,71,1263900,1336500,-72600,-,
26/08/2024,84083976,84083976,8800,9600,8000,1258026,10867,715,8800,8500,9100,8400,700,8641,8500,-300.0,-3.41,2279,3432,407574.0,629474.0,1258026,10867,731,550,181,1665600,1887500,-221900,-,
23/08/2024,84083976,84083976,8500,9300,7700,3285251,29963,740,8700,8800,9300,8700,600,9131,8800,300.0,3.53,2991,3026,265049.0,596949.0,3285251,29963,1187,1283,-96,3550300,3882200,-331900,-,
22/08/2024,84083976,84083976,7800,8500,7100,2210969,18302,715,7800,8500,8500,7700,800,8277,8500,700.0,8.97,4170,2852,1788531.0,,2210969,18302,959,775,184,3999500,2210000,1789500,-,
21/08/2024,84083976,84083976,7900,8600,7200,577220,4493,656,8000,7800,8100,7600,500,7782,7800,-100.0,-1.27,1711,3211,232180.0,1102380.0,577220,4493,473,523,-50,809400,1679600,-870200,-,
20/08/2024,84083976,84083976,7400,8100,6700,1362106,10491,664,7500,7900,8000,7300,700,7670,7900,500.0,6.76,2675,3398,534394.0,707094.0,1362106,10491,709,609,100,1896500,2069200,-172700,-,
19/08/2024,84083976,84083976,7600,8300,6900,590749,4415,622,7600,7400,7800,7400,400,7475,7400,-200.0,-2.63,2512,3902,411551.0,1020851.0,590749,4415,399,413,-14,1002300,1611600,-609300,-,
16/08/2024,84083976,84083976,7200,7900,6500,1047839,7884,639,7200,7600,7800,7200,600,7523,7600,400.0,5.56,3591,3507,510761.0,870461.0,1047839,7884,434,547,-113,1558600,1918300,-359700,-,
