Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4724632,4724632,6000,6900,5100,43203,223.0,24,6000,5100,6000,5100,900,5166,5100,-900.0,-15.0,745,1809,,18297.0,43203.0,223.0,58.0,34,24,43200.0,61500,-18300,-,
26/09/2024,4724632,4724632,6000,6900,5100,3,0.0,28,6000,6000,6000,6000,-,6000,6000,,,480,1636,4797.0,17997.0,3.0,0.0,10.0,11,-1,4800.0,18000,-13200,-,
25/09/2024,4724632,4724632,6100,7000,5200,108,1.0,28,6000,6000,6000,6000,-,6000,6000,-100.0,-1.64,1454,1220,18792.0,18192.0,108.0,1.0,13.0,15,-2,18900.0,18300,600,-,
24/09/2024,4724632,4724632,6100,7000,5200,13,0.0,29,6100,6100,6100,6100,-,6100,6100,,,463,900,3687.0,16187.0,13.0,0.0,8.0,18,-10,3700.0,16200,-12500,-,
23/09/2024,4724632,4724632,6100,7000,5200,102,1.0,29,6100,6100,6100,6100,-,6100,6100,,,331,1206,4198.0,19198.0,102.0,1.0,13.0,16,-3,4300.0,19300,-15000,-,
20/09/2024,4724632,4724632,6100,7000,5200,500,3.0,29,6100,6100,6100,6100,-,6100,6100,,,359,1118,5600.0,11800.0,500.0,3.0,17.0,11,6,6100.0,12300,-6200,-,
19/09/2024,4724632,4724632,6100,7000,5200,-,,29,6100,6100,6100,6100,-,6100,6100,,,475,1311,5700.0,23600.0,,,12.0,18,-6,5700.0,23600,-17900,-,
18/09/2024,4724632,4724632,6000,6900,5100,1901,12.0,28,6000,6000,6300,6000,300,6111,6000,,,421,1044,8199.0,16899.0,1901.0,12.0,24.0,18,6,10100.0,18800,-8700,-,
17/09/2024,4724632,4724632,6100,7000,5200,900,5.0,28,6000,5900,6000,5900,100,5978,5900,-200.0,-3.28,482,838,7300.0,16700.0,900.0,5.0,17.0,21,-4,8200.0,17600,-9400,-,
