Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,83000000,83000000,7200,7900,6500,1544218,11368,614,7300,7400,7500,7200,300,7359,7400,200.0,2.78,4079,3426,393282.0,1275082.0,1544218,11368,475,823,-348,1937500,2819300,-881800,-,
26/09/2024,83000000,83000000,7200,7900,6500,422507,3040,598,7100,7200,7300,7100,200,7195,7200,,,3075,3762,373893.0,1149993.0,422507,3040,259,418,-159,796400,1572500,-776100,-,
25/09/2024,83000000,83000000,7100,7800,6400,559373,4024,598,7100,7200,7300,7100,200,7194,7200,100.0,1.41,2875,3217,423927.0,1042927.0,559373,4024,342,498,-156,983300,1602300,-619000,-,
24/09/2024,83000000,83000000,7100,7800,6400,275927,1961,589,7200,7100,7200,7000,200,7108,7100,,,2899,3491,358973.0,823673.0,275927,1961,219,315,-96,634900,1099600,-464700,-,
23/09/2024,83000000,83000000,7000,7700,6300,352934,2491,589,7000,7100,7200,7000,200,7046,7100,100.0,1.43,3535,3982,484866.0,1028966.0,352934,2491,237,347,-110,837800,1381900,-544100,-,
20/09/2024,83000000,83000000,7200,7900,6500,436444,3112,581,7200,7000,7300,7000,300,7140,7000,-200.0,-2.78,2707,3489,299956.0,1175656.0,436444,3112,272,462,-190,736400,1612100,-875700,-,
19/09/2024,83000000,83000000,7100,7800,6400,391974,2813,598,7200,7200,7300,7100,200,7177,7200,100.0,1.41,3119,3027,387826.0,1030626.0,391974,2813,250,470,-220,779800,1422600,-642800,-,
18/09/2024,83000000,83000000,7200,7900,6500,799051,5718,589,7200,7100,7300,7000,300,7159,7100,-100.0,-1.39,2597,3824,387649.0,1021249.0,799051,5718,457,476,-19,1186700,1820300,-633600,-,
17/09/2024,83000000,83000000,6900,7500,6300,250920,1771,598,7000,7200,7200,6900,300,7032,7200,300.0,4.35,2758,2706,427480.0,517580.0,250920,1771,246,284,-38,678400,768500,-90100,-,
16/09/2024,83000000,83000000,7000,7700,6300,676384,4736,573,6900,6900,7100,6900,200,7007,6900,-100.0,-1.43,2787,2787,473416.0,529116.0,446384,3126,330,350,-20,919800,975500,-55700,230000,1610.0
13/09/2024,83000000,83000000,6900,7500,6300,203194,1399,581,6900,7000,7000,6800,200,6873,7000,100.0,1.45,2566,2827,579406.0,475206.0,203194,1399,305,240,65,782600,678400,104200,-,
12/09/2024,83000000,83000000,6800,7400,6200,186765,1284,573,6900,6900,7000,6800,200,6873,6900,100.0,1.47,2670,3459,480835.0,556835.0,186765,1284,250,215,35,667600,743600,-76000,-,
11/09/2024,83000000,83000000,6900,7500,6300,385502,2624,564,6900,6800,6900,6700,200,6806,6800,-100.0,-1.45,1869,3416,405198.0,495798.0,385502,2624,423,258,165,790700,881300,-90600,-,
10/09/2024,83000000,83000000,7000,7700,6300,592421,4109,573,7000,6900,7100,6800,300,6937,6900,-100.0,-1.43,2341,3929,330079.0,727779.0,592421,4109,394,336,58,922500,1320200,-397700,-,
09/09/2024,83000000,83000000,7000,7700,6300,394821,2771,581,7000,7000,7100,7000,100,7019,7000,,,2536,3309,249279.0,587979.0,394821,2771,254,297,-43,644100,982800,-338700,-,
06/09/2024,83000000,83000000,7000,7700,6300,441274,3084,581,6900,7000,7100,6900,200,6988,7000,,,2531,3428,593826.0,607826.0,441274,3084,409,306,103,1035100,1049100,-14000,-,
05/09/2024,83000000,83000000,7000,7700,6300,539693,3800,581,7000,7000,7200,6900,300,7044,7000,,,2253,3862,467407.0,611107.0,539693,3800,447,298,149,1007100,1150800,-143700,-,
04/09/2024,83000000,83000000,7200,7900,6500,832429,5866,581,7300,7000,7300,7000,300,7056,7000,-200.0,-2.78,1970,4799,321971.0,607271.0,832429,5866,586,300,286,1154400,1439700,-285300,-,
30/08/2024,83000000,83000000,7400,8100,6700,689749,5035,598,7400,7200,7500,7200,300,7330,7200,-200.0,-2.7,2849,4458,221951.0,1432451.0,689749,5035,320,476,-156,911700,2122200,-1210500,-,
29/08/2024,83000000,83000000,7300,8000,6600,673496,5030,614,7300,7400,7700,7300,400,7468,7400,100.0,1.37,2549,3131,379404.0,1455604.0,673496,5030,413,680,-267,1052900,2129100,-1076200,-,
28/08/2024,83000000,83000000,7400,8100,6700,1027063,7489,606,7400,7300,7500,7200,300,7292,7300,-100.0,-1.35,2694,4317,309237.0,971937.0,1027063,7489,496,463,33,1336300,1999000,-662700,-,
27/08/2024,83000000,83000000,7300,8000,6600,924365,6767,614,7300,7400,7400,7200,200,7320,7400,100.0,1.37,3060,4109,437435.0,830135.0,924365,6767,445,427,18,1361800,1754500,-392700,-,
26/08/2024,83000000,83000000,7600,8300,6900,1205519,9024,606,7700,7300,7800,7300,500,7499,7300,-300.0,-3.95,2562,3712,421581.0,1348281.0,1205519,9024,635,688,-53,1627100,2553800,-926700,-,
23/08/2024,83000000,83000000,7700,8400,7000,1876763,14695,631,7700,7600,8100,7600,500,7845,7600,-100.0,-1.3,2817,3539,272237.0,2546837.0,1876763,14695,763,1250,-487,2149000,4423600,-2274600,-,
22/08/2024,83000000,83000000,7100,7800,6400,3088427,23354,639,7200,7700,7700,7000,700,7556,7700,600.0,8.45,3955,4009,807573.0,1181073.0,3088427,23354,985,1065,-80,3896000,4269500,-373500,-,
21/08/2024,83000000,83000000,7200,7900,6500,415202,2954,589,7200,7100,7300,7100,200,7115,7100,-100.0,-1.39,2679,2936,460798.0,961998.0,415202,2954,327,469,-142,876000,1377200,-501200,-,
20/08/2024,83000000,83000000,7100,7800,6400,921002,6528,598,7000,7200,7300,7000,300,7085,7200,100.0,1.41,2976,3726,504698.0,930698.0,921002,6528,479,497,-18,1425700,1851700,-426000,-,
19/08/2024,83000000,83000000,7100,7800,6400,544094,3832,589,7100,7100,7200,7000,200,7043,7100,,,2658,4324,301206.0,1085906.0,544094,3832,318,377,-59,845300,1630000,-784700,-,
16/08/2024,83000000,83000000,6700,7300,6100,1043249,7275,589,6700,7100,7100,6700,400,6971,7100,400.0,5.97,2981,3055,515851.0,752851.0,1043249,7275,523,588,-65,1559100,1796100,-237000,-,
15/08/2024,83000000,83000000,6700,7300,6100,619300,4148,556,6700,6700,6800,6600,200,6697,6700,,,3682,4020,290200.0,574700.0,619300,4148,247,297,-50,909500,1194000,-284500,-,
14/08/2024,83000000,83000000,6800,7400,6200,781237,5282,556,6900,6700,6900,6600,300,6763,6700,-100.0,-1.47,3189,4602,357163.0,838663.0,781237,5282,357,352,5,1138400,1619900,-481500,-,
13/08/2024,83000000,83000000,6800,7400,6200,482895,3255,564,6800,6800,6900,6700,200,6740,6800,,,2613,3552,543905.0,621805.0,482895,3255,393,311,82,1026800,1104700,-77900,-,
12/08/2024,83000000,83000000,6900,7500,6300,1034330,7001,564,6900,6800,7000,6700,300,6768,6800,-100.0,-1.45,2380,6229,393370.0,821870.0,1034330,7001,600,298,302,1427700,1856200,-428500,-,
09/08/2024,83000000,83000000,6900,7500,6300,752740,5245,573,6900,6900,7100,6800,300,6970,6900,,,3016,3662,326960.0,649760.0,752740,5245,358,383,-25,1079700,1402500,-322800,-,
08/08/2024,83000000,83000000,6800,7400,6200,304353,2083,573,6800,6900,6900,6800,100,6844,6900,100.0,1.47,1765,2406,253447.0,405347.0,304353,2083,316,295,21,557800,709700,-151900,-,
07/08/2024,83000000,83000000,6900,7500,6300,575210,3935,564,7000,6800,7000,6800,200,6847,6800,-100.0,-1.45,2572,4285,242590.0,590390.0,575210,3935,318,272,46,817800,1165600,-347800,-,
06/08/2024,83000000,83000000,6600,7200,6000,775017,5292,573,6600,6900,7000,6600,400,6827,6900,300.0,4.55,2447,3139,313883.0,320583.0,775017,5292,445,349,96,1088900,1095600,-6700,-,
05/08/2024,83000000,83000000,7100,7800,6400,1061675,7231,548,7100,6600,7200,6500,700,6823,6600,-500.0,-7.04,1814,4202,278725.0,829025.0,1061675,7231,739,450,289,1340400,1890700,-550300,-,
02/08/2024,83000000,83000000,7100,7800,6400,1032720,7324,589,7100,7100,7400,6900,500,7091,7100,,,2571,3368,440380.0,499880.0,1032720,7324,573,455,118,1473100,1532600,-59500,-,
01/08/2024,83000000,83000000,7500,8200,6800,1184309,8463,589,7400,7100,7500,6800,700,7146,7100,-400.0,-5.33,2278,4215,284991.0,973991.0,1184309,8463,645,512,133,1469300,2158300,-689000,-,
