Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,13600000,13600000,22800,26200,19400,21000,478,310,23600,22800,24000,22200,1800,22779,22800,,,1653,2607,28600,49400.0,21000,478,30,27,3,49600,70400,-20800,-,
26/09/2024,13600000,13600000,23100,26500,19700,21600,493,313,22500,23000,23700,22200,1500,22840,23000,-100.0,-0.43,1570,2135,47500,51000.0,21600,493,44,34,10,69100,72600,-3500,-,
25/09/2024,13600000,13600000,23200,26600,19800,22400,516,310,24000,22800,24000,22500,1500,23056,22800,-400.0,-1.72,673,2197,10600,41300.0,22400,516,49,29,20,33000,63700,-30700,-,
24/09/2024,13600000,13600000,23300,26700,19900,15200,352,317,24000,23300,24000,22500,1500,23160,23300,,,1145,1941,28300,41100.0,15200,352,38,29,9,43500,56300,-12800,-,
23/09/2024,13600000,13600000,23300,26700,19900,16400,382,311,23400,22900,24500,22500,2000,23285,22900,-400.0,-1.72,1316,2006,40200,47800.0,16400,382,43,32,11,56600,64200,-7600,-,
20/09/2024,13600000,13600000,22900,26300,19500,14700,342,318,22900,23400,23700,22500,1200,23289,23400,500.0,2.18,1158,2655,29300,43700.0,14700,342,38,22,16,44000,58400,-14400,-,
19/09/2024,13600000,13600000,22800,26200,19400,13200,302,314,23500,23100,23500,22600,900,22898,23100,300.0,1.32,1544,953,39300,17300.0,13200,302,34,32,2,52500,30500,22000,-,
18/09/2024,13600000,13600000,23100,26500,19700,13400,306,314,22600,23100,23500,22500,1000,22846,23100,,,719,1486,12500,28200.0,13400,306,36,28,8,25900,41600,-15700,-,
17/09/2024,13600000,13600000,23300,26700,19900,15100,349,313,23300,23000,23600,22500,1100,23135,23000,-300.0,-1.29,1028,2076,26000,36800.0,15100,349,40,25,15,41100,51900,-10800,-,
16/09/2024,13600000,13600000,23200,26600,19800,12200,285,316,22600,23200,24200,22300,1900,23343,23200,,,1013,2735,26300,34300.0,12200,285,38,17,21,38500,46500,-8000,-,
13/09/2024,13600000,13600000,23300,26700,19900,7100,165,317,24000,23300,24000,22900,1100,23223,23300,,,616,2173,8300,40700.0,7100,165,25,22,3,15400,47800,-32400,-,
12/09/2024,13600000,13600000,23300,26700,19900,11700,273,340,26700,25000,26700,22900,3800,23297,25000,1700.0,7.3,4887,4255,100700,35100.0,11700,273,23,11,12,112400,46800,65600,-,
11/09/2024,13600000,13600000,23800,27300,20300,11400,266,324,23800,23800,24000,22900,1100,23336,23800,,,566,4317,8400,40400.0,11400,266,35,12,23,19800,51800,-32000,-,
10/09/2024,13600000,13600000,24200,27800,20600,14500,345,324,24200,23800,24200,23100,1100,23777,23800,-400.0,-1.65,833,2878,20500,37300.0,14500,345,42,18,24,35000,51800,-16800,-,
09/09/2024,13600000,13600000,25000,28700,21300,35500,859,333,28000,24500,28000,23900,4100,24193,24500,-500.0,-2.0,1363,2379,23100,45400.0,35500,859,43,34,9,58600,80900,-22300,-,
06/09/2024,13600000,13600000,24900,28600,21200,10500,262,339,28000,24900,28000,24800,3200,24966,24900,,,1368,2526,19600,37500.0,10500,262,22,19,3,30100,48000,-17900,-,
05/09/2024,13600000,13600000,24700,28400,21000,16800,418,340,28400,25000,28400,24300,4100,24901,25000,300.0,1.21,1691,2844,22100,54300.0,16800,418,23,25,-2,38900,71100,-32200,-,
04/09/2024,13600000,13600000,23600,27100,20100,42000,1038,356,23400,26200,26500,23400,3100,24714,26200,2600.0,11.02,1244,1898,22700,33900.0,42000,1038,52,40,12,64700,75900,-11200,-,
30/08/2024,13600000,13600000,23800,27300,20300,14500,343,321,24000,23600,24000,23400,600,23631,23600,-200.0,-0.84,1914,3613,54400,43300.0,14500,343,36,16,20,68900,57800,11100,-,
29/08/2024,13600000,13600000,23300,26700,19900,12100,288,324,23500,23800,23800,23500,300,23770,23800,500.0,2.15,10344,2668,318900,38600.0,12100,288,32,19,13,331000,50700,280300,-,
28/08/2024,13600000,13600000,23600,27100,20100,81400,1830,321,24000,23600,24000,23000,1000,23264,23600,,,2400,1566,62200,28100.0,31400,730,39,38,1,93600,59500,34100,50000,1100.0
27/08/2024,13600000,13600000,23800,27300,20300,10500,248,316,24500,23200,24500,23100,1400,23628,23200,-600.0,-2.52,1321,1789,33100,57500.0,10500,248,33,38,-5,43600,68000,-24400,-,
26/08/2024,13600000,13600000,23100,26500,19700,12700,303,326,24500,24000,24500,23100,1400,23843,24000,900.0,3.9,5290,1585,209500,52300.0,12700,303,42,41,1,222200,65000,157200,-,
23/08/2024,13600000,13600000,22500,25800,19200,51200,1181,322,22800,23700,23700,22300,1400,23066,23700,1200.0,5.33,5845,1823,428100,61800.0,51200,1181,82,62,20,479300,113000,366300,-,
22/08/2024,13600000,13600000,22900,26300,19500,16300,367,307,25800,22600,25800,22200,3600,22528,22600,-300.0,-1.31,7127,1938,140500,84500.0,16300,367,22,52,-30,156800,100800,56000,-,
21/08/2024,13600000,13600000,22500,25800,19200,35700,816,310,25000,22800,25400,22500,2900,22864,22800,300.0,1.33,6208,807,367800,36100.0,35700,816,65,89,-24,403500,71800,331700,-,
20/08/2024,13600000,13600000,22600,25900,19300,37700,847,309,25900,22700,25900,21700,4200,22456,22700,100.0,0.44,3174,1675,178100,61100.0,37700,847,68,59,9,215800,98800,117000,-,
19/08/2024,13600000,13600000,23100,26500,19700,39300,887,313,25000,23000,26500,21900,4600,22570,23000,-100.0,-0.43,3954,1448,142600,54800.0,39300,887,46,65,-19,181900,94100,87800,-,
16/08/2024,13600000,13600000,21900,25100,18700,92900,2144,326,21900,24000,25100,21900,3200,23074,24000,2100.0,9.59,3806,2072,146900,79100.0,92900,2144,63,83,-20,239800,172000,67800,-,
15/08/2024,13600000,13600000,24200,27800,20600,117300,2569,296,23000,21800,23500,21800,1700,21899,21800,-2400.0,-9.92,14688,2616,367400,50100.0,117300,2569,33,64,-31,484700,167400,317300,-,
14/08/2024,13600000,13600000,23800,27300,20300,55500,1345,340,27300,25000,27300,22400,4900,24226,25000,1200.0,5.04,6698,1789,634400,23200.0,55500,1345,103,44,59,689900,78700,611200,-,
13/08/2024,13600000,13600000,20700,23800,17600,179400,4263,324,23800,23800,23800,23100,700,23765,23800,3100.0,14.98,5758,6186,707300,,179400,4263,154,29,125,886700,179400,707300,-,
12/08/2024,13600000,13600000,18000,20700,15300,43800,907,282,20700,20700,20700,20700,-,20700,20700,2700.0,15.0,3754,2305,275300,,43800,907,85,19,66,319100,43800,275300,-,
09/08/2024,13600000,13600000,12900,18000,7800,8200,148,245,18000,18000,18000,18000,-,18000,18000,5100.0,39.53,26688,1640,685700,,8200,148,26,5,21,693900,8200,685700,-,
