Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,895933642,895933642,11900,13000,10800,13866,167,10751,12000,12000,12200,12000,200,12051,12000,100.0,0.84,909,835,26134,27034,13866,167,44,49,-5,40000,40900,-900,-,
26/09/2024,895933642,895933642,11900,13000,10800,7028,84,10662,11800,11900,11900,11800,100,11891,11900,,,622,962,29072,28572,7028,84,58,37,21,36100,35600,500,-,
25/09/2024,895933642,895933642,11800,12900,10700,902007,10824,10662,11700,11900,11900,11700,200,11793,11900,100.0,0.85,954,952,37093,27493,2007,24,41,31,10,39100,29500,9600,900000,10800.0
24/09/2024,895933642,895933642,11800,12900,10700,696321,8354,10572,11700,11800,11800,11700,100,11708,11800,,,653,1096,29579,23279,6321,74,55,27,28,35900,29600,6300,690000,8280.0
23/09/2024,895933642,895933642,11900,13000,10800,4471,53,10572,12000,11800,12000,11800,200,11944,11800,-100.0,-0.84,1173,862,34229,31729,4471,53,33,42,-9,38700,36200,2500,-,
20/09/2024,895933642,895933642,11800,12900,10700,654181,7850,10662,11800,11900,11900,11800,100,11831,11900,100.0,0.85,798,928,27719,25519,4181,50,40,32,8,31900,29700,2200,650000,7800.0
19/09/2024,895933642,895933642,11800,12900,10700,1485,17,10572,11700,11800,11800,11700,100,11792,11800,,,889,785,37615,18915,1485,17,44,26,18,39100,20400,18700,-,
18/09/2024,895933642,895933642,11800,12900,10700,707401,8487,10572,11800,11800,11800,11600,200,11732,11800,,,603,1117,35999,24999,7401,87,72,29,43,43400,32400,11000,700000,8400.0
17/09/2024,895933642,895933642,11800,12900,10700,4404,52,10572,11900,11800,12000,11700,300,11886,11800,,,813,1186,32196,38296,4404,52,45,36,9,36600,42700,-6100,-,
