Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,239021642,239021642,20750,22200,19300,3132100,65572,4996,20700,20900,21150,20400,750,20935,20900,150.0,0.72,6770,2854,101300,44400.0,3132100,65572,1195.0,2115.0,-920,8090500.0,6035900.0,2054600,-,
26/09/2024,239021642,239021642,20800,22250,19350,4271900,89063,4960,21050,20750,21150,20700,450,20853,20800,-50.0,-0.24,5655,4843,316500,27300.0,4071900,84913,1156.0,1808.0,-652,6536700.0,8756000.0,-2219300,200000,4150.0
25/09/2024,239021642,239021642,20700,22100,19300,4260400,89463,4972,20800,20800,21450,20700,750,20999,20800,100.0,0.48,5267,3013,413500,40500.0,4260400,89463,1449.0,2534.0,-1085,7631500.0,7634100.0,-2600,-,
24/09/2024,239021642,239021642,20750,22200,19300,2564700,53140,4948,20900,20700,20900,20600,300,20717,20700,-50.0,-0.24,4046,2967,339300,51700.0,2364700,48990,1053.0,1621.0,-568,4260200.0,4810100.0,-549900,200000,4150.0
23/09/2024,239021642,239021642,20800,22250,19350,2640800,54987,4960,20800,20750,21000,20650,350,20822,20800,-50.0,-0.24,4675,2795,267400,246900.0,2640800,54987,1114.0,1881.0,-767,5207900.0,5258100.0,-50200,-,
20/09/2024,239021642,239021642,20650,22050,19250,5778600,120827,4972,20900,20800,21100,20600,500,20909,20800,150.0,0.73,5701,3135,330200,50100.0,5778600,120827,1613.0,3869.0,-2256,9195400.0,12129400.0,-2934000,-,
19/09/2024,239021642,239021642,20000,21400,18600,6498700,132850,4936,19900,20650,20850,19900,950,20460,20700,650.0,3.25,5604,2770,113900,182000.0,6398700,130920,1890.0,4119.0,-2229,10591700.0,11408800.0,-817100,100000,1930.0
18/09/2024,239021642,239021642,19850,21200,18500,4470400,88888,4780,19900,20000,20150,19700,450,19902,20000,150.0,0.76,4422,3767,85100,153200.0,4370400,86978,1643.0,2268.0,-625,7265900.0,8543500.0,-1277600,100000,1910.0
17/09/2024,239021642,239021642,19600,20950,18250,3929300,77844,4745,19650,19850,20100,19600,500,19835,19900,250.0,1.28,4299,3467,95100,234100.0,3829300,75954,1767.0,2112.0,-345,7596100.0,7322900.0,273200,100000,1890.0
16/09/2024,239021642,239021642,20000,21400,18600,5963300,119030,4685,20300,19600,20450,19600,850,19980,19600,-400.0,-2.0,3429,3287,200800,113100.0,5863300,117150,2605.0,3607.0,-1002,8932800.0,11854900.0,-2922100,100000,1880.0
13/09/2024,239021642,239021642,19250,20550,17950,5657400,111443,4780,19450,20000,20150,19200,950,19699,20000,750.0,3.9,4127,2432,34900,141400.0,5657400,111443,2378.0,4460.0,-2082,9813100.0,10844900.0,-1031800,-,
12/09/2024,239021642,239021642,19050,20350,17750,4171300,80504,4601,19200,19250,19700,19000,700,19299,19300,200.0,1.05,3002,3102,93200,166300.0,4171300,80504,2290.0,3016.0,-726,6875600.0,9354800.0,-2479200,-,
