Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,19000000,19000000,12900,14800,11000,17000,221,241,12900,12700,13200,12600,600,12999,12700,-200.0,-1.55,681,1394,22500.0,80600.0,17000,221,58,70,-12,39500,97600,-58100,-,
26/09/2024,19000000,19000000,12700,14600,10800,21560,278,243,13000,12800,13300,12800,500,12873,12800,100.0,0.79,660,1123,12740.0,48040.0,21560,278,52,62,-10,34300,69600,-35300,-,
25/09/2024,19000000,19000000,12300,14100,10500,34358,436,245,12500,12900,12900,12400,500,12701,12900,600.0,4.88,800,738,30442.0,20242.0,34358,436,81,74,7,64800,54600,10200,-,
24/09/2024,19000000,19000000,12200,14000,10400,19700,243,234,12200,12300,12500,12200,300,12325,12300,100.0,0.82,835,1011,26200.0,25800.0,19700,243,55,45,10,45900,45500,400,-,
23/09/2024,19000000,19000000,12700,14600,10800,11312,138,239,12700,12600,12700,12200,500,12233,12600,-100.0,-0.79,1008,990,42088.0,30288.0,11312,138,53,42,11,53400,41600,11800,-,
20/09/2024,19000000,19000000,12300,14100,10500,62421,791,230,12400,12100,13000,12100,900,12667,12100,-200.0,-1.63,899,1074,7679.0,21379.0,62421,791,78,78,-,70100,83800,-13700,-,
19/09/2024,19000000,19000000,12200,14000,10400,24300,298,234,12500,12300,12600,12000,600,12283,12300,100.0,0.82,652,1468,16800.0,44700.0,24300,298,63,47,16,41100,69000,-27900,-,
18/09/2024,19000000,19000000,11900,13600,10200,14002,171,226,12500,11900,12600,11800,800,12244,11900,,,472,1210,14298.0,60998.0,14002,171,60,62,-2,28300,75000,-46700,-,
17/09/2024,19000000,19000000,12000,13800,10200,27486,327,228,12400,12000,12400,11800,600,11907,12000,,,982,1179,10814.0,22014.0,27486,327,39,42,-3,38300,49500,-11200,-,
16/09/2024,19000000,19000000,12300,14100,10500,26886,323,234,12300,12300,12300,11800,500,12022,12300,,,826,1024,5314.0,15114.0,26886,323,39,41,-2,32200,42000,-9800,-,
13/09/2024,19000000,19000000,12300,14100,10500,4200,51,238,12300,12500,12500,12100,400,12252,12500,200.0,1.63,615,2083,12400.0,56200.0,4200,51,27,29,-2,16600,60400,-43800,-,
12/09/2024,19000000,19000000,12200,14000,10400,2601,32,234,12200,12300,12300,12100,200,12254,12300,100.0,0.82,459,2564,10699.0,53799.0,2601,32,29,22,7,13300,56400,-43100,-,
11/09/2024,19000000,19000000,12200,14000,10400,8314,102,236,12900,12400,12900,12200,700,12248,12400,200.0,1.64,536,2141,9386.0,79486.0,8314,102,33,41,-8,17700,87800,-70100,-,
10/09/2024,19000000,19000000,12700,14600,10800,11902,146,236,12000,12400,12500,12000,500,12244,12400,-300.0,-2.36,611,913,22298.0,30098.0,11902,146,56,46,10,34200,42000,-7800,-,
09/09/2024,19000000,19000000,12800,14700,10900,9500,120,241,12800,12700,12800,12300,500,12667,12700,-100.0,-0.78,700,1427,15700.0,54700.0,9500,120,36,45,-9,25200,64200,-39000,-,
06/09/2024,19000000,19000000,12500,14300,10700,6100,78,243,12800,12800,12800,12700,100,12789,12800,300.0,2.4,900,1414,15500.0,66000.0,6100,78,24,51,-27,21600,72100,-50500,-,
05/09/2024,19000000,19000000,12800,14700,10900,15200,190,243,12900,12800,12900,12000,900,12496,12800,,,620,728,15200.0,23400.0,15200,190,49,53,-4,30400,38600,-8200,-,
04/09/2024,19000000,19000000,12200,14000,10400,10300,132,243,12400,12800,13000,12200,800,12785,12800,600.0,4.92,541,600,13500.0,19700.0,10300,132,44,50,-6,23800,30000,-6200,-,
30/08/2024,19000000,19000000,12900,14800,11000,56103,685,236,12900,12400,12900,12000,900,12206,12400,-500.0,-3.88,670,1789,19597.0,54797.0,56103,685,113,62,51,75700,110900,-35200,-,
29/08/2024,19000000,19000000,12900,14800,11000,9418,121,241,13100,12700,13100,12700,400,12864,12700,-200.0,-1.55,1026,887,29582.0,38482.0,9418,121,38,54,-16,39000,47900,-8900,-,
28/08/2024,19000000,19000000,12500,14300,10700,22670,293,245,13000,12900,13200,12600,600,12904,12900,400.0,3.2,655,1334,25130.0,70730.0,22670,293,73,70,3,47800,93400,-45600,-,
27/08/2024,19000000,19000000,12900,14800,11000,22100,276,243,12800,12800,12800,12300,500,12471,12800,-100.0,-0.78,655,1072,26400.0,28300.0,22100,276,74,47,27,48500,50400,-1900,-,
26/08/2024,19000000,19000000,13000,14900,11100,6467,84,245,13100,12900,13400,12800,600,12913,12900,-100.0,-0.77,573,952,29633.0,41133.0,6467,84,63,50,13,36100,47600,-11500,-,
23/08/2024,19000000,19000000,12700,14600,10800,23000,298,249,12600,13100,13100,12600,500,12959,13100,400.0,3.15,951,729,41700.0,25100.0,23000,298,68,66,2,64700,48100,16600,-,
22/08/2024,19000000,19000000,13100,15000,11200,19816,251,238,13000,12500,13500,12500,1000,12658,12500,-600.0,-4.58,606,870,18384.0,32384.0,19816,251,63,60,3,38200,52200,-14000,-,
21/08/2024,19000000,19000000,12900,14800,11000,35701,468,247,13000,13000,13500,12900,600,13113,13000,100.0,0.78,847,919,16799.0,31399.0,35701,468,62,73,-11,52500,67100,-14600,-,
20/08/2024,19000000,19000000,12600,14400,10800,37848,489,247,12300,13000,13400,12300,1100,12921,13000,400.0,3.17,845,821,37352.0,28652.0,37848,489,89,81,8,75200,66500,8700,-,
19/08/2024,19000000,19000000,12500,14300,10700,27820,351,238,12600,12500,13000,12400,600,12629,12500,,,461,845,11380.0,22880.0,27820,351,85,60,25,39200,50700,-11500,-,
16/08/2024,19000000,19000000,12700,14600,10800,33311,417,243,13000,12800,13000,12000,1000,12532,12800,100.0,0.79,580,1039,38089.0,45689.0,33311,417,123,76,47,71400,79000,-7600,-,
15/08/2024,19000000,19000000,12800,14700,10900,3785,48,238,12800,12500,12800,12500,300,12681,12500,-300.0,-2.34,880,1048,31415.0,44415.0,3785,48,40,46,-6,35200,48200,-13000,-,
14/08/2024,19000000,19000000,12400,14200,10600,17001,217,245,12800,12900,13000,12500,500,12769,12900,500.0,4.03,1518,937,66499.0,43899.0,17001,217,55,65,-10,83500,60900,22600,-,
13/08/2024,19000000,19000000,12400,14200,10600,20254,251,243,12200,12800,12900,12100,800,12410,12800,400.0,3.23,1254,927,53746.0,27046.0,20254,251,59,51,8,74000,47300,26700,-,
12/08/2024,19000000,19000000,12500,14300,10700,34313,424,232,12500,12200,12600,12200,400,12365,12200,-300.0,-2.4,879,1235,24587.0,32387.0,34313,424,67,54,13,58900,66700,-7800,-,
09/08/2024,19000000,19000000,12400,14200,10600,58000,727,234,12200,12300,13000,12000,1000,12540,12300,-100.0,-0.81,1516,1135,73900.0,31700.0,58000,727,87,79,8,131900,89700,42200,-,
08/08/2024,19000000,19000000,13400,15400,11400,14929,186,232,13300,12200,13300,12000,1300,12438,12200,-1200.0,-8.96,494,1111,27571.0,52871.0,14929,186,86,61,25,42500,67800,-25300,-,
07/08/2024,19000000,19000000,12500,14300,10700,18923,253,251,14200,13200,14300,12600,1700,13354,13200,700.0,5.6,373,602,14277.0,20777.0,18923,253,89,66,23,33200,39700,-6500,-,
06/08/2024,19000000,19000000,12000,13800,10200,33270,417,251,12800,13200,13200,10500,2700,12538,13200,1200.0,10.0,529,482,52430.0,2430.0,33270,417,162,74,88,85700,35700,50000,-,
05/08/2024,19000000,19000000,13500,15500,11500,114514,1371,243,13600,12800,13600,11500,2100,11976,12800,-700.0,-5.19,737,1894,21086.0,42686.0,114514,1371,184,83,101,135600,157200,-21600,-,
02/08/2024,19000000,19000000,14100,16200,12000,17430,236,266,14100,14000,14100,12900,1200,13513,14000,-100.0,-0.71,543,929,23870.0,17870.0,17430,236,76,38,38,41300,35300,6000,-,
