Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,18042,-,216500,,,,12,,12,216500,,216500,-,
26/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,14520,-,217800,,,,15,,15,217800,,217800,-,
25/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1065,-,18100,,,,17,,17,18100,,18100,-,
24/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,30476,-,518100,,,,17,,17,518100,,518100,-,
23/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,942,-,17900,,,,19,,19,17900,,17900,-,
20/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1492,-,19400,,,,13,,13,19400,,19400,-,
19/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1094,-,17500,,,,16,,16,17500,,17500,-,
18/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,2108,-,27400,,,,13,,13,27400,,27400,-,
17/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1354,-,17600,,,,13,,13,17600,,17600,-,
16/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1264,-,17700,,,,14,,14,17700,,17700,-,
13/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1277,-,16600,,,,13,,13,16600,,16600,-,
12/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1269,-,20300,,,,16,,16,20300,,20300,-,
11/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1346,-,17500,,,,13,,13,17500,,17500,-,
10/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1353,-,20300,,,,15,,15,20300,,20300,-,
09/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1111,-,20000,,,,18,,18,20000,,20000,-,
06/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,646,-,8400,,,,13,,13,8400,,8400,-,
05/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,915,-,11900,,,,13,,13,11900,,11900,-,
04/09/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1377,-,17900,,,,13,,13,17900,,17900,-,
30/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,2247,-,38200,,,,17,,17,38200,,38200,-,
29/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,4895,-,97900,,,,20,,20,97900,,97900,-,
28/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1755,-,38600,,,,22,,22,38600,,38600,-,
27/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1995,-,41900,,,,21,,21,41900,,41900,-,
26/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1786,-,39300,,,,22,,22,39300,,39300,-,
23/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1030,-,20600,,,,20,,20,20600,,20600,-,
22/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1072,-,19300,,,,18,,18,19300,,19300,-,
21/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1228,-,22100,,,,18,,18,22100,,22100,-,
20/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1563,-,25000,,,,16,,16,25000,,25000,-,
19/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,627,-,9400,,,,15,,15,9400,,9400,-,
16/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,622,-,11200,,,,18,,18,11200,,11200,-,
15/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,657,-,9200,,,,14,,14,9200,,9200,-,
14/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,831,-,13300,,,,16,,16,13300,,13300,-,
13/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,831,-,13300,,,,16,,16,13300,,13300,-,
12/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,806,-,13700,,,,17,,17,13700,,13700,-,
09/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1030,-,20600,,,,20,,20,20600,,20600,-,
08/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1423,-,31300,,,,22,,22,31300,,31300,-,
07/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1029,-,24700,,,,24,,24,24700,,24700,-,
06/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1104,-,30900,,,,28,,28,30900,,30900,-,
05/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,647,-,11000,,,,17,,17,11000,,11000,-,
02/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,509,-,11700,,,,23,,23,11700,,11700,-,
01/08/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,748,-,15700,,,,21,,21,15700,,15700,-,
31/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1233,-,18500,,,,15,,15,18500,,18500,-,
30/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1347,-,25600,,,,19,,19,25600,,25600,-,
29/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1267,-,19000,,,,15,,15,19000,,19000,-,
26/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1123,-,24700,,,,22,,22,24700,,24700,-,
25/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1411,-,26800,,,,19,,19,26800,,26800,-,
24/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1289,-,24500,,,,19,,19,24500,,24500,-,
23/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,632,-,15800,,,,25,,25,15800,,15800,-,
22/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1332,-,25300,,,,19,,19,25300,,25300,-,
19/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,725,-,14500,,,,20,,20,14500,,14500,-,
18/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,969,-,25200,,,,26,,26,25200,,25200,-,
17/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1410,-,29600,,,,21,,21,29600,,29600,-,
16/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,825,-,19800,,,,24,,24,19800,,19800,-,
15/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1178,-,27100,,,,23,,23,27100,,27100,-,
12/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1141,-,25100,,,,22,,22,25100,,25100,-,
11/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1580,-,39500,,,,25,,25,39500,,39500,-,
10/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,2197,-,72500,,,,33,,33,72500,,72500,-,
09/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1210,-,35100,,,,29,,29,35100,,35100,-,
08/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,750,-,24000,,,,32,,32,24000,,24000,-,
05/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,761,-,25100,,,,33,,33,25100,,25100,-,
04/07/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,1009,-,32300,,,,32,,32,32300,,32300,-,
03/07/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1080,-,32400,,,,30,,30,32400,,32400,-,
02/07/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1393,-,39000,,,,28,,28,39000,,39000,-,
01/07/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1076,-,26900,,,,25,,25,26900,,26900,-,
28/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1712,-,44500,,,,26,,26,44500,,44500,-,
27/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1169,-,33900,,,,29,,29,33900,,33900,-,
26/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,813,-,24400,,,,30,,30,24400,,24400,-,
25/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,2188,-,74400,,,,34,,34,74400,,74400,-,
24/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1547,-,52600,,,,34,,34,52600,,52600,-,
21/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,819,-,29500,,,,36,,36,29500,,29500,-,
20/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1082,-,35700,,,,33,,33,35700,,35700,-,
19/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,750,-,28500,,,,38,,38,28500,,28500,-,
18/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1259,-,51600,,,,41,,41,51600,,51600,-,
17/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1238,-,48300,,,,39,,39,48300,,48300,-,
14/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1124,-,38200,,,,34,,34,38200,,38200,-,
13/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1781,-,64100,,,,36,,36,64100,,64100,-,
12/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,2542,-,91500,,,,36,,36,91500,,91500,-,
11/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,2007,-,82300,,,,41,,41,82300,,82300,-,
10/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,3090,-,129800,,,,42,,42,129800,,129800,-,
07/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1973,-,78900,,,,40,,40,78900,,78900,-,
06/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,2373,-,116300,,,,49,,49,116300,,116300,-,
05/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,2096,-,100600,,,,48,,48,100600,,100600,-,
04/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1690,-,87900,,,,52,,52,87900,,87900,-,
03/06/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1936,-,112300,,,,58,,58,112300,,112300,-,
31/05/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,1746,-,120500,,,,69,,69,120500,,120500,-,
30/05/2024,5700000,5700000,700,900,500,-,,4,700,700,700,700,-,700,700,,,2200,-,259600,,,,118,,118,259600,,259600,-,
29/05/2024,5700000,5700000,700,800,600,-,,4,700,700,700,700,-,700,700,,,5214,-,1366000,,,,262,,262,1366000,,1366000,-,
28/05/2024,5700000,5700000,700,800,600,13474,9.0,4,700,700,700,700,-,700,700,,,3500,-,728100,,,,208,,208,728100,,728100,13474,9.0
27/05/2024,5700000,5700000,500,700,300,100,0.0,4,700,700,700,700,-,700,700,200.0,40.0,3561,100,256300,,100.0,0.0,72,1.0,71,256400,100.0,256300,-,
24/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,2217,-,51000,,,,23,,23,51000,,51000,-,
23/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,961,-,17300,,,,18,,18,17300,,17300,-,
22/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,2095,-,46100,,,,22,,22,46100,,46100,-,
21/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,2629,-,55200,,,,21,,21,55200,,55200,-,
20/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,3495,-,66400,,,,19,,19,66400,,66400,-,
17/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,3924,-,66700,,,,17,,17,66700,,66700,-,
16/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,3960,-,59400,,,,15,,15,59400,,59400,-,
15/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,2750,-,33000,,,,12,,12,33000,,33000,-,
14/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,1708,-,22200,,,,13,,13,22200,,22200,-,
13/05/2024,5700000,5700000,500,700,300,-,,3,500,500,500,500,-,500,500,,,1338,-,17400,,,,13,,13,17400,,17400,-,
