Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,500,-,1500.0,,,,3.0,,3,1500.0,,1500,-,
26/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,367,-,1100.0,,,,3.0,,3,1100.0,,1100,-,
25/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,300,-,600.0,,,,2.0,,2,600.0,,600,-,
24/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,180,-,900.0,,,,5.0,,5,900.0,,900,-,
23/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,200,-,200.0,,,,1.0,,1,200.0,,200,-,
20/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
19/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
18/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,233,-,700.0,,,,3.0,,3,700.0,,700,-,
17/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
13/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,300,-,600.0,,,,2.0,,2,600.0,,600,-,
12/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
11/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,500,-,500.0,,,,1.0,,1,500.0,,500,-,
10/09/2024,1126474,1126474,9300,10200,8400,-,,10,9300,9300,9300,9300,-,9300,9300,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
