Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
26/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
25/09/2024,3000000,3000000,30800,33800,27800,1,0.0,92,30800,33000,30800,30800,-,30800,30800,2200.0,7.14,-,-,,,1.0,0.0,,,-,,,-,-,
24/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
23/09/2024,3000000,3000000,30800,33800,27800,1,0.0,92,30800,33000,30800,30800,-,30800,30800,2200.0,7.14,-,-,,,1.0,0.0,,,-,,,-,-,
20/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
19/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
18/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
17/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
16/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
13/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
12/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
11/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
10/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
09/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
06/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
05/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
04/09/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
30/08/2024,3000000,3000000,30800,33800,27800,25,1.0,92,30800,33000,30800,30800,-,30800,30800,2200.0,7.14,-,-,,,25.0,1.0,,,-,,,-,-,
29/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
28/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
27/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
26/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
23/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
22/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
21/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
20/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
19/08/2024,3000000,3000000,30800,33800,27800,-,,92,30800,30800,30800,30800,-,30800,30800,,,-,-,,,,,,,-,,,-,-,
