Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,5000000,7000,8000,6000,8700,62,36,7100,7200,7200,7100,100,7103,7200,200.0,2.86,887,1312,25000,66100.0,8700,62,38,57,-19,33700,74800,-41100,-,
26/09/2024,5000000,5000000,7200,8200,6200,24693,174,36,7200,7200,7200,7000,200,7048,7200,,,872,1753,31107,77007.0,24693,174,64,58,6,55800,101700,-45900,-,
25/09/2024,5000000,5000000,7000,8000,6000,9428,68,36,7200,7200,7300,7000,300,7160,7200,200.0,2.86,732,1443,24972,74272.0,9428,68,47,58,-11,34400,83700,-49300,-,
24/09/2024,5000000,5000000,7200,8200,6200,15836,112,36,7100,7200,7200,6900,300,7041,7200,,,492,1146,23064,54064.0,15836,112,79,61,18,38900,69900,-31000,-,
23/09/2024,5000000,5000000,7200,8200,6200,13669,98,37,7100,7300,7300,7100,200,7201,7300,100.0,1.39,820,1369,19931,82131.0,13669,98,41,70,-29,33600,95800,-62200,-,
20/09/2024,5000000,5000000,7200,8200,6200,12906,92,36,7300,7200,7300,7100,200,7150,7200,,,545,2053,14894,130794.0,12906,92,51,70,-19,27800,143700,-115900,-,
19/09/2024,5000000,5000000,7200,8200,6200,12404,90,37,7300,7300,7400,7100,300,7237,7300,100.0,1.39,624,1528,18796,102196.0,12404,90,50,75,-25,31200,114600,-83400,-,
18/09/2024,5000000,5000000,7200,8200,6200,9700,69,37,7300,7300,7300,7100,200,7162,7300,100.0,1.39,469,885,11400,49600.0,9700,69,45,67,-22,21100,59300,-38200,-,
17/09/2024,5000000,5000000,7200,8200,6200,7044,51,37,7300,7300,7300,7200,100,7203,7300,100.0,1.39,622,1378,9756,82556.0,7044,51,27,65,-38,16800,89600,-72800,-,
16/09/2024,5000000,5000000,7200,8200,6200,11421,82,37,7400,7300,7400,7100,300,7153,7300,100.0,1.39,622,1238,19679,95079.0,11421,82,50,86,-36,31100,106500,-75400,-,
13/09/2024,5000000,5000000,7100,8100,6100,28100,201,37,7300,7400,7500,7000,500,7157,7400,300.0,4.23,952,1327,33800,50200.0,28100,201,65,59,6,61900,78300,-16400,-,
