Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,59246800,59246800,2500,2800,2200,173906,433,148,2500,2500,2600,2400,200,2491,2500,,,5525,5428,1036094,851994.0,173906,433,219,189,30,1210000,1025900,184100,-,
26/09/2024,59246800,59246800,2500,2800,2200,155311,390,148,2500,2500,2600,2400,200,2511,2500,,,3377,5077,584289,738189.0,155311,390,219,176,43,739600,893500,-153900,-,
25/09/2024,59246800,59246800,2500,2800,2200,392525,979,148,2600,2500,2600,2400,200,2494,2500,,,4666,5708,666675,800375.0,392525,979,227,209,18,1059200,1192900,-133700,-,
24/09/2024,59246800,59246800,2500,2800,2200,306075,768,154,2500,2600,2600,2400,200,2508,2600,100.0,4.0,4356,5553,643625,671325.0,306075,768,218,176,42,949700,977400,-27700,-,
23/09/2024,59246800,59246800,2600,2900,2300,543783,1374,148,2700,2500,2700,2400,300,2527,2500,-100.0,-3.85,6997,5520,1086417,963117.0,543783,1374,233,273,-40,1630200,1506900,123300,-,
20/09/2024,59246800,59246800,2600,2900,2300,293262,769,160,2600,2700,2700,2500,200,2621,2700,100.0,3.85,4065,4620,316438,1180638.0,293262,769,150,319,-169,609700,1473900,-864200,-,
19/09/2024,59246800,59246800,2400,2700,2100,1163544,3047,160,2400,2700,2700,2400,300,2619,2700,300.0,12.5,5065,4885,725856,648956.0,1163544,3047,373,371,2,1889400,1812500,76900,-,
18/09/2024,59246800,59246800,2400,2700,2100,196935,462,142,2500,2400,2500,2400,100,2416,2400,,,4287,6097,356765,614765.0,153435,371,119,126,-7,510200,768200,-258000,43500,91.0
17/09/2024,59246800,59246800,2400,2700,2100,44502,107,142,2500,2400,2500,2300,200,2400,2400,,,3609,7198,402998,545698.0,44502,107,124,82,42,447500,590200,-142700,-,
16/09/2024,59246800,59246800,2400,2700,2100,50966,122,142,2400,2400,2500,2300,200,2400,2400,,,2894,7247,258734,666534.0,50966,122,107,99,8,309700,717500,-407800,-,
13/09/2024,59246800,59246800,2400,2700,2100,130302,310,148,2400,2500,2500,2300,200,2381,2500,100.0,4.17,2502,5567,272498,593398.0,130302,310,161,130,31,402800,723700,-320900,-,
12/09/2024,59246800,59246800,2400,2700,2100,106946,257,136,2500,2300,2500,2300,200,2399,2300,-100.0,-4.17,2376,6041,161554,617954.0,106946,257,113,120,-7,268500,724900,-456400,-,
11/09/2024,59246800,59246800,2500,2800,2200,193522,466,148,2500,2500,2500,2300,200,2408,2500,,,2546,6391,244378,707578.0,193522,466,172,141,31,437900,901100,-463200,-,
10/09/2024,59246800,59246800,2500,2800,2200,70252,175,148,2500,2500,2600,2400,200,2498,2500,,,3133,5196,192948,657148.0,70252,175,84,140,-56,263200,727400,-464200,-,
09/09/2024,59246800,59246800,2500,2800,2200,51290,128,148,2500,2500,2600,2400,200,2494,2500,,,2408,5924,189510,677310.0,51290,128,100,123,-23,240800,728600,-487800,-,
06/09/2024,59246800,59246800,2500,2800,2200,98764,247,148,2500,2500,2600,2400,200,2500,2500,,,2376,5909,217236,681236.0,98764,247,133,132,1,316000,780000,-464000,-,
05/09/2024,59246800,59246800,2500,2800,2200,87864,220,148,2600,2500,2600,2500,100,2502,2500,,,3146,5558,255036,779136.0,87864,220,109,156,-47,342900,867000,-524100,-,
04/09/2024,59246800,59246800,2500,2800,2200,123757,309,148,2500,2500,2600,2500,100,2500,2500,,,2640,4980,208843,578443.0,123757,309,126,141,-15,332600,702200,-369600,-,
30/08/2024,59246800,59246800,2600,2900,2300,213720,536,148,2600,2500,2600,2500,100,2508,2500,-100.0,-3.85,3788,7186,392280,950480.0,213720,536,160,162,-2,606000,1164200,-558200,-,
29/08/2024,59246800,59246800,2600,2900,2300,21232,54,154,2600,2600,2600,2500,100,2551,2600,,,3179,5610,427068,909968.0,21232,54,141,166,-25,448300,931200,-482900,-,
28/08/2024,59246800,59246800,2600,2900,2300,240826,625,154,2600,2600,2700,2500,200,2595,2600,,,4319,6008,385374,1225074.0,240826,625,145,244,-99,626200,1465900,-839700,-,
27/08/2024,59246800,59246800,2600,2900,2300,202121,527,154,2700,2600,2700,2500,200,2607,2600,,,5704,5068,653479,1120679.0,202121,527,150,261,-111,855600,1322800,-467200,-,
26/08/2024,59246800,59246800,2500,2800,2200,631685,1646,160,2600,2700,2700,2500,200,2606,2700,200.0,8.0,7446,4344,686215,432515.0,631685,1646,177,245,-68,1317900,1064200,253700,-,
23/08/2024,59246800,59246800,2500,2800,2200,190736,477,148,2600,2500,2600,2400,200,2501,2500,,,4454,4962,410564,776864.0,190736,477,135,195,-60,601300,967600,-366300,-,
22/08/2024,59246800,59246800,2500,2800,2200,178988,447,148,2500,2500,2600,2400,200,2500,2500,,,3864,5646,342612,837312.0,178988,447,135,180,-45,521600,1016300,-494700,-,
21/08/2024,59246800,59246800,2500,2800,2200,220933,553,148,2500,2500,2600,2500,100,2501,2500,,,4448,6209,326167,958767.0,220933,553,123,190,-67,547100,1179700,-632600,-,
20/08/2024,59246800,59246800,2500,2800,2200,249296,624,148,2500,2500,2600,2500,100,2502,2500,,,4850,5921,415104,929004.0,249296,624,137,199,-62,664400,1178300,-513900,-,
19/08/2024,59246800,59246800,2500,2800,2200,194261,487,154,2500,2600,2600,2500,100,2508,2600,100.0,4.0,6238,5823,647839,719939.0,194261,487,135,157,-22,842100,914200,-72100,-,
16/08/2024,59246800,59246800,2500,2800,2200,224130,559,148,2500,2500,2600,2400,200,2495,2500,,,3480,5837,489370,715670.0,224130,559,205,161,44,713500,939800,-226300,-,
