Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12374997,12374997,12800,13650,11950,28400,358.0,158,12850,12750,12850,12400,450,12606.0,12800,-50.0,-0.39,1370,1267,800,3200,28400.0,358.0,33.0,43.0,-10,45200.0,54500.0,-9300,-,
26/09/2024,12374997,12374997,12700,13550,11850,35100,442.0,158,12600,12800,12800,12350,450,12593.0,12800,100.0,0.79,1381,1597,8300,2500,35100.0,442.0,53.0,33.0,20,73200.0,52700.0,20500,-,
25/09/2024,12374997,12374997,12700,13550,11850,10200,128.0,157,12700,12700,12700,12600,100,12549.0,12700,,,653,1346,4500,5600,10200.0,128.0,36.0,35.0,1,23500.0,47100.0,-23600,-,
24/09/2024,12374997,12374997,12650,13500,11800,11100,140.0,157,12650,12700,12700,12600,100,12613.0,12700,50.0,0.4,519,1143,1600,8200,11100.0,140.0,47.0,30.0,17,24400.0,34300.0,-9900,-,
23/09/2024,12374997,12374997,12600,13450,11750,32800,410.0,157,12350,12650,12650,12100,550,12500.0,12700,50.0,0.4,1659,1745,8600,24800,32800.0,410.0,46.0,44.0,2,76300.0,76800.0,-500,-,
20/09/2024,12374997,12374997,12500,13350,11650,1500,18.0,156,12500,12600,12600,12400,200,12000.0,12600,100.0,0.8,774,776,1300,10200,1500.0,18.0,39.0,42.0,-3,30200.0,32600.0,-2400,-,
19/09/2024,12374997,12374997,12500,13350,11650,24400,300.0,155,12500,12500,12500,12150,350,12295.0,12500,,,898,1756,1700,7700,24400.0,300.0,57.0,36.0,21,51200.0,63200.0,-12000,-,
18/09/2024,12374997,12374997,12500,13350,11650,17700,218.0,155,12600,12500,12600,12300,300,12316.0,12500,,,993,1190,11100,18800,17700.0,218.0,46.0,40.0,6,45700.0,47600.0,-1900,-,
17/09/2024,12374997,12374997,12550,13400,11700,100,1.0,155,12500,12500,12500,12500,-,10000.0,12500,-50.0,-0.4,335,160,5100,1500,100.0,1.0,20.0,20.0,-,6700.0,3200.0,3500,-,
