Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,112500000,112500000,18500,21200,15800,535,10.0,2059,18300,18300,18300,18300,-,18300,18300,-200.0,-1.08,2200,575,67665.0,6365,535.0,10.0,31.0,12,19,68200.0,6900,61300,-,
26/09/2024,112500000,112500000,18100,20800,15400,1001,19.0,2081,18500,18500,18500,18500,-,18500,18500,400.0,2.21,1888,1950,31099.0,22399,1001.0,19.0,17.0,12,5,32100.0,23400,8700,-,
25/09/2024,112500000,112500000,19000,21800,16200,7407,134.0,2025,17500,18000,18500,17500,1000,18074,18000,-1000.0,-5.26,523,907,4093.0,6193,7407.0,134.0,22.0,15,7,11500.0,13600,-2100,-,
24/09/2024,112500000,112500000,19600,22500,16700,1400,27.0,2138,19000,19000,19000,19000,-,19000,19000,-600.0,-3.06,2939,479,51500.0,5300,1400.0,27.0,18.0,14,4,52900.0,6700,46200,-,
23/09/2024,112500000,112500000,19500,22400,16600,2638,52.0,2081,19400,18500,19900,18500,1400,19577,18500,-1000.0,-5.13,1787,547,38462.0,7762,2638.0,52.0,23.0,19,4,41100.0,10400,30700,-,
20/09/2024,112500000,112500000,17700,20300,15100,5619,110.0,2138,20000,19000,20000,19000,1000,19536,19000,1300.0,7.34,3117,650,84781.0,7381,5619.0,110.0,29.0,20,9,90400.0,13000,77400,-,
19/09/2024,112500000,112500000,17800,20400,15200,9100,161.0,2003,17800,17800,17900,17600,300,17686,17800,,,3132,938,78600.0,5900,9100.0,161.0,28.0,16,12,87700.0,15000,72700,-,
18/09/2024,112500000,112500000,19200,22000,16400,17310,309.0,1991,19100,17700,19100,17600,1500,17843,17700,-1500.0,-7.81,1025,1374,3190.0,8790,17310.0,309.0,20.0,19,1,20500.0,26100,-5600,-,
17/09/2024,112500000,112500000,18500,21200,15800,639,12.0,2126,20900,18900,20900,18900,2000,19233,18900,400.0,2.16,825,600,5961.0,10161,639.0,12.0,8.0,18,-10,6600.0,10800,-4200,-,
16/09/2024,112500000,112500000,19500,22400,16600,511,9.0,2070,18500,18400,18500,18400,100,18480,18400,-1100.0,-5.64,1800,992,6689.0,11389,511.0,9.0,4.0,12,-8,7200.0,11900,-4700,-,
13/09/2024,112500000,112500000,17600,20200,15000,114,2.0,2194,19500,19500,19500,19500,-,19500,19500,1900.0,10.8,643,727,4386.0,7886,114.0,2.0,7.0,11,-4,4500.0,8000,-3500,-,
12/09/2024,112500000,112500000,17600,20200,15000,-,,1980,17600,17600,17600,17600,-,17600,17600,,,533,522,4800.0,4700,,,9.0,9,-,4800.0,4700,100,-,
11/09/2024,112500000,112500000,17600,20200,15000,-,,1980,17600,17600,17600,17600,-,17600,17600,,,643,1511,4500.0,13600,,,7.0,9,-2,4500.0,13600,-9100,-,
10/09/2024,112500000,112500000,17500,20100,14900,1301,23.0,1991,17500,17700,17700,17500,200,17608,17700,200.0,1.14,788,464,4999.0,5199,1301.0,23.0,8.0,14,-6,6300.0,6500,-200,-,
09/09/2024,112500000,112500000,17400,20000,14800,7501,131.0,1969,17200,17500,17500,17200,300,17489,17500,100.0,0.57,1345,1020,7299.0,2699,7501.0,131.0,11.0,10,1,14800.0,10200,4600,-,
06/09/2024,112500000,112500000,17500,20100,14900,200,3.0,1958,17400,17400,17400,17400,-,17400,17400,-100.0,-0.57,673,767,7200.0,6700,200.0,3.0,11.0,9,2,7400.0,6900,500,-,
05/09/2024,112500000,112500000,17500,20100,14900,504,9.0,1969,17500,17500,17500,17500,-,17500,17500,,,540,989,2196.0,8396,504.0,9.0,5.0,9,-4,2700.0,8900,-6200,-,
04/09/2024,112500000,112500000,17400,20000,14800,1200,21.0,1969,17500,17500,17500,17500,-,17500,17500,100.0,0.57,942,1129,10100.0,6700,1200.0,21.0,12.0,7,5,11300.0,7900,3400,-,
30/08/2024,112500000,112500000,17400,20000,14800,13,0.0,1958,17400,17500,17400,17400,-,17400,17400,100.0,0.57,230,738,2287.0,5887,13.0,0.0,10.0,8,2,2300.0,5900,-3600,-,
29/08/2024,112500000,112500000,17000,19500,14500,2000,35.0,1969,17100,17500,17500,17100,400,17380,17500,500.0,2.94,615,1064,6000.0,9700,2000.0,35.0,13.0,11,2,8000.0,11700,-3700,-,
28/08/2024,112500000,112500000,16600,19000,14200,200,3.0,1913,17000,17000,17000,17000,-,17000,17000,400.0,2.41,360,1363,3400.0,10700,200.0,3.0,10.0,8,2,3600.0,10900,-7300,-,
27/08/2024,112500000,112500000,16600,19000,14200,5,0.0,1868,16600,16600,16600,16600,-,16600,16600,,,486,1350,3395.0,10795,5.0,0.0,7.0,8,-1,3400.0,10800,-7400,-,
26/08/2024,112500000,112500000,16600,19000,14200,-,,1868,16600,16600,16600,16600,-,16600,16600,,,380,1860,3800.0,9300,,,10.0,5,5,3800.0,9300,-5500,-,
23/08/2024,112500000,112500000,17300,19800,14800,100,2.0,1868,16600,16600,16600,16600,-,16600,16600,-700.0,-4.05,512,911,8600.0,8100,100.0,2.0,17.0,9,8,8700.0,8200,500,-,
22/08/2024,112500000,112500000,17300,19800,14800,1000,17.0,1946,17300,17300,17300,17300,-,17300,17300,,,600,1444,5000.0,12000,1000.0,17.0,10.0,9,1,6000.0,13000,-7000,-,
21/08/2024,112500000,112500000,17500,20100,14900,2010,35.0,1946,17200,17300,17300,17200,100,17250,17300,-200.0,-1.14,481,1018,5690.0,9190,2010.0,35.0,16.0,11,5,7700.0,11200,-3500,-,
20/08/2024,112500000,112500000,17200,19700,14700,105,2.0,1969,17500,17500,17500,17500,-,17500,17500,300.0,1.74,357,1423,2395.0,18395,105.0,2.0,7.0,13,-6,2500.0,18500,-16000,-,
19/08/2024,112500000,112500000,19700,22600,16800,11010,190.0,1969,17600,17500,17600,17000,600,17217,17500,-2200.0,-11.17,1071,1226,3990.0,17190,11010.0,190.0,14.0,23,-9,15000.0,28200,-13200,-,
16/08/2024,112500000,112500000,19700,22600,16800,-,,2216,19700,19700,19700,19700,-,19700,19700,,,733,842,2200.0,16000,,,3.0,19,-16,2200.0,16000,-13800,-,
15/08/2024,112500000,112500000,19700,22600,16800,11,0.0,2216,19700,19700,19700,19700,-,19700,19700,,,1000,1213,1989.0,19389,11.0,0.0,2.0,16,-14,2000.0,19400,-17400,-,
14/08/2024,112500000,112500000,17600,20200,15000,115,2.0,2216,19700,19700,19700,19700,-,19700,19700,2100.0,11.93,778,555,6885.0,15985,115.0,2.0,9.0,29,-20,7000.0,16100,-9100,-,
13/08/2024,112500000,112500000,15700,18000,13400,9500,167.0,2003,16700,17800,17800,16700,1100,17599,17800,2100.0,13.38,616,665,5900.0,1800,9500.0,167.0,25.0,17,8,15400.0,11300,4100,-,
