Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4541950,4541950,23900,27400,20400,1401,35.0,111,24700,24500,24700,24500,200,24657,24500,600.0,2.51,233,280,,1399.0,1401.0,35.0,6.0,10.0,-4,1400.0,2800.0,-1400,-,
26/09/2024,4541950,4541950,23300,26700,19900,1300,31.0,112,23200,24700,24700,23000,1700,23877,24700,1400.0,6.01,3383,329,19000.0,1000.0,1300.0,31.0,6.0,7.0,-1,20300.0,2300.0,18000,-,
25/09/2024,4541950,4541950,23300,26700,19900,-,,106,23300,23300,23300,23300,-,23300,23300,,,-,633,,1900.0,,,1.0,3.0,-2,,1900.0,-1900,-,
24/09/2024,4541950,4541950,23400,26900,19900,200,5.0,106,23300,23300,23300,23300,-,23300,23300,-100.0,-0.43,100,533,100.0,1400.0,200.0,5.0,3.0,3.0,-,300.0,1600.0,-1300,-,
23/09/2024,4541950,4541950,23400,26900,19900,-,,106,23400,23400,23400,23400,-,23400,23400,,,67,1000,200.0,1000.0,,,3.0,1.0,2,200.0,1000.0,-800,-,
20/09/2024,4541950,4541950,23100,26500,19700,500,12.0,106,23400,23400,23400,23400,-,23400,23400,300.0,1.3,464,460,9700.0,1800.0,500.0,12.0,22.0,5.0,17,10200.0,2300.0,7900,-,
19/09/2024,4541950,4541950,23100,26500,19700,-,,105,23100,23100,23100,23100,-,23100,23100,,,160,550,800.0,1100.0,,,5.0,2.0,3,800.0,1100.0,-300,-,
18/09/2024,4541950,4541950,23100,26500,19700,34,1.0,105,23100,23100,23100,23100,-,23100,23100,,,200,-,566.0,,34.0,1.0,3.0,,3,600.0,,600,-,
17/09/2024,4541950,4541950,25000,28700,21300,500,12.0,105,23100,23100,23100,23100,-,23100,23100,-1900.0,-7.6,767,425,4100.0,1200.0,500.0,12.0,6.0,4.0,2,4600.0,1700.0,2900,-,
16/09/2024,4541950,4541950,25000,28700,21300,-,,114,25000,25000,25000,25000,-,25000,25000,,,-,325,,1300.0,,,1.0,4.0,-3,,1300.0,-1300,-,
13/09/2024,4541950,4541950,25000,28700,21300,-,,114,25000,25000,25000,25000,-,25000,25000,,,-,350,,2100.0,,,,6.0,-6,,2100.0,-2100,-,
12/09/2024,4541950,4541950,25000,28700,21300,-,,114,25000,25000,25000,25000,-,25000,25000,,,50,400,100.0,1600.0,,,2.0,4.0,-2,100.0,1600.0,-1500,-,
11/09/2024,4541950,4541950,25000,28700,21300,-,,114,25000,25000,25000,25000,-,25000,25000,,,50,260,100.0,1300.0,,,2.0,5.0,-3,100.0,1300.0,-1200,-,
10/09/2024,4541950,4541950,25000,28700,21300,44,1.0,114,25000,25000,25000,25000,-,25000,25000,,,500,317,956.0,1856.0,44.0,1.0,2.0,6.0,-4,1000.0,1900.0,-900,-,
09/09/2024,4541950,4541950,23900,27400,20400,200,5.0,114,25000,25000,25000,25000,-,25000,25000,1100.0,4.6,67,167,,800.0,200.0,5.0,3.0,6.0,-3,200.0,1000.0,-800,-,
06/09/2024,4541950,4541950,23900,27400,20400,-,,109,23900,23900,23900,23900,-,23900,23900,,,100,750,300.0,1500.0,,,3.0,2.0,1,300.0,1500.0,-1200,-,
05/09/2024,4541950,4541950,23900,27400,20400,200,5.0,109,23900,23900,23900,23900,-,23900,23900,,,250,200,800.0,200.0,200.0,5.0,4.0,2.0,2,1000.0,400.0,600,-,
04/09/2024,4541950,4541950,23900,27400,20400,-,,109,23900,23900,23900,23900,-,23900,23900,,,980,167,4900.0,500.0,,,5.0,3.0,2,4900.0,500.0,4400,-,
30/08/2024,4541950,4541950,23900,27400,20400,300,7.0,109,23900,24000,24000,23800,200,23900,24000,100.0,0.42,1300,125,14000.0,200.0,300.0,7.0,11.0,4.0,7,14300.0,500.0,13800,-,
29/08/2024,4541950,4541950,23800,27300,20300,100,2.0,109,23900,23900,23900,23900,-,23900,23900,100.0,0.42,2286,233,15900.0,600.0,100.0,2.0,7.0,3.0,4,16000.0,700.0,15300,-,
28/08/2024,4541950,4541950,23800,27300,20300,-,,108,23800,23800,23800,23800,-,23800,23800,,,3267,367,9800.0,1100.0,,,3.0,3.0,-,9800.0,1100.0,8700,-,
27/08/2024,4541950,4541950,23500,27000,20000,1100,26.0,109,23500,24000,24000,23500,500,23845,24000,500.0,2.13,367,243,1100.0,600.0,1100.0,26.0,6.0,7.0,-1,2200.0,1700.0,500,-,
26/08/2024,4541950,4541950,24500,28100,20900,100,2.0,107,23500,23500,23500,23500,-,23500,23500,-1000.0,-4.08,29,300,100.0,1400.0,100.0,2.0,7.0,5.0,2,200.0,1500.0,-1300,-,
23/08/2024,4541950,4541950,24500,28100,20900,-,,111,24500,24500,24500,24500,-,24500,24500,,,475,380,3800.0,1900.0,,,8.0,5.0,3,3800.0,1900.0,1900,-,
22/08/2024,4541950,4541950,24300,27900,20700,500,12.0,111,24500,24500,24500,24500,-,24500,24500,200.0,0.82,300,567,2500.0,1200.0,500.0,12.0,10.0,3.0,7,3000.0,1700.0,1300,-,
21/08/2024,4541950,4541950,24000,27600,20400,1500,36.0,110,24200,24300,24400,24200,200,24300,24300,300.0,1.25,212,350,2100.0,1300.0,1500.0,36.0,17.0,8.0,9,3600.0,2800.0,800,-,
20/08/2024,4541950,4541950,25000,28700,21300,1400,34.0,109,24500,24000,24500,24000,500,24036,24000,-1000.0,-4.0,1280,300,5000.0,100.0,1400.0,34.0,5.0,5.0,-,6400.0,1500.0,4900,-,
19/08/2024,4541950,4541950,24100,27700,20500,201,5.0,114,25000,25000,25000,25000,-,25000,25000,900.0,3.73,212,433,3399.0,1099.0,201.0,5.0,17.0,3.0,14,3600.0,1300.0,2300,-,
16/08/2024,4541950,4541950,24000,27600,20400,2205,53.0,110,24000,24300,24300,24000,300,24118,24300,300.0,1.25,988,314,13595.0,,2205.0,53.0,16.0,7.0,9,15800.0,2200.0,13600,-,
15/08/2024,4541950,4541950,24000,27600,20400,-,,109,24000,24000,24000,24000,-,24000,24000,,,-,300,,600.0,,,,2.0,-2,,600.0,-600,-,
14/08/2024,4541950,4541950,23700,27200,20200,660,16.0,109,23700,24000,24000,23700,300,23950,24000,300.0,1.27,375,225,840.0,240.0,660.0,16.0,4.0,4.0,-,1500.0,900.0,600,-,
13/08/2024,4541950,4541950,22600,25900,19300,1206,29.0,108,23800,23800,23800,23700,100,23742,23800,1200.0,5.31,120,250,,294.0,1206.0,29.0,10.0,6.0,4,1200.0,1500.0,-300,-,
12/08/2024,4541950,4541950,20600,23600,17600,1006,23.0,100,23100,22000,23100,22000,1100,22550,22000,1400.0,6.8,1240,211,5194.0,894.0,1006.0,23.0,5.0,9.0,-4,6200.0,1900.0,4300,-,
09/08/2024,4541950,4541950,22000,25300,18700,-,,100,22000,22000,22000,22000,-,22000,20600,,,964,367,10600.0,2200.0,,,11.0,6.0,5,10600.0,2200.0,8400,-,
08/08/2024,4541950,4541950,22000,25300,18700,1,0.0,100,22000,22000,22000,22000,-,22000,20600,,,100,225,399.0,899.0,1.0,0.0,4.0,4.0,-,400.0,900.0,-500,-,
07/08/2024,4541950,4541950,22000,25300,18700,1,0.0,100,22000,22000,22000,22000,-,22000,20600,,,1525,300,12199.0,1499.0,1.0,0.0,8.0,5.0,3,12200.0,1500.0,10700,-,
06/08/2024,4541950,4541950,22000,25300,18700,-,,100,22000,22000,22000,22000,-,22000,20600,,,2040,475,10200.0,1900.0,,,5.0,4.0,1,10200.0,1900.0,8300,-,
05/08/2024,4541950,4541950,22000,25300,18700,-,,100,22000,22000,22000,22000,-,22000,20600,,,540,380,8100.0,1900.0,,,15.0,5.0,10,8100.0,1900.0,6200,-,
02/08/2024,4541950,4541950,22000,25300,18700,1,0.0,100,22000,22000,22000,22000,-,22000,20600,,,786,233,5499.0,1399.0,1.0,0.0,7.0,6.0,1,5500.0,1400.0,4100,-,
01/08/2024,4541950,4541950,22000,25300,18700,14,0.0,100,22000,22000,22000,22000,-,22000,20600,,,300,260,2686.0,1286.0,14.0,0.0,9.0,5.0,4,2700.0,1300.0,1400,-,
31/07/2024,4541950,4541950,21500,24700,18300,800,18.0,100,22000,22000,22000,22000,-,22000,20600,500.0,2.33,292,317,2700.0,1100.0,800.0,18.0,12.0,6.0,6,3500.0,1900.0,1600,-,
30/07/2024,4541950,4541950,21500,24700,18300,100,2.0,98,21500,21500,21500,21500,-,21500,20100,,,100,220,600.0,1000.0,100.0,2.0,7.0,5.0,2,700.0,1100.0,-400,-,
29/07/2024,4541950,4541950,21500,24700,18300,1,0.0,98,21500,21500,21500,21500,-,21500,20100,,,100,220,599.0,1099.0,1.0,0.0,6.0,5.0,1,600.0,1100.0,-500,-,
26/07/2024,4541950,4541950,21500,24700,18300,100,2.0,98,21500,21500,21500,21500,-,21500,20100,,,875,250,6900.0,900.0,100.0,2.0,8.0,4.0,4,7000.0,1000.0,6000,-,
25/07/2024,4541950,4541950,23000,26400,19600,100,2.0,98,21500,21500,21500,21500,-,21500,20100,-1500.0,-6.52,525,200,2000.0,900.0,100.0,2.0,4.0,5.0,-1,2100.0,1000.0,1100,-,
24/07/2024,4541950,4541950,23000,26400,19600,1,0.0,104,23000,23000,23000,23000,-,23000,21500,,,100,200,199.0,1199.0,1.0,0.0,2.0,6.0,-4,200.0,1200.0,-1000,-,
23/07/2024,4541950,4541950,23000,26400,19600,200,5.0,104,23000,23000,23000,23000,-,23000,21500,,,67,260,200.0,1100.0,200.0,5.0,6.0,5.0,1,400.0,1300.0,-900,-,
22/07/2024,4541950,4541950,23000,26400,19600,-,,104,23000,23000,23000,23000,-,23000,21500,,,50,300,200.0,600.0,,,4.0,2.0,2,200.0,600.0,-400,-,
19/07/2024,4541950,4541950,23000,26400,19600,100,2.0,104,23000,23000,23000,23000,-,23000,21500,,,143,220,1900.0,1000.0,100.0,2.0,14.0,5.0,9,2000.0,1100.0,900,-,
18/07/2024,4541950,4541950,23000,26400,19600,800,18.0,104,23000,23000,23000,23000,-,23000,21500,,,254,300,2500.0,700.0,800.0,18.0,13.0,5.0,8,3300.0,1500.0,1800,-,
17/07/2024,4541950,4541950,24000,27600,20400,400,9.0,104,23000,23000,23000,23000,-,23000,21500,-1000.0,-4.17,155,250,1300.0,1100.0,400.0,9.0,11.0,6.0,5,1700.0,1500.0,200,-,
16/07/2024,4541950,4541950,24000,27600,20400,100,2.0,109,24000,24000,24000,24000,-,24000,22500,,,446,180,5700.0,800.0,100.0,2.0,13.0,5.0,8,5800.0,900.0,4900,-,
15/07/2024,4541950,4541950,23300,26700,19900,900,22.0,111,23900,24500,24500,23900,600,23967,22900,1200.0,5.15,275,225,3500.0,900.0,900.0,22.0,16.0,8.0,8,4400.0,1800.0,2600,-,
12/07/2024,4541950,4541950,23100,26500,19700,400,9.0,106,23300,23300,23300,23300,-,23300,21800,200.0,0.87,675,350,7700.0,300.0,400.0,9.0,12.0,2.0,10,8100.0,700.0,7400,-,
11/07/2024,4541950,4541950,23000,26400,19600,716,17.0,104,23000,23000,23400,23000,400,23057,21500,,,291,167,2484.0,284.0,716.0,17.0,11.0,6.0,5,3200.0,1000.0,2200,-,
10/07/2024,4541950,4541950,22600,25900,19300,1000,23.0,104,23000,23000,23000,23000,-,23000,21500,400.0,1.77,381,400,5100.0,200.0,1000.0,23.0,16.0,3.0,13,6100.0,1200.0,4900,-,
09/07/2024,4541950,4541950,22800,26200,19400,700,16.0,104,22500,23000,23000,22000,1000,22571,21500,200.0,0.88,282,129,4100.0,200.0,700.0,16.0,17.0,7.0,10,4800.0,900.0,3900,-,
08/07/2024,4541950,4541950,23300,26700,19900,420,10.0,104,22800,22800,22800,22800,-,22800,21300,-500.0,-2.15,1107,160,16180.0,380.0,420.0,10.0,15.0,5.0,10,16600.0,800.0,15800,-,
05/07/2024,4541950,4541950,23300,26700,19900,-,,106,23300,23300,23300,23300,-,23300,21800,,,83,1000,1000.0,1000.0,,,12.0,1.0,11,1000.0,1000.0,-,-,
04/07/2024,4541950,4541950,22500,25800,19200,800,19.0,104,25800,22800,25800,22800,3000,23300,21300,300.0,1.33,167,267,1700.0,,800.0,19.0,15.0,3.0,12,2500.0,800.0,1700,-,
03/07/2024,4541950,4541950,22100,25400,18800,100,2.0,102,22500,22500,22500,22500,-,22500,21100,400.0,1.81,91,100,900.0,100.0,100.0,2.0,11.0,2.0,9,1000.0,200.0,800,-,
02/07/2024,4541950,4541950,24800,28500,21100,700,15.0,100,22100,22100,22100,22100,-,22100,20700,-2700.0,-10.89,1482,113,15600.0,200.0,700.0,15.0,11.0,8.0,3,16300.0,900.0,15400,-,
01/07/2024,4541950,4541950,24800,28500,21100,1,0.0,113,24800,24800,24800,24800,-,24800,23200,,,175,340,699.0,1699.0,1.0,0.0,4.0,5.0,-1,700.0,1700.0,-1000,-,
28/06/2024,4541950,4541950,24800,28500,21100,-,,113,24800,24800,24800,24800,-,24800,23200,,,214,133,1500.0,400.0,,,7.0,3.0,4,1500.0,400.0,1100,-,
27/06/2024,4541950,4541950,24800,28500,21100,500,12.0,113,24800,24800,24800,24800,-,24800,23200,,,183,233,600.0,200.0,500.0,12.0,6.0,3.0,3,1100.0,700.0,400,-,
26/06/2024,4541950,4541950,24900,28600,21200,201,5.0,113,24800,24800,24800,24800,-,24800,23200,-100.0,-0.4,133,280,999.0,1199.0,201.0,5.0,9.0,5.0,4,1200.0,1400.0,-200,-,
25/06/2024,4541950,4541950,24900,28600,21200,1,0.0,113,24900,24900,24900,24900,-,24900,23300,,,29,280,199.0,1399.0,1.0,0.0,7.0,5.0,2,200.0,1400.0,-1200,-,
24/06/2024,4541950,4541950,24900,28600,21200,-,,113,24900,24900,24900,24900,-,24900,23300,,,2118,200,23300.0,600.0,,,11.0,3.0,8,23300.0,600.0,22700,-,
21/06/2024,4541950,4541950,24600,28200,21000,501,12.0,113,24600,24900,25000,24600,400,24880,23300,300.0,1.22,92,117,699.0,199.0,501.0,12.0,13.0,6.0,7,1200.0,700.0,500,-,
20/06/2024,4541950,4541950,24600,28200,21000,-,,112,24600,24600,24600,24600,-,24600,23000,,,280,100,1400.0,100.0,,,5.0,1.0,4,1400.0,100.0,1300,-,
19/06/2024,4541950,4541950,24600,28200,21000,300,7.0,112,24600,24600,24600,24600,-,24600,23000,,,82,133,600.0,100.0,300.0,7.0,11.0,3.0,8,900.0,400.0,500,-,
18/06/2024,4541950,4541950,23900,27400,20400,404,10.0,111,24000,24400,25500,24000,1500,24550,22800,500.0,2.09,297,100,8196.0,96.0,404.0,10.0,29.0,5.0,24,8600.0,500.0,8100,-,
17/06/2024,4541950,4541950,24200,27800,20600,200,5.0,109,23900,23900,23900,23900,-,23900,22400,-300.0,-1.24,407,850,5500.0,1500.0,200.0,5.0,14.0,2.0,12,5700.0,1700.0,4000,-,
14/06/2024,4541950,4541950,23200,26600,19800,300,7.0,104,26600,23000,26600,23000,3600,24200,21500,-200.0,-0.86,310,350,6200.0,1100.0,300.0,7.0,21.0,4.0,17,6500.0,1400.0,5100,-,
13/06/2024,4541950,4541950,23100,26500,19700,200,5.0,105,23200,23200,23200,23200,-,23200,21700,100.0,0.43,136,250,1300.0,800.0,200.0,5.0,11.0,4.0,7,1500.0,1000.0,500,-,
12/06/2024,4541950,4541950,23400,26900,19900,400,9.0,105,23100,23100,23100,23100,-,23100,21600,-300.0,-1.28,229,300,1200.0,1400.0,400.0,9.0,7.0,6.0,1,1600.0,1800.0,-200,-,
11/06/2024,4541950,4541950,23400,26900,19900,2,0.0,106,23400,23700,23400,23400,-,23400,21900,300.0,1.28,800,833,9598.0,2498.0,2.0,0.0,12.0,3.0,9,9600.0,2500.0,7100,-,
10/06/2024,4541950,4541950,23200,26600,19800,700,16.0,108,23400,23700,23700,23400,300,23443,22200,500.0,2.16,444,200,3300.0,100.0,700.0,16.0,9.0,4.0,5,4000.0,800.0,3200,-,
07/06/2024,4541950,4541950,23000,26400,19600,400,9.0,105,23200,23200,23200,23200,-,23200,21700,200.0,0.87,286,250,1600.0,100.0,400.0,9.0,7.0,2.0,5,2000.0,500.0,1500,-,
06/06/2024,4541950,4541950,23100,26500,19700,421,10.0,104,23000,23000,23000,23000,-,23000,21500,-100.0,-0.43,567,317,6379.0,1479.0,421.0,10.0,12.0,6.0,6,6800.0,1900.0,4900,-,
05/06/2024,4541950,4541950,23000,26400,19600,300,7.0,105,23200,23100,23200,23100,100,23133,21600,100.0,0.43,243,350,3100.0,1100.0,300.0,7.0,14.0,4.0,10,3400.0,1400.0,2000,-,
