Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
26/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,1.0,,1,,,-,-,
25/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
24/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,1.0,,1,,,-,-,
23/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
20/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
19/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,1.0,,1,,,-,-,
18/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
17/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
16/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
13/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
12/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
11/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
10/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
09/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
06/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
05/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
04/09/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
30/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
29/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
28/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
27/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
26/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
23/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
22/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
21/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
20/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
19/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
15/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
14/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
13/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
12/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
09/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
08/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
07/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
06/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
05/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
02/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,200,,200.0,,,,1.0,-1,,200.0,-200,-,
01/08/2024,3150747,3150747,14600,16000,13200,-,,46,14600,14600,14600,14600,-,14600,14600,,,-,-,,,,,,,-,,,-,-,
