Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,244119369,3100499616,24800,28500,21100,5810104,142659,75962,24800,24500,24900,24300,600,24555,24500,-300.0,-1.21,2586,3152,2058896,6156596,5806804,142589,3042,3795,-753,7865700,11963400,-4097700,3300,70.0
26/09/2024,244119369,3100499616,24000,27600,20400,16343770,404108,76892,24200,24800,25300,24100,1200,24772,24800,800.0,3.33,3187,2961,3854130,9186630,16143770,399908,6275,8555,-2280,19997900,25330400,-5332500,200000,4200.0
25/09/2024,244119369,3100499616,23900,27400,20400,5814383,139736,74722,24000,24100,24300,23900,400,24033,24100,200.0,0.84,3223,2725,3500717,5281017,5814383,139736,2890,4072,-1182,9315100,11095400,-1780300,-,
24/09/2024,244119369,3100499616,23900,27400,20400,14234348,348617,74412,23900,24000,24100,23700,400,23891,24000,100.0,0.42,2976,3564,2604552,3648352,4834348,115497,2500,2380,120,7438900,8482700,-1043800,9400000,233120.0
23/09/2024,244119369,3100499616,23800,27300,20300,3371103,80550,74102,23900,23900,24200,23800,400,23894,23900,100.0,0.42,2829,3036,2264497,6024097,3371103,80550,1992,3095,-1103,5635600,9395200,-3759600,-,
20/09/2024,244119369,3100499616,23400,26900,19900,10968942,260613,74102,23500,23900,24200,23400,800,23812,23900,500.0,2.14,2839,2847,2952458,5238358,10812942,257477,4849,5638,-789,13765400,16051300,-2285900,156000,3136.0
19/09/2024,244119369,3100499616,23600,27100,20100,3579011,83849,72862,23600,23500,23700,23300,400,23428,23500,-100.0,-0.42,2865,3260,2706689,4408389,3579011,83849,2194,2450,-256,6285700,7987400,-1701700,-,
18/09/2024,244119369,3100499616,23400,26900,19900,3776846,89133,73172,23900,23600,23900,23400,500,23600,23600,200.0,0.85,2468,2948,1670254,5454754,3776846,89133,2207,3132,-925,5447100,9231600,-3784500,-,
17/09/2024,244119369,3100499616,23200,26600,19800,5423605,127431,73482,23200,23700,23800,23100,700,23410,23700,500.0,2.16,3873,3154,3024895,1428195,5267605,123313,2141,2123,18,8292500,6695800,1596700,156000,4118.0
