Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,25000000,24956600,12300,14100,10500,1201,15.0,304,12200,12200,12200,12200,-,12200,12200,-100.0,-0.81,413,380,2099.0,699.0,1201.0,15.0,8.0,5.0,3,3300.0,1900.0,1400,-,
26/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,200,500,200.0,2000.0,,,1.0,4.0,-3,200.0,2000.0,-1800,-,
25/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,217,750,1300.0,1500.0,,,6.0,2.0,4,1300.0,1500.0,-200,-,
24/09/2024,25000000,24956600,12300,14100,10500,1,0.0,307,12300,12300,12300,12300,-,12300,12300,,,600,833,1799.0,2499.0,1.0,0.0,3.0,3.0,-,1800.0,2500.0,-700,-,
23/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,150,333,300.0,1000.0,,,2.0,3.0,-1,300.0,1000.0,-700,-,
20/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,100,400,200.0,2000.0,,,2.0,5.0,-3,200.0,2000.0,-1800,-,
19/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,100,200,200.0,1000.0,,,2.0,5.0,-3,200.0,1000.0,-800,-,
18/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,100,220,200.0,1100.0,,,2.0,5.0,-3,200.0,1100.0,-900,-,
17/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,100,180,100.0,900.0,,,1.0,5.0,-4,100.0,900.0,-800,-,
16/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,150,200,300.0,1200.0,,,2.0,6.0,-4,300.0,1200.0,-900,-,
13/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,100,360,300.0,1800.0,,,3.0,5.0,-2,300.0,1800.0,-1500,-,
12/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,100,367,200.0,2200.0,,,2.0,6.0,-4,200.0,2200.0,-2000,-,
11/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,100,250,200.0,1000.0,,,2.0,4.0,-2,200.0,1000.0,-800,-,
10/09/2024,25000000,24956600,12300,14100,10500,-,,307,12300,12300,12300,12300,-,12300,12300,,,100,400,300.0,3200.0,,,3.0,8.0,-5,300.0,3200.0,-2900,-,
09/09/2024,25000000,24956600,12500,14300,10700,101,1.0,307,12300,12300,12300,12300,-,12300,12300,-200.0,-1.6,100,400,99.0,1899.0,101.0,1.0,2.0,5.0,-3,200.0,2000.0,-1800,-,
06/09/2024,25000000,24956600,12500,14300,10700,-,,312,12500,12500,12500,12500,-,12500,12500,,,100,200,200.0,800.0,,,2.0,4.0,-2,200.0,800.0,-600,-,
05/09/2024,25000000,24956600,12500,14300,10700,-,,312,12500,12500,12500,12500,-,12500,12500,,,100,300,100.0,300.0,,,1.0,1.0,-,100.0,300.0,-200,-,
