Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,5000000,12400,14200,10600,100,1.0,61,12100,12100,12100,12100,-,12100,12100,-300.0,-2.42,433,1250,2500.0,4900.0,100.0,1.0,6.0,4.0,2,2600.0,5000.0,-2400,-,
26/09/2024,5000000,5000000,12700,14600,10800,300,4.0,61,12100,12100,13000,12100,900,12400,12100,-600.0,-4.72,880,450,4100.0,3300.0,300.0,4.0,5.0,8.0,-3,4400.0,3600.0,800,-,
25/09/2024,5000000,5000000,14400,16500,12300,100,1.0,64,12700,12700,12700,12700,-,12700,12700,-1700.0,-11.81,567,438,1600.0,3400.0,100.0,1.0,3.0,8.0,-5,1700.0,3500.0,-1800,-,
24/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,200,314,600.0,2200.0,,,3.0,7.0,-4,600.0,2200.0,-1600,-,
23/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,567,267,1700.0,1600.0,,,3.0,6.0,-3,1700.0,1600.0,100,-,
20/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,567,125,1700.0,500.0,,,3.0,4.0,-1,1700.0,500.0,1200,-,
19/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,533,129,1600.0,900.0,,,3.0,7.0,-4,1600.0,900.0,700,-,
18/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,567,286,1700.0,2000.0,,,3.0,7.0,-4,1700.0,2000.0,-300,-,
17/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,567,686,1700.0,4800.0,,,3.0,7.0,-4,1700.0,4800.0,-3100,-,
16/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,567,557,1700.0,3900.0,,,3.0,7.0,-4,1700.0,3900.0,-2200,-,
13/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,567,500,1700.0,4500.0,,,3.0,9.0,-6,1700.0,4500.0,-2800,-,
12/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,1067,314,3200.0,2200.0,,,3.0,7.0,-4,3200.0,2200.0,1000,-,
11/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,17067,163,51200.0,1300.0,,,3.0,8.0,-5,51200.0,1300.0,49900,-,
10/09/2024,5000000,5000000,14400,16500,12300,-,,72,14400,14400,14400,14400,-,14400,14400,,,17400,229,52200.0,1600.0,,,3.0,7.0,-4,52200.0,1600.0,50600,-,
09/09/2024,5000000,5000000,13500,15500,11500,100,1.0,72,14400,14400,14400,14400,-,14400,14400,900.0,6.67,500,500,2900.0,3400.0,100.0,1.0,6.0,7.0,-1,3000.0,3500.0,-500,-,
06/09/2024,5000000,5000000,15600,17900,13300,300,4.0,68,13500,13500,13500,13500,-,13500,13500,-2100.0,-13.46,150,355,,3600.0,300.0,4.0,2.0,11.0,-9,300.0,3900.0,-3600,-,
05/09/2024,5000000,5000000,15600,17900,13300,-,,78,15600,15600,15600,15600,-,15600,15600,,,-,550,,3300.0,,,,6.0,-6,,3300.0,-3300,-,
04/09/2024,5000000,5000000,14800,17000,12600,600,9.0,85,17000,17000,17000,12700,4300,15567,17000,2200.0,14.86,3757,620,52000.0,2500.0,600.0,9.0,14.0,5.0,9,52600.0,3100.0,49500,-,
30/08/2024,5000000,5000000,14500,16600,12400,300,4.0,70,16600,13900,16600,13900,2700,14833,13900,-600.0,-4.14,300,991,1200.0,10600.0,300.0,4.0,5.0,11.0,-6,1500.0,10900.0,-9400,-,
29/08/2024,5000000,5000000,14000,16100,11900,100,1.0,73,14500,14500,14500,14500,-,14500,14500,500.0,3.57,860,1300,4200.0,7700.0,100.0,1.0,5.0,6.0,-1,4300.0,7800.0,-3500,-,
28/08/2024,5000000,5000000,14000,16100,11900,-,,70,14000,14000,14000,14000,-,14000,14000,,,1800,1500,7200.0,7500.0,,,4.0,5.0,-1,7200.0,7500.0,-300,-,
27/08/2024,5000000,5000000,14100,16200,12000,100,1.0,70,14000,14000,14000,14000,-,14000,14000,-100.0,-0.71,550,1967,2100.0,5800.0,100.0,1.0,4.0,3.0,1,2200.0,5900.0,-3700,-,
26/08/2024,5000000,5000000,12900,14800,11000,500,7.0,73,14500,14500,14500,12700,1800,14140,14500,1600.0,12.4,578,933,4700.0,5100.0,500.0,7.0,9.0,6.0,3,5200.0,5600.0,-400,-,
23/08/2024,5000000,5000000,14400,16500,12300,2200,28.0,64,16500,12700,16500,12700,3800,12873,12700,-1700.0,-11.81,570,817,3500.0,7600.0,2200.0,28.0,10.0,12.0,-2,5700.0,9800.0,-4100,-,
