Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,219928644,219928644,46450,49700,43200,306800,14154,10150,46700,46150,46700,45900,800,46063,46200,-300.0,-0.65,909,1125,7700,11700,286800,13211,773.0,483.0,290,702700.0,543300.0,159400,20000,943.0
26/09/2024,219928644,219928644,46750,50000,43500,10751300,469255,10216,46800,46450,47000,46400,600,46620,46500,-300.0,-0.64,804,1861,11000,11900,121300,5655,507.0,320.0,187,407500.0,595600.0,-188100,10630000,463600.0
25/09/2024,219928644,219928644,47300,50600,44000,141800,6703,10282,47300,46750,47500,46750,750,47069,46800,-550.0,-1.16,735,1109,11600,8400,121800,5733,417.0,426.0,-9,306500.0,472600.0,-166100,20000,970.0
24/09/2024,219928644,219928644,47900,51200,44550,264800,12399,10403,47850,47300,47850,47250,600,47374,47300,-600.0,-1.25,600,1306,63800,39600,140900,6675,707.0,468.0,239,424400.0,611000.0,-186600,123900,5724.0
23/09/2024,219928644,219928644,47000,50200,43750,314200,14808,10535,46650,47900,47900,46400,1500,47516,47900,900.0,1.91,1242,1631,1600,84200,274200,13029,396.0,451.0,-55,491900.0,735600.0,-243700,40000,1779.0
20/09/2024,219928644,219928644,47050,50300,43800,205000,9610,10337,47500,47000,47500,46600,900,46878,47000,-50.0,-0.11,964,985,28800,70800,205000,9610,422.0,546.0,-124,407000.0,537600.0,-130600,-,
19/09/2024,219928644,219928644,44900,48000,41800,878500,40663,10348,45000,47050,47050,45000,2050,46265,47100,2150.0,4.79,1606,1571,12400,19300,838500,38793,942.0,718.0,224,1513000.0,1127900.0,385100,40000,1870.0
18/09/2024,219928644,219928644,45200,48350,42050,123100,5575,9875,45200,44900,45700,44900,800,45288,44900,-300.0,-0.66,1086,912,80900,22300,123100,5575,287.0,287.0,-,311700.0,261700.0,50000,-,
17/09/2024,219928644,219928644,45600,48750,42450,312900,14174,9941,45600,45200,45600,44900,700,45159,45200,-400.0,-0.88,1102,1623,34500,5300,272900,12324,538.0,312.0,226,592900.0,506400.0,86500,40000,1850.0
16/09/2024,219928644,219928644,46100,49300,42900,276000,12594,10029,46300,45600,46300,45400,900,45630,45600,-500.0,-1.08,1779,1484,3400,26800,276000,12594,339.0,480.0,-141,603100.0,712300.0,-109200,-,
13/09/2024,219928644,219928644,46150,49350,42950,197900,9225,10139,46000,46100,46300,45900,400,46137,46100,-50.0,-0.11,1184,921,13700,10300,157900,7285,240.0,458.0,-218,284200.0,421600.0,-137400,40000,1940.0
12/09/2024,219928644,219928644,45600,48750,42450,450800,20755,10150,45900,46150,46400,45450,950,46040,46200,550.0,1.21,845,975,7800,19500,450800,20755,774.0,1095.0,-321,653700.0,1068100.0,-414400,-,
11/09/2024,219928644,219928644,45500,48650,42350,243700,11063,10029,45200,45600,45900,44750,1150,45396,45600,100.0,0.22,519,1161,13100,4000,243700,11063,990.0,487.0,503,513900.0,565200.0,-51300,-,
10/09/2024,219928644,219928644,45800,49000,42600,376700,17220,10007,46000,45500,46300,45000,1300,45713,45500,-300.0,-0.66,649,1284,44300,14500,376700,17220,879.0,695.0,184,570800.0,892600.0,-321800,-,
09/09/2024,219928644,219928644,44800,47900,41700,565900,25666,10073,44800,45800,45900,44600,1300,45541,45800,1000.0,2.23,1357,1148,16200,23900,525900,23950,822.0,825.0,-3,1115700.0,946800.0,168900,40000,1716.0
06/09/2024,219928644,219928644,43850,46900,40800,219600,9726,9853,43800,44800,44900,43700,1200,44290,44800,950.0,2.17,1305,954,48400,13100,219600,9726,438.0,409.0,29,571400.0,390000.0,181400,-,
05/09/2024,219928644,219928644,44250,47300,41200,203600,9094,9644,44050,43850,44300,43600,700,44022,43900,-400.0,-0.9,704,1702,10700,20100,163600,7202,519.0,271.0,248,365500.0,461200.0,-95700,40000,1892.0
04/09/2024,219928644,219928644,44250,47300,41200,169600,7488,9732,44150,44250,44400,43850,550,44151,44300,,,935,1221,3800,26400,169600,7488,441.0,274.0,167,412200.0,334500.0,77700,-,
30/08/2024,219928644,219928644,44400,47500,41300,246000,10966,9732,44700,44250,45300,44250,1050,44577,44300,-150.0,-0.34,1258,1163,20600,36600,246000,10966,212.0,243.0,-31,266600.0,282600.0,-16000,-,
29/08/2024,219928644,219928644,44550,47650,41450,265400,11811,9765,44550,44400,44750,43900,850,44299,44400,-150.0,-0.34,1659,2155,3200,10600,225400,9985,287.0,294.0,-7,476200.0,633700.0,-157500,40000,1826.0
28/08/2024,219928644,219928644,44500,47600,41400,288800,12822,9798,44300,44550,44550,44300,250,44398,44600,50.0,0.11,1185,1537,11900,26300,288800,12822,475.0,364.0,111,562700.0,559500.0,3200,-,
27/08/2024,219928644,219928644,44700,47800,41600,248500,11145,9787,44500,44500,44600,44200,400,44436,44500,-200.0,-0.45,1277,1406,25000,40000,208500,9265,403.0,327.0,76,514500.0,459900.0,54600,40000,1880.0
26/08/2024,219928644,219928644,44250,47300,41200,470200,21162,9831,44300,44700,45800,44300,1500,45006,44700,450.0,1.02,1982,1498,26200,8200,470200,21162,513.0,723.0,-210,1016900.0,1083300.0,-66400,-,
23/08/2024,219928644,219928644,44400,47500,41300,227200,9914,9732,44400,44250,44400,44000,400,44135,44300,-150.0,-0.34,1058,1475,10800,5800,187200,8262,430.0,258.0,172,455100.0,380500.0,74600,40000,1652.0
22/08/2024,219928644,219928644,44000,47050,40950,233100,10352,9765,44400,44400,44950,44000,950,44410,44400,400.0,0.91,938,1320,6200,21600,233100,10352,612.0,536.0,76,574200.0,707300.0,-133100,-,
21/08/2024,219928644,219928644,44600,47700,41500,277000,12382,9677,44400,44000,44850,44000,850,44194,44000,-600.0,-1.35,814,1566,54400,14400,237000,10474,616.0,348.0,268,501200.0,545100.0,-43900,40000,1908.0
20/08/2024,219928644,219928644,45050,48200,41900,283900,12640,9809,45000,44600,45050,44100,950,44523,44600,-450.0,-1.0,935,1206,5300,4600,283900,12640,699.0,488.0,211,653500.0,588300.0,65200,-,
19/08/2024,219928644,219928644,44300,47400,41200,579400,25835,9908,44300,45050,45100,44000,1100,44710,45100,750.0,1.69,1428,1884,8600,31600,559400,25011,777.0,710.0,67,1109600.0,1337400.0,-227800,20000,824.0
16/08/2024,219928644,219928644,42250,45200,39300,1146400,50145,9743,42500,44300,44300,42250,2050,43748,44300,2050.0,4.85,1941,1711,6800,53000,1126400,49278,1060.0,1047.0,13,2057000.0,1791200.0,265800,20000,867.0
15/08/2024,219928644,219928644,42700,45650,39750,218600,9283,9292,42750,42250,42750,42000,750,42210,42300,-450.0,-1.05,910,1374,41700,4700,198600,8383,264.0,148.0,116,240300.0,203300.0,37000,20000,900.0
14/08/2024,219928644,219928644,41950,44850,39050,248600,10665,9391,42550,42700,42950,42200,750,42730,42700,750.0,1.79,754,636,12700,11800,228600,9768,320.0,378.0,-58,241300.0,240400.0,900,20000,897.0
13/08/2024,219928644,219928644,42200,45150,39250,167400,7038,9226,42250,41950,42400,41900,500,42043,42000,-250.0,-0.59,549,807,36200,2900,167400,7038,371.0,211.0,160,203600.0,170300.0,33300,-,
12/08/2024,219928644,219928644,42100,45000,39200,53000,2238,9281,42100,42200,42400,42100,300,42226,42200,100.0,0.24,613,440,29100,2900,53000,2238,134.0,127.0,7,82100.0,55900.0,26200,-,
09/08/2024,219928644,219928644,42100,45000,39200,151200,6382,9259,42650,42100,42950,42000,950,42209,42100,,,881,1221,9200,3900,151200,6382,182.0,127.0,55,160400.0,155100.0,5300,-,
08/08/2024,219928644,219928644,43000,46000,40000,218400,9246,9259,43000,42100,43000,42000,1000,42335,42100,-900.0,-2.09,962,1334,15300,3000,218400,9246,243.0,166.0,77,233700.0,221400.0,12300,-,
07/08/2024,219928644,219928644,42000,44900,39100,540100,23132,9457,42200,43000,43300,42000,1300,42829,43000,1000.0,2.38,1218,1423,1900,157300,540100,23132,445.0,490.0,-45,542000.0,697400.0,-155400,-,
06/08/2024,219928644,219928644,41000,43850,38150,260900,10895,9237,41050,42000,42500,41000,1500,41759,42000,1000.0,2.44,1130,1156,1200,7200,260900,10895,232.0,232.0,-,262100.0,268100.0,-6000,-,
05/08/2024,219928644,219928644,42500,45450,39550,312600,12896,9017,41500,41000,42000,40800,1200,41254,41000,-1500.0,-3.53,1125,1474,34000,8800,312600,12896,308.0,218.0,90,346600.0,321400.0,25200,-,
02/08/2024,219928644,219928644,41500,44400,38600,222600,9317,9347,41100,42500,42600,41100,1500,41881,42500,1000.0,2.41,927,729,19000,10300,202600,8485,239.0,292.0,-53,221600.0,212900.0,8700,20000,832.0
01/08/2024,219928644,219928644,42550,45500,39600,320400,13281,9127,42550,41500,42550,41200,1350,41518,41500,-1050.0,-2.47,1070,1254,2500,4400,300400,12472,283.0,243.0,40,302900.0,304800.0,-1900,20000,809.0
31/07/2024,219928644,219928644,41900,44800,39000,296100,12407,9358,42000,42550,42550,41100,1450,41749,42600,650.0,1.55,927,1259,4900,3500,276100,11527,303.0,222.0,81,281000.0,279600.0,1400,20000,880.0
30/07/2024,219928644,219928644,42650,45600,39700,174300,7348,9215,42500,41900,42650,41900,750,42093,41900,-750.0,-1.76,832,799,15400,800,154300,6495,204.0,194.0,10,169700.0,155100.0,14600,20000,853.0
29/07/2024,219928644,219928644,42950,45950,39950,206100,8735,9380,42700,42650,43000,42000,1000,42382,42700,-300.0,-0.7,660,888,25500,6200,206100,8735,351.0,239.0,112,231600.0,212300.0,19300,-,
26/07/2024,219928644,219928644,42300,45250,39350,222500,9466,9446,42300,42950,43000,42200,800,42726,43000,650.0,1.54,717,921,13200,33200,202500,8652,301.0,256.0,45,215700.0,235700.0,-20000,20000,814.0
25/07/2024,219928644,219928644,42350,45300,39400,117500,4905,9303,41950,42300,42300,41800,500,42010,42300,-50.0,-0.12,363,701,5900,2700,97500,4096,285.0,143.0,142,103400.0,100200.0,3200,20000,809.0
24/07/2024,219928644,219928644,41900,44800,39000,203500,8588,9314,41900,42350,42550,41500,1050,42005,42400,450.0,1.07,536,625,8300,2600,183500,7708,358.0,298.0,60,191800.0,186100.0,5700,20000,880.0
23/07/2024,219928644,219928644,42250,45200,39300,342600,14313,9215,42250,41900,42250,40000,2250,41748,41900,-350.0,-0.83,819,1466,6700,21800,322600,13468,402.0,235.0,167,329300.0,344400.0,-15100,20000,845.0
22/07/2024,219928644,219928644,43100,46100,40100,343300,14502,9292,43450,42250,43450,41500,1950,42243,42300,-850.0,-1.97,1057,1096,5600,2900,343300,14502,330.0,316.0,14,348900.0,346200.0,2700,-,
19/07/2024,219928644,219928644,42500,45450,39550,249000,10631,9479,42400,43100,43200,42050,1150,42695,43100,600.0,1.41,903,1015,4700,2700,249000,10631,281.0,248.0,33,253700.0,251700.0,2000,-,
18/07/2024,219928644,219928644,42100,45000,39200,373400,15742,9347,42350,42500,42500,41900,600,42159,42500,400.0,0.95,950,1732,16200,5800,373400,15742,410.0,219.0,191,389600.0,379200.0,10400,-,
17/07/2024,219928644,219928644,43850,46900,40800,599500,25705,9259,43850,42100,44000,42000,2000,42865,42100,-1750.0,-3.99,986,1362,35000,10400,579500,24840,623.0,433.0,190,614500.0,589900.0,24600,20000,865.0
16/07/2024,219928644,219928644,44000,47050,40950,158100,6947,9644,44400,43850,44400,43600,800,43941,43900,-150.0,-0.34,515,563,12000,4500,158100,6947,330.0,289.0,41,170100.0,162600.0,7500,-,
15/07/2024,219928644,219928644,43500,46500,40500,156100,6861,9677,43500,44000,44400,43500,900,44019,44000,500.0,1.15,542,600,7600,11400,136100,5991,265.0,246.0,19,143700.0,147500.0,-3800,20000,870.0
12/07/2024,219928644,219928644,43900,46950,40850,349400,15186,9567,43900,43500,44200,43100,1100,43463,43500,-400.0,-0.91,772,1084,15700,9300,349400,15186,473.0,331.0,142,365100.0,358700.0,6400,-,
11/07/2024,219928644,219928644,44200,47250,41150,426500,18832,9655,44200,43900,44900,43900,1000,44148,43900,-300.0,-0.68,990,2026,18400,18900,406500,17946,429.0,210.0,219,424900.0,425400.0,-500,20000,886.0
10/07/2024,219928644,219928644,44450,47550,41350,499500,22116,9721,44200,44200,44750,44000,750,44276,44200,-250.0,-0.56,1032,2194,13200,11700,499500,22116,497.0,233.0,264,512700.0,511200.0,1500,-,
09/07/2024,219928644,219928644,44600,47700,41500,346900,15397,9776,44600,44450,44600,44200,400,44374,44500,-150.0,-0.34,1017,1167,12200,11700,326900,14506,635.0,417.0,218,645800.0,486600.0,159200,20000,891.0
08/07/2024,219928644,219928644,45050,48200,41900,703600,31214,9809,44950,44600,45200,43950,1250,44363,44600,-450.0,-1.0,1053,1569,3800,5900,703600,31214,1057.0,639.0,418,1112800.0,1002800.0,110000,-,
05/07/2024,219928644,219928644,45600,48750,42450,239500,10819,9908,45900,45050,45900,44800,1100,45173,45100,-550.0,-1.21,667,1121,23100,4300,239500,10819,622.0,363.0,259,415000.0,407100.0,7900,-,
04/07/2024,219928644,219928644,45700,48850,42550,293500,13424,10029,45500,45600,46100,45100,1000,45738,45600,-100.0,-0.22,882,1409,3700,9100,293500,13424,539.0,414.0,125,475500.0,583500.0,-108000,-,
03/07/2024,219928644,219928644,45350,48500,42200,355700,16313,10051,45350,45700,46050,45350,700,45862,45700,350.0,0.77,916,1364,1700,216400,355700,16313,623.0,532.0,91,570900.0,725500.0,-154600,-,
02/07/2024,219928644,219928644,45250,48400,42100,225900,10258,9974,45500,45350,45800,45000,800,45409,45400,100.0,0.22,907,692,3800,7500,225900,10258,460.0,531.0,-71,417400.0,367700.0,49700,-,
01/07/2024,219928644,219928644,45700,48850,42550,285300,12842,9952,45000,45250,45400,44800,600,45012,45300,-450.0,-0.98,792,647,3300,6200,285300,12842,618.0,673.0,-55,489300.0,435600.0,53700,-,
28/06/2024,219928644,219928644,46800,50000,43550,272700,12515,10051,46350,45700,46500,45350,1150,45893,45700,-1100.0,-2.35,937,1925,8400,22800,272700,12515,468.0,329.0,139,438500.0,633300.0,-194800,-,
27/06/2024,219928644,219928644,46850,50100,43600,374100,17519,10293,46950,46800,47000,46450,550,46830,46800,-50.0,-0.11,1821,1560,6600,18000,374100,17519,336.0,392.0,-56,611900.0,611600.0,300,-,
