Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,9748579,9249173,18300,21000,15600,2102,38.0,169,18300,18300,18400,18300,100,18305,18300,,,368,742,7098,11998,2102.0,38.0,25,19,6,9200,14100,-4900,-,
26/09/2024,9748579,9249173,18300,21000,15600,200,4.0,169,18300,18300,18300,18300,-,18300,18300,,,1341,767,22600,11300,200.0,4.0,17,15,2,22800,11500,11300,-,
25/09/2024,9748579,9249173,18100,20800,15400,200,4.0,169,18300,18300,18300,18300,-,18300,18300,200.0,1.1,888,808,14000,10300,200.0,4.0,16,13,3,14200,10500,3700,-,
24/09/2024,9748579,9249173,18300,21000,15600,1900,34.0,167,18300,18100,18300,18100,200,18121,18100,-200.0,-1.09,646,4115,14900,80400,1900.0,34.0,26,20,6,16800,82300,-65500,-,
23/09/2024,9748579,9249173,18200,20900,15500,100,2.0,169,18300,18300,18300,18300,-,18300,18300,100.0,0.55,673,1692,7300,21900,100.0,2.0,11,13,-2,7400,22000,-14600,-,
20/09/2024,9748579,9249173,18100,20800,15400,4300,78.0,168,18200,18200,18600,18200,400,18212,18200,100.0,0.55,733,1496,13300,33100,4300.0,78.0,24,25,-1,17600,37400,-19800,-,
19/09/2024,9748579,9249173,18100,20800,15400,800,14.0,167,18100,18100,18100,18100,-,18100,18100,,,733,613,10200,9000,800.0,14.0,15,16,-1,11000,9800,1200,-,
18/09/2024,9748579,9249173,18000,20700,15300,7000,127.0,167,18100,18100,18100,18100,-,18100,18100,100.0,0.56,747,2204,15400,48100,7000.0,127.0,30,25,5,22400,55100,-32700,-,
17/09/2024,9748579,9249173,18000,20700,15300,3600,65.0,167,18100,18100,18100,18000,100,18014,18100,100.0,0.56,558,2037,14800,35100,3600.0,65.0,33,19,14,18400,38700,-20300,-,
16/09/2024,9748579,9249173,18000,20700,15300,3600,65.0,166,18000,17900,18100,17900,200,18000,17900,-100.0,-0.56,838,2686,18200,34000,3600.0,65.0,26,14,12,21800,37600,-15800,-,
13/09/2024,9748579,9249173,18000,20700,15300,-,,166,18000,18000,18000,18000,-,18000,18000,,,685,520,13700,5200,,,20,10,10,13700,5200,8500,-,
12/09/2024,9748579,9249173,17900,20500,15300,2200,40.0,166,17800,18000,18000,17800,200,17991,18000,100.0,0.56,933,1200,23000,13400,2200.0,40.0,27,13,14,25200,15600,9600,-,
11/09/2024,9748579,9249173,18000,20700,15300,2700,48.0,166,18000,17900,18000,17900,100,17911,17900,-100.0,-0.56,897,1113,26000,15100,2700.0,48.0,32,16,16,28700,17800,10900,-,
10/09/2024,9748579,9249173,17900,20500,15300,3800,68.0,166,17900,17900,18000,17800,200,17955,17900,,,524,900,16100,16000,3800.0,68.0,38,22,16,19900,19800,100,-,
09/09/2024,9748579,9249173,18000,20700,15300,400,7.0,166,17900,18000,18000,17900,100,17925,18000,,,762,954,15600,12000,400.0,7.0,21,13,8,16000,12400,3600,-,
06/09/2024,9748579,9249173,17500,20100,14900,2900,52.0,166,18000,17900,18000,17900,100,17986,17900,400.0,2.29,985,1260,23700,16000,2900.0,52.0,27,15,12,26600,18900,7700,-,
05/09/2024,9748579,9249173,18100,20800,15400,10300,181.0,166,18000,18000,18000,17300,700,17536,18000,-100.0,-0.55,589,1407,16800,10800,10300.0,181.0,46,15,31,27100,21100,6000,-,
04/09/2024,9748579,9249173,18100,20800,15400,-,,167,18100,18100,18100,18100,-,18100,18100,,,292,960,3800,4800,,,13,5,8,3800,4800,-1000,-,
