Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,43006366,43006366,6700,7700,5700,100,1.0,305,7100,7100,7100,7100,-,7100,7100,400.0,5.97,1025,100,4000.0,,100.0,1.0,4.0,1.0,3,4100.0,100.0,4000,-,
26/09/2024,43006366,43006366,7700,8800,6600,135,1.0,288,6700,6700,6700,6700,-,6700,6700,-1000.0,-12.99,2067,125,6065.0,365.0,135.0,1.0,3.0,4.0,-1,6200.0,500.0,5700,-,
25/09/2024,43006366,43006366,7700,8800,6600,6,0.0,331,7700,7700,7700,7700,-,7700,7700,,,3200,100,3194.0,94.0,6.0,0.0,1.0,1.0,-,3200.0,100.0,3100,-,
24/09/2024,43006366,43006366,7700,8800,6600,300,2.0,331,7700,7700,7700,7700,-,7700,7700,,,2600,133,4900.0,100.0,300.0,2.0,2.0,3.0,-1,5200.0,400.0,4800,-,
23/09/2024,43006366,43006366,7700,8800,6600,-,,331,7700,7700,7700,7700,-,7700,7700,,,3040,150,15200.0,300.0,,,5.0,2.0,3,15200.0,300.0,14900,-,
20/09/2024,43006366,43006366,7700,8800,6600,-,,331,7700,7700,7700,7700,-,7700,7700,,,3000,100,3000.0,100.0,,,1.0,1.0,-,3000.0,100.0,2900,-,
19/09/2024,43006366,43006366,7700,8800,6600,2,0.0,331,7700,7700,7700,7700,-,7700,7700,,,2300,100,11498.0,98.0,2.0,0.0,5.0,1.0,4,11500.0,100.0,11400,-,
18/09/2024,43006366,43006366,7700,8800,6600,3,0.0,331,7700,7700,7700,7700,-,7700,7700,,,1525,100,6097.0,97.0,3.0,0.0,4.0,1.0,3,6100.0,100.0,6000,-,
17/09/2024,43006366,43006366,7700,8800,6600,-,,331,7700,7700,7700,7700,-,7700,7700,,,1625,100,6500.0,100.0,,,4.0,1.0,3,6500.0,100.0,6400,-,
16/09/2024,43006366,43006366,7700,8800,6600,6604,51.0,331,8800,7700,8800,7700,1100,7733,7700,,,1740,1000,10796.0,396.0,6604.0,51.0,10.0,7.0,3,17400.0,7000.0,10400,-,
13/09/2024,43006366,43006366,7700,8800,6600,-,,331,7700,7700,7700,7700,-,7700,7700,,,1600,100,8000.0,100.0,,,5.0,1.0,4,8000.0,100.0,7900,-,
12/09/2024,43006366,43006366,7700,8800,6600,3006,23.0,331,7800,7700,7800,7700,100,7703,7700,,,1638,1550,10094.0,94.0,3006.0,23.0,8.0,2.0,6,13100.0,3100.0,10000,-,
11/09/2024,43006366,43006366,9000,10300,7700,13001,101.0,331,7700,7700,7900,7700,200,7746,7700,-1300.0,-14.44,1667,3033,1999.0,5199.0,13001.0,101.0,9.0,6.0,3,15000.0,18200.0,-3200,-,
10/09/2024,43006366,43006366,9000,10300,7700,-,,387,9000,9000,9000,9000,-,9000,9000,,,1900,200,3800.0,200.0,,,2.0,1.0,1,3800.0,200.0,3600,-,
09/09/2024,43006366,43006366,9000,10300,7700,-,,387,9000,9000,9000,9000,-,9000,9000,,,1900,350,3800.0,700.0,,,2.0,2.0,-,3800.0,700.0,3100,-,
06/09/2024,43006366,43006366,9000,10300,7700,-,,387,9000,9000,9000,9000,-,9000,9000,,,1300,-,3900.0,,,,3.0,,3,3900.0,,3900,-,
05/09/2024,43006366,43006366,9000,10300,7700,-,,387,9000,9000,9000,9000,-,9000,9000,,,1300,800,3900.0,2400.0,,,3.0,3.0,-,3900.0,2400.0,1500,-,
04/09/2024,43006366,43006366,9000,10300,7700,-,,387,9000,9000,9000,9000,-,9000,9000,,,1000,100,1000.0,200.0,,,1.0,2.0,-1,1000.0,200.0,800,-,
30/08/2024,43006366,43006366,9000,10300,7700,-,,387,9000,9000,9000,9000,-,9000,9000,,,975,200,3900.0,200.0,,,4.0,1.0,3,3900.0,200.0,3700,-,
29/08/2024,43006366,43006366,9000,10300,7700,-,,387,9000,9000,9000,9000,-,9000,9000,,,1000,200,2000.0,600.0,,,2.0,3.0,-1,2000.0,600.0,1400,-,
28/08/2024,43006366,43006366,9500,10900,8100,1500,13.0,378,8900,8800,9500,8800,700,8953,8800,-700.0,-7.37,625,440,1000.0,2900.0,1500.0,13.0,4.0,10.0,-6,2500.0,4400.0,-1900,-,
27/08/2024,43006366,43006366,8400,9600,7200,2337,22.0,409,9500,9500,9500,9500,-,9500,9500,1100.0,13.1,589,800,2963.0,63.0,2337.0,22.0,9.0,3.0,6,5300.0,2400.0,2900,-,
26/08/2024,43006366,43006366,7500,8600,6400,1400,12.0,366,8500,8500,8500,8000,500,8429,8500,1000.0,13.33,718,467,6500.0,,1400.0,12.0,11.0,3.0,8,7900.0,1400.0,6500,-,
23/08/2024,43006366,43006366,8800,10100,7500,100,1.0,323,7500,7500,7500,7500,-,7500,7500,-1300.0,-14.77,1100,100,4300.0,,100.0,1.0,4.0,1.0,3,4400.0,100.0,4300,-,
22/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,1000,500,1000.0,1000.0,,,1.0,2.0,-1,1000.0,1000.0,-,-,
21/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,1000,200,1000.0,200.0,,,1.0,1.0,-,1000.0,200.0,800,-,
20/08/2024,43006366,43006366,8800,10100,7500,1,0.0,378,8800,8700,8800,8800,-,8800,8800,-100.0,-1.14,550,100,1099.0,199.0,1.0,0.0,2.0,2.0,-,1100.0,200.0,900,-,
19/08/2024,43006366,43006366,8800,10100,7500,1,0.0,378,8800,8700,8800,8800,-,8800,8800,-100.0,-1.14,1000,200,999.0,199.0,1.0,0.0,1.0,1.0,-,1000.0,200.0,800,-,
16/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,433,667,1300.0,2000.0,,,3.0,3.0,-,1300.0,2000.0,-700,-,
15/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,700,200,2100.0,200.0,,,3.0,1.0,2,2100.0,200.0,1900,-,
14/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,500,200,1000.0,200.0,,,2.0,1.0,1,1000.0,200.0,800,-,
13/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,1000,600,1000.0,1200.0,,,1.0,2.0,-1,1000.0,1200.0,-200,-,
12/08/2024,43006366,43006366,8800,10100,7500,1,0.0,378,8800,8700,8800,8800,-,8800,8800,-100.0,-1.14,750,-,1499.0,,1.0,0.0,2.0,,2,1500.0,,1500,-,
09/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,550,-,2200.0,,,,4.0,,4,2200.0,,2200,-,
08/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
07/08/2024,43006366,43006366,8800,10100,7500,-,,378,8800,8800,8800,8800,-,8800,8800,,,325,500,1300.0,500.0,,,4.0,1.0,3,1300.0,500.0,800,-,
06/08/2024,43006366,43006366,8800,10100,7500,67,1.0,378,8800,8700,8800,8800,-,8800,8800,-100.0,-1.14,1500,200,2933.0,133.0,67.0,1.0,2.0,1.0,1,3000.0,200.0,2800,-,
05/08/2024,43006366,43006366,8800,10100,7500,1,0.0,378,8800,8700,8800,8800,-,8800,8800,-100.0,-1.14,1000,1000,3999.0,999.0,1.0,0.0,4.0,1.0,3,4000.0,1000.0,3000,-,
02/08/2024,43006366,43006366,9000,10300,7700,3000,26.0,374,8800,8700,8900,8700,200,8800,8700,-300.0,-3.33,1167,1333,4000.0,1000.0,3000.0,26.0,6.0,3.0,3,7000.0,4000.0,3000,-,
01/08/2024,43006366,43006366,9500,10900,8100,3100,28.0,378,9200,8800,9200,8800,400,9000,8800,-700.0,-7.37,863,1050,3800.0,1100.0,3100.0,28.0,8.0,4.0,4,6900.0,4200.0,2700,-,
31/07/2024,43006366,43006366,9500,10900,8100,-,,409,9500,9500,9500,9500,-,9500,9500,,,-,767,,2300.0,,,,3.0,-3,,2300.0,-2300,-,
30/07/2024,43006366,43006366,9500,10900,8100,-,,409,9500,9500,9500,9500,-,9500,9500,,,-,1000,,1000.0,,,1.0,1.0,-,,1000.0,-1000,-,
29/07/2024,43006366,43006366,9500,10900,8100,26,0.0,409,9500,9500,9500,9500,-,9500,9500,,,10000,1000,9974.0,974.0,26.0,0.0,1.0,1.0,-,10000.0,1000.0,9000,-,
26/07/2024,43006366,43006366,9500,10900,8100,-,,409,9500,9500,9500,9500,-,9500,9500,,,233,1000,700.0,1000.0,,,3.0,1.0,2,700.0,1000.0,-300,-,
25/07/2024,43006366,43006366,9500,10900,8100,8501,81.0,409,9500,9500,9500,9500,-,9500,9500,,,528,2833,999.0,,8501.0,81.0,18.0,3.0,15,9500.0,8500.0,1000,-,
24/07/2024,43006366,43006366,10800,12400,9200,1400,13.0,400,10000,9300,10000,9300,700,9500,9300,-1500.0,-13.89,900,1540,3100.0,6300.0,1400.0,13.0,5.0,5.0,-,4500.0,7700.0,-3200,-,
23/07/2024,43006366,43006366,10800,12400,9200,2432,26.0,464,10700,10800,10800,10700,100,10758,10800,,,415,1320,2968.0,4168.0,2432.0,26.0,13.0,5.0,8,5400.0,6600.0,-1200,-,
22/07/2024,43006366,43006366,10800,12400,9200,1000,11.0,464,10800,10800,10800,10800,-,10800,10800,,,250,1140,500.0,4700.0,1000.0,11.0,6.0,5.0,1,1500.0,5700.0,-4200,-,
19/07/2024,43006366,43006366,10900,12500,9300,7800,84.0,464,10900,10800,10900,10800,100,10813,10800,-100.0,-0.92,1363,2367,3100.0,6400.0,7800.0,84.0,8.0,6.0,2,10900.0,14200.0,-3300,-,
18/07/2024,43006366,43006366,10900,12500,9300,-,,469,10900,10900,10900,10900,-,10900,10900,,,700,775,2100.0,3100.0,,,3.0,4.0,-1,2100.0,3100.0,-1000,-,
17/07/2024,43006366,43006366,10900,12500,9300,16500,180.0,469,10900,10900,10900,10900,-,10900,10900,,,4040,1708,3700.0,5700.0,16500.0,180.0,5.0,13.0,-8,20200.0,22200.0,-2000,-,
16/07/2024,43006366,43006366,12800,14700,10900,1156,13.0,469,10900,10900,10900,10900,-,10900,10900,-1900.0,-14.84,275,454,,4744.0,1156.0,13.0,4.0,13.0,-9,1100.0,5900.0,-4800,-,
15/07/2024,43006366,43006366,12800,14700,10900,-,,550,12800,12800,12800,12800,-,12800,12800,,,-,518,,5700.0,,,,11.0,-11,,5700.0,-5700,-,
12/07/2024,43006366,43006366,12800,14700,10900,32,0.0,550,12800,12800,12800,12800,-,12800,12800,,,-,820,,12268.0,32.0,0.0,,15.0,-15,,12300.0,-12300,-,
11/07/2024,43006366,43006366,11600,13300,9900,785,10.0,550,13000,12800,13000,12800,200,12829,12800,1200.0,10.34,450,814,3715.0,16315.0,785.0,10.0,10.0,21.0,-11,4500.0,17100.0,-12600,-,
10/07/2024,43006366,43006366,10100,11600,8600,100,1.0,499,11600,11600,11600,11600,-,11600,11600,1500.0,14.85,440,971,2100.0,6700.0,100.0,1.0,5.0,7.0,-2,2200.0,6800.0,-4600,-,
09/07/2024,43006366,43006366,11000,12600,9400,10800,110.0,439,10200,10200,10200,10000,200,10144,10200,-800.0,-7.27,950,1356,2500.0,10900.0,10800.0,110.0,14.0,16.0,-2,13300.0,21700.0,-8400,-,
08/07/2024,43006366,43006366,10100,11600,8600,100,1.0,473,11000,11000,11000,11000,-,11000,11000,900.0,8.91,943,660,6500.0,6500.0,100.0,1.0,7.0,10.0,-3,6600.0,6600.0,-,-,
05/07/2024,43006366,43006366,10300,11800,8800,5700,58.0,434,11500,10100,11500,10100,1400,10125,10100,-200.0,-1.94,515,1335,4600.0,17000.0,5700.0,58.0,20.0,17.0,3,10300.0,22700.0,-12400,-,
04/07/2024,43006366,43006366,10400,11900,8900,4300,44.0,456,9800,10600,10600,9800,800,10265,10600,200.0,1.92,1108,1171,22300.0,15600.0,4300.0,44.0,24.0,17.0,7,26600.0,19900.0,6700,-,
03/07/2024,43006366,43006366,10500,12000,9000,4844,50.0,460,12000,10700,12000,10000,2000,10375,10700,200.0,1.9,5870,1190,53856.0,18956.0,4844.0,50.0,10.0,20.0,-10,58700.0,23800.0,34900,-,
02/07/2024,43006366,43006366,10500,12000,9000,4500,47.0,452,10500,10500,10500,10500,-,10500,10500,,,663,1143,8100.0,19500.0,4500.0,47.0,19.0,21.0,-2,12600.0,24000.0,-11400,-,
01/07/2024,43006366,43006366,10400,11900,8900,1200,13.0,452,10500,10500,10500,10500,-,10500,10500,100.0,0.96,925,961,9900.0,20900.0,1200.0,13.0,12.0,23.0,-11,11100.0,22100.0,-11000,-,
28/06/2024,43006366,43006366,10400,11900,8900,6300,66.0,495,11500,11500,11500,9500,2000,10433,11500,1100.0,10.58,868,1054,12800.0,19000.0,6300.0,66.0,22.0,24.0,-2,19100.0,25300.0,-6200,-,
27/06/2024,43006366,43006366,9300,10600,8000,42200,440.0,456,9500,10600,10600,9500,1100,10434,10600,1300.0,13.98,1390,1758,25900.0,,42200.0,440.0,49.0,24.0,25,68100.0,42200.0,25900,-,
26/06/2024,43006366,43006366,8300,9500,7100,103466,958.0,409,9000,9500,9500,9000,500,9257,9500,1200.0,14.46,2702,3447,50534.0,,103466.0,958.0,57.0,30.0,27,154000.0,103400.0,50600,-,
25/06/2024,43006366,43006366,8500,9700,7300,3000,25.0,344,8500,8000,8500,8000,500,8333,8000,-500.0,-5.88,1862,845,21200.0,6300.0,3000.0,25.0,13.0,11.0,2,24200.0,9300.0,14900,-,
24/06/2024,43006366,43006366,8500,9700,7300,1300,11.0,357,8500,8300,8500,8300,200,8454,8300,-200.0,-2.35,1056,615,8200.0,6700.0,1300.0,11.0,9.0,13.0,-4,9500.0,8000.0,1500,-,
21/06/2024,43006366,43006366,8700,10000,7400,18305,155.0,370,8200,8600,8700,8100,600,8493,8600,-100.0,-1.15,2331,2105,11995.0,21695.0,18305.0,155.0,13.0,19.0,-6,30300.0,40000.0,-9700,-,
20/06/2024,43006366,43006366,8700,10000,7400,-,,374,8700,8700,8700,8700,-,8700,8700,,,957,2088,6700.0,16700.0,,,7.0,8.0,-1,6700.0,16700.0,-10000,-,
19/06/2024,43006366,43006366,7600,8700,6500,39108,340.0,374,8600,8700,8700,8600,100,8696,8700,1100.0,14.47,1504,2793,36092.0,,39108.0,340.0,50.0,14.0,36,75200.0,39100.0,36100,-,
18/06/2024,43006366,43006366,8200,9400,7000,1000,8.0,327,7600,7600,7600,7600,-,7600,7600,-600.0,-7.32,800,800,7000.0,3800.0,1000.0,8.0,10.0,6.0,4,8000.0,4800.0,3200,-,
