Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5291868,5291868,35300,40500,30100,11400,399,185,35000,35000,35300,34900,400,35019,35000,-300.0,-0.85,324,668,11900,18000,11400,399,72,44,28,23300,29400,-6100,-,
26/09/2024,5291868,5291868,35500,40800,30200,7214,255,187,35300,35300,35400,35200,200,35281,35300,-200.0,-0.56,271,864,7986,21286,7214,255,56,33,23,15200,28500,-13300,-,
25/09/2024,5291868,5291868,35500,40800,30200,5008,178,187,36800,35400,36800,35300,1500,35458,35400,-100.0,-0.28,232,1556,10092,58792,5008,178,65,41,24,15100,63800,-48700,-,
24/09/2024,5291868,5291868,35400,40700,30100,8900,316,189,35900,35800,35900,35200,700,35456,35800,400.0,1.13,438,747,21300,16500,8900,316,69,34,35,30200,25400,4800,-,
23/09/2024,5291868,5291868,35300,40500,30100,13802,488,187,36400,35400,36400,35000,1400,35371,35400,100.0,0.28,389,1327,16898,80398,13802,488,79,71,8,30700,94200,-63500,-,
20/09/2024,5291868,5291868,35400,40700,30100,8300,293,187,35500,35400,35500,35100,400,35296,35400,,,301,683,12800,19700,8300,293,70,41,29,21100,28000,-6900,-,
19/09/2024,5291868,5291868,35500,40800,30200,7900,280,186,35500,35200,35500,35200,300,35441,35200,-300.0,-0.85,323,734,16000,31000,7900,280,74,53,21,23900,38900,-15000,-,
18/09/2024,5291868,5291868,35000,40200,29800,15800,561,187,35800,35400,36000,34900,1100,35508,35400,400.0,1.14,404,981,11300,49900,15800,561,67,67,-,27100,65700,-38600,-,
17/09/2024,5291868,5291868,35500,40800,30200,15300,535,186,35000,35100,35500,34600,900,34976,35100,-400.0,-1.13,458,973,29600,31400,15300,535,98,48,50,44900,46700,-1800,-,
16/09/2024,5291868,5291868,35400,40700,30100,18900,672,187,35500,35400,35800,35400,400,35535,35400,,,406,918,9100,32500,18900,672,69,56,13,28000,51400,-23400,-,
13/09/2024,5291868,5291868,35200,40400,30000,33817,1196,191,33800,36000,36000,33800,2200,35369,36000,800.0,2.27,803,1555,60183,56383,33817,1196,117,58,59,94000,90200,3800,-,
12/09/2024,5291868,5291868,36200,41600,30800,61400,2160,186,36000,35200,36000,35000,1000,35176,35200,-1000.0,-2.76,566,1328,12200,23600,61400,2160,130,64,66,73600,85000,-11400,-,
11/09/2024,5291868,5291868,35700,41000,30400,8500,307,189,37000,35700,37000,35600,1400,36169,35700,,,665,993,20100,34200,8500,307,43,43,-,28600,42700,-14100,-,
10/09/2024,5291868,5291868,35700,41000,30400,18700,667,189,35200,35800,36000,35200,800,35657,35800,100.0,0.28,829,942,30200,30300,18700,667,59,52,7,48900,49000,-100,-,
09/09/2024,5291868,5291868,37100,42600,31600,18050,644,188,36700,35500,36700,35500,1200,35660,35500,-1600.0,-4.31,1010,1182,32450,28050,18050,644,50,39,11,50500,46100,4400,-,
06/09/2024,5291868,5291868,38100,43800,32400,1305,48,196,38000,37000,38000,37000,1000,37092,37000,-1100.0,-2.89,767,1311,17095,60295,1305,48,24,47,-23,18400,61600,-43200,-,
05/09/2024,5291868,5291868,36000,41400,30600,183750,6995,202,36500,38200,38600,36500,2100,38068,38200,2200.0,6.11,1275,902,36750,53350,183750,6995,173,263,-90,220500,237100,-16600,-,
04/09/2024,5291868,5291868,35500,40800,30200,22250,800,193,35400,36500,36500,35000,1500,35977,36500,1000.0,2.82,961,982,17150,42550,22250,800,41,66,-25,39400,64800,-25400,-,
