Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,64000000,64000000,12300,14100,10500,-,,787,12300,12300,12300,12300,-,12300,12300,,,-,40,,200.0,,,,5.0,-5,,200.0,-200,-,
26/09/2024,64000000,64000000,12800,14700,10900,-,,819,12800,12800,12800,12800,-,12800,12300,,,-,500,,1500.0,,,,3.0,-3,,1500.0,-1500,-,
25/09/2024,64000000,64000000,12800,14700,10900,2,0.0,819,12800,12800,12800,12800,-,12800,12300,,,200,50,198.0,98.0,2.0,0.0,1.0,2.0,-1,200.0,100.0,100,-,
24/09/2024,64000000,64000000,14000,16100,11900,500,6.0,819,12800,12800,12800,12800,-,12800,12300,-1200.0,-8.57,300,200,100.0,300.0,500.0,6.0,2.0,4.0,-2,600.0,800.0,-200,-,
23/09/2024,64000000,64000000,14000,16100,11900,-,,896,14000,14000,14000,14000,-,14000,13500,,,-,100,,300.0,,,1.0,3.0,-2,,300.0,-300,-,
20/09/2024,64000000,64000000,14000,16100,11900,-,,896,14000,14000,14000,14000,-,14000,13500,,,-,350,,700.0,,,,2.0,-2,,700.0,-700,-,
19/09/2024,64000000,64000000,14000,16100,11900,-,,896,14000,14000,14000,14000,-,14000,13500,,,-,350,,1400.0,,,,4.0,-4,,1400.0,-1400,-,
18/09/2024,64000000,64000000,14000,16100,11900,-,,896,14000,14000,14000,14000,-,14000,13500,,,-,433,,1300.0,,,,3.0,-3,,1300.0,-1300,-,
17/09/2024,64000000,64000000,14000,16100,11900,-,,896,14000,14000,14000,14000,-,14000,13500,,,-,600,,600.0,,,,1.0,-1,,600.0,-600,-,
16/09/2024,64000000,64000000,14000,16100,11900,-,,896,14000,14000,14000,14000,-,14000,13500,,,-,233,,700.0,,,,3.0,-3,,700.0,-700,-,
13/09/2024,64000000,64000000,14000,16100,11900,-,,896,14000,14000,14000,14000,-,14000,13500,,,-,400,,800.0,,,,2.0,-2,,800.0,-800,-,
12/09/2024,64000000,64000000,14000,16100,11900,-,,896,14000,14000,14000,14000,-,14000,13500,,,-,550,,3300.0,,,,6.0,-6,,3300.0,-3300,-,
11/09/2024,64000000,64000000,13500,15500,11500,302,4.0,896,14000,14000,14000,14000,-,14000,13500,500.0,3.7,150,450,,598.0,302.0,4.0,2.0,2.0,-,300.0,900.0,-600,-,
10/09/2024,64000000,64000000,11600,16200,7000,41100,554.0,960,11600,15000,15000,11600,3400,13483,14400,3400.0,29.31,6850,3400,,3100.0,41100.0,554.0,6.0,13.0,-7,41100.0,44200.0,-3100,-,
09/09/2024,64000000,64000000,11600,16200,7000,-,,742,11600,11600,11600,11600,-,11600,11100,,,-,100,,300.0,,,,3.0,-3,,300.0,-300,-,
