Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,17743865,17541105,21500,23000,20000,500,10.0,375,21400,21400,21400,21400,-,20000.0,21400,-100.0,-0.47,305,794,1700.0,1900.0,500.0,10.0,19.0,18.0,1,5800.0,14300.0,-8500,-,
26/09/2024,17743865,17541105,20100,21500,18700,900,19.0,377,21300,21500,21500,21300,200,21111.0,21500,1400.0,6.97,380,589,700.0,4400.0,900.0,19.0,20.0,9.0,11,7600.0,5300.0,2300,-,
25/09/2024,17743865,17541105,18800,20100,17500,2000,40.0,353,20100,20100,20100,20100,-,20000.0,20100,1300.0,6.91,376,286,1400.0,,2000.0,40.0,34.0,7.0,27,12800.0,2000.0,10800,-,
24/09/2024,17743865,17541105,20050,21450,18650,100,1.0,330,18800,18800,18800,18800,-,10000.0,18800,-1250.0,-6.23,590,150,1500.0,500.0,100.0,1.0,31.0,4.0,27,18300.0,600.0,17700,-,
23/09/2024,17743865,17541105,20050,21450,18650,100,2.0,352,20050,20050,20050,20050,-,20000.0,20100,,,308,163,1800.0,800.0,100.0,2.0,13.0,8.0,5,4000.0,1300.0,2700,-,
20/09/2024,17743865,17541105,21000,22450,19550,100,2.0,352,20050,20050,20050,20050,-,20000.0,20100,-950.0,-4.52,347,193,1700.0,1600.0,100.0,2.0,15.0,15.0,-,5200.0,2900.0,2300,-,
19/09/2024,17743865,17541105,21000,22450,19550,-,,368,21000,21000,21000,21000,-,,21000,,,256,229,2200.0,700.0,,,9.0,7.0,2,2300.0,1600.0,700,-,
18/09/2024,17743865,17541105,21000,22450,19550,-,,368,21000,21000,21000,21000,-,,21000,,,156,310,800.0,1900.0,,,9.0,10.0,-1,1400.0,3100.0,-1700,-,
17/09/2024,17743865,17541105,21000,22450,19550,100,2.0,368,21000,21000,21000,21000,-,20000.0,21000,,,227,211,1700.0,1200.0,100.0,2.0,11.0,9.0,2,2500.0,1900.0,600,-,
16/09/2024,17743865,17541105,21000,22450,19550,-,,368,21000,21000,21000,21000,-,,21000,,,167,155,2200.0,700.0,,,15.0,11.0,4,2500.0,1700.0,800,-,
13/09/2024,17743865,17541105,22150,23700,20600,2400,50.0,368,20600,21000,21450,20600,850,20833.0,21000,-1150.0,-5.19,227,528,100.0,1300.0,2400.0,50.0,11.0,18.0,-7,2500.0,9500.0,-7000,-,
12/09/2024,17743865,17541105,20900,22350,19450,100,2.0,389,22150,22150,22150,22150,-,20000.0,22200,1250.0,5.98,208,629,800.0,2800.0,100.0,2.0,12.0,14.0,-2,2500.0,8800.0,-6300,-,
11/09/2024,17743865,17541105,21100,22550,19650,200,4.0,367,20950,20900,20950,20900,50,20000.0,20900,-200.0,-0.95,267,283,2200.0,2500.0,200.0,4.0,9.0,12.0,-3,2400.0,3400.0,-1000,-,
10/09/2024,17743865,17541105,20850,22300,19400,100,2.0,370,21100,21100,21100,21100,-,20000.0,21100,250.0,1.2,293,579,900.0,3000.0,100.0,2.0,14.0,14.0,-,4100.0,8100.0,-4000,-,
09/09/2024,17743865,17541105,19950,21300,18600,1300,26.0,366,20100,20850,20850,19150,1700,20000.0,20900,900.0,4.51,439,462,800.0,1300.0,1300.0,26.0,28.0,13.0,15,12300.0,6000.0,6300,-,
06/09/2024,17743865,17541105,19950,21300,18600,-,,350,19950,19950,19950,19950,-,,20000,,,465,480,2400.0,2400.0,,,20.0,5.0,15,9300.0,2400.0,6900,-,
05/09/2024,17743865,17541105,18700,20000,17400,100,1.0,350,19950,19950,19950,19950,-,10000.0,20000,1250.0,6.68,604,100,3700.0,,100.0,1.0,23.0,1.0,22,13900.0,100.0,13800,-,
04/09/2024,17743865,17541105,20050,21450,18650,3500,67.0,328,20050,18700,20050,18700,1350,19143.0,18700,-1350.0,-6.73,748,950,3300.0,300.0,3500.0,67.0,33.0,4.0,29,24700.0,3800.0,20900,-,
30/08/2024,17743865,17541105,20050,21450,18650,60900,1221.0,352,20600,20050,20600,20050,550,20049.0,20100,,,1539,3389,6800.0,100.0,60900.0,1221.0,44.0,18.0,26,67700.0,61000.0,6700,-,
29/08/2024,17743865,17541105,20500,21900,19100,2100,42.0,352,19650,20050,20050,19650,400,20000.0,20100,-450.0,-2.2,426,433,1600.0,400.0,2100.0,42.0,19.0,6.0,13,8100.0,2600.0,5500,-,
28/08/2024,17743865,17541105,20500,21900,19100,-,,360,20500,20500,20500,20500,-,,20500,,,418,450,2500.0,900.0,,,11.0,2.0,9,4600.0,900.0,3700,-,
