Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,28480000,28480000,14200,16300,12100,200,3.0,384,13500,13500,13500,13500,-,13500,13500,-700.0,-4.93,200,300,200.0,100.0,200.0,3.0,2.0,1.0,1,400.0,300.0,100,-,
26/09/2024,28480000,28480000,14200,16300,12100,100,1.0,404,14200,14200,14200,14200,-,14200,14200,,,100,340,,1600.0,100.0,1.0,1.0,5.0,-4,100.0,1700.0,-1600,-,
25/09/2024,28480000,28480000,14200,16300,12100,-,,404,14200,14200,14200,14200,-,14200,14200,,,100,900,200.0,4500.0,,,2.0,5.0,-3,200.0,4500.0,-4300,-,
24/09/2024,28480000,28480000,14200,16300,12100,-,,404,14200,14200,14200,14200,-,14200,14200,,,600,1150,1200.0,2300.0,,,2.0,2.0,-,1200.0,2300.0,-1100,-,
23/09/2024,28480000,28480000,16500,18900,14100,2300,33.0,402,14300,14100,14300,14100,200,14157,14100,-2400.0,-14.55,460,957,,4400.0,2300.0,33.0,5.0,7.0,-2,2300.0,6700.0,-4400,-,
20/09/2024,28480000,28480000,19300,22100,16500,100,2.0,470,16500,16500,16500,16500,-,16500,16500,-2800.0,-14.51,100,767,,4500.0,100.0,2.0,1.0,6.0,-5,100.0,4600.0,-4500,-,
19/09/2024,28480000,28480000,22600,25900,19300,2600,50.0,550,19300,19300,19300,19300,-,19300,19300,-3300.0,-14.6,433,692,,5700.0,2600.0,50.0,6.0,12.0,-6,2600.0,8300.0,-5700,-,
18/09/2024,28480000,28480000,19700,22600,16800,100,2.0,644,22600,22600,22600,22600,-,22600,22600,2900.0,14.72,100,650,100.0,3800.0,100.0,2.0,2.0,6.0,-4,200.0,3900.0,-3700,-,
17/09/2024,28480000,28480000,19700,22600,16800,-,,561,19700,19700,19700,19700,-,19700,19700,,,100,356,100.0,5700.0,,,1.0,16.0,-15,100.0,5700.0,-5600,-,
16/09/2024,28480000,28480000,17500,20100,14900,300,6.0,572,19000,20100,20100,19000,1100,19700,20100,2600.0,14.86,100,283,300.0,1400.0,300.0,6.0,6.0,6.0,-,600.0,1700.0,-1100,-,
13/09/2024,28480000,28480000,17500,20100,14900,-,,498,17500,17500,17500,17500,-,17500,17500,,,100,267,100.0,2400.0,,,1.0,9.0,-8,100.0,2400.0,-2300,-,
12/09/2024,28480000,28480000,20000,23000,17000,1400,24.0,484,23000,17000,23000,17000,6000,17493,17000,-3000.0,-15.0,280,393,,4100.0,1400.0,24.0,5.0,14.0,-9,1400.0,5500.0,-4100,-,
11/09/2024,28480000,28480000,18900,21700,16100,150,3.0,570,20000,20000,20000,20000,-,20000,20000,1100.0,5.82,100,314,,2050.0,150.0,3.0,1.0,7.0,-6,100.0,2200.0,-2100,-,
10/09/2024,28480000,28480000,18900,21700,16100,-,,538,18900,18900,18900,18900,-,18900,18900,,,-,350,,4200.0,,,,12.0,-12,,4200.0,-4200,-,
09/09/2024,28480000,28480000,18000,20700,15300,100,2.0,538,18900,18900,18900,18900,-,18900,18900,900.0,5.0,100,375,,4400.0,100.0,2.0,1.0,12.0,-11,100.0,4500.0,-4400,-,
06/09/2024,28480000,28480000,18000,20700,15300,-,,513,18000,18000,18000,18000,-,18000,18000,,,100,400,100.0,4000.0,,,1.0,10.0,-9,100.0,4000.0,-3900,-,
