Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,21712440,21712440,2000,2300,1700,386919,876.0,50,2200,2300,2300,2000,300,2264,2300,300.0,15.0,3080,3422,149081.0,,386919.0,876.0,174.0,113.0,61,536000.0,386700.0,149300,-,
26/09/2024,21712440,21712440,2000,2300,1700,-,,43,2000,2000,2000,2000,-,2000,2000,,,-,-,,,,,,,-,,,-,-,
25/09/2024,21712440,21712440,2000,2300,1700,-,,43,2000,2000,2000,2000,-,2000,2000,,,-,-,,,,,,,-,,,-,-,
24/09/2024,21712440,21712440,2000,2300,1700,-,,43,2000,2000,2000,2000,-,2000,2000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,21712440,21712440,2000,2300,1700,-,,43,2000,2000,2000,2000,-,2000,2000,,,-,-,,,,,,,-,,,-,-,
20/09/2024,21712440,21712440,1800,2000,1600,302755,594.0,43,1800,2000,2000,1800,200,1962,2000,200.0,11.11,4392,2565,439545.0,,302755.0,594.0,169.0,118.0,51,742300.0,302700.0,439600,-,
19/09/2024,21712440,21712440,1800,2000,1600,-,,39,1800,1800,1800,1800,-,1800,1800,,,-,-,,,,,,,-,,,-,-,
18/09/2024,21712440,21712440,1800,2000,1600,-,,39,1800,1800,1800,1800,-,1800,1800,,,-,-,,,,,,,-,,,-,-,
17/09/2024,21712440,21712440,1800,2000,1600,-,,39,1800,1800,1800,1800,-,1800,1800,,,-,-,,,,,,,-,,,-,-,
