Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,6050000,6050000,4800,5200,4400,15500,73.0,28,4800,4600,4800,4600,200,4705,4600,-200.0,-4.17,685,2284,11900.0,55300.0,15500.0,73.0,40,31,9,27400,70800,-43400,-,
26/09/2024,6050000,6050000,4800,5200,4400,24300,117.0,29,4900,4800,4900,4700,200,4811,4800,,,710,1663,25400.0,20600.0,24300.0,117.0,70,27,43,49700,44900,4800,-,
25/09/2024,6050000,6050000,5100,5600,4600,31500,156.0,29,5100,4800,5100,4800,300,4975,4800,-300.0,-5.88,846,949,23500.0,13100.0,31500.0,156.0,65,47,18,55000,44600,10400,-,
24/09/2024,6050000,6050000,5000,5500,4500,17120,86.0,31,5000,5100,5100,5000,100,5004,5100,100.0,2.0,893,953,9680.0,15280.0,17120.0,86.0,30,34,-4,26800,32400,-5600,-,
23/09/2024,6050000,6050000,5100,5600,4600,6500,33.0,30,5000,5000,5200,5000,200,5003,5000,-100.0,-1.96,553,1013,11200.0,9700.0,6500.0,33.0,32,16,16,17700,16200,1500,-,
20/09/2024,6050000,6050000,5100,5600,4600,64500,319.0,31,5100,5100,5300,4900,400,4938,5100,,,1287,2291,74500.0,8800.0,64500.0,319.0,108,32,76,139000,73300,65700,-,
19/09/2024,6050000,6050000,5300,5800,4800,2705,14.0,31,5200,5100,5300,5100,200,5176,5100,-200.0,-3.77,363,692,7095.0,14595.0,2705.0,14.0,27,25,2,9800,17300,-7500,-,
18/09/2024,6050000,6050000,5400,5900,4900,4500,23.0,32,5100,5300,5300,5100,200,5200,5300,-100.0,-1.85,452,765,8600.0,21500.0,4500.0,23.0,29,34,-5,13100,26000,-12900,-,
17/09/2024,6050000,6050000,5500,6000,5000,4100,21.0,33,5200,5400,5400,5200,200,5207,5400,-100.0,-1.82,753,844,7200.0,26300.0,4100.0,21.0,15,36,-21,11300,30400,-19100,-,
16/09/2024,6050000,6050000,5200,5700,4700,8405,44.0,33,5300,5500,5500,5100,400,5103,5500,300.0,5.77,574,435,7095.0,5095.0,8405.0,44.0,27,31,-4,15500,13500,2000,-,
13/09/2024,6050000,6050000,5400,5900,4900,5000,26.0,31,5100,5200,5400,5100,300,5238,5200,-200.0,-3.7,454,814,10900.0,17800.0,5000.0,26.0,35,28,7,15900,22800,-6900,-,
12/09/2024,6050000,6050000,5300,5800,4800,7900,41.0,33,5400,5400,5400,5100,300,5159,5400,100.0,1.89,387,716,7200.0,15000.0,7900.0,41.0,39,32,7,15100,22900,-7800,-,
11/09/2024,6050000,6050000,5400,5900,4900,400,2.0,32,5100,5300,5300,5100,200,5200,5300,-100.0,-1.85,767,665,8800.0,10900.0,400.0,2.0,12,17,-5,9200,11300,-2100,-,
10/09/2024,6050000,6050000,5400,5900,4900,310,2.0,33,5500,5400,5500,5400,100,5433,5400,,,873,3185,9290.0,63390.0,310.0,2.0,11,20,-9,9600,63700,-54100,-,
09/09/2024,6050000,6050000,5400,5900,4900,800,4.0,33,5400,5400,5500,5400,100,5425,5400,,,836,1129,10900.0,22900.0,800.0,4.0,14,21,-7,11700,23700,-12000,-,
06/09/2024,6050000,6050000,5400,5900,4900,11002,59.0,33,5500,5400,5500,5400,100,5401,5400,,,1533,2536,11998.0,16898.0,11002.0,59.0,15,11,4,23000,27900,-4900,-,
05/09/2024,6050000,6050000,5500,6000,5000,8300,45.0,33,5500,5400,5500,5400,100,5468,5400,-100.0,-1.82,1111,1230,11700.0,20000.0,8300.0,45.0,18,23,-5,20000,28300,-8300,-,
04/09/2024,6050000,6050000,5500,6000,5000,3910,22.0,33,5500,5500,5600,5500,100,5508,5500,,,939,963,12990.0,22090.0,3910.0,22.0,18,27,-9,16900,26000,-9100,-,
30/08/2024,6050000,6050000,5300,5800,4800,900,5.0,33,5300,5500,5500,5300,200,5367,5500,200.0,3.77,895,473,16100.0,13300.0,900.0,5.0,19,30,-11,17000,14200,2800,-,
29/08/2024,6050000,6050000,5500,6000,5000,200,1.0,32,5300,5300,5300,5300,-,5500,5300,-200.0,-3.64,925,840,10900.0,12400.0,200.0,1.0,12,15,-3,11100,12600,-1500,-,
28/08/2024,6050000,6050000,5500,6000,5000,600,3.0,33,5400,5500,5500,5400,100,5400,5500,,,700,756,11300.0,13000.0,600.0,3.0,17,18,-1,11900,13600,-1700,-,
27/08/2024,6050000,6050000,5500,6000,5000,500,3.0,33,5500,5500,5500,5200,300,5275,5500,,,650,1281,9900.0,20000.0,500.0,3.0,16,16,-,10400,20500,-10100,-,
26/08/2024,6050000,6050000,5700,6200,5200,16020,89.0,33,5700,5500,5800,5400,400,5563,5500,-200.0,-3.51,1008,1023,10180.0,24880.0,16020.0,89.0,26,40,-14,26200,40900,-14700,-,
23/08/2024,6050000,6050000,5500,6000,5000,4600,26.0,34,5500,5700,5700,5500,200,5500,5700,200.0,3.64,867,980,11000.0,15000.0,4600.0,26.0,18,20,-2,15600,19600,-4000,-,
22/08/2024,6050000,6050000,5500,6000,5000,8000,44.0,33,5500,5500,5500,5500,-,5500,5500,,,827,997,13500.0,26900.0,8000.0,44.0,26,35,-9,21500,34900,-13400,-,
21/08/2024,6050000,6050000,5500,6000,5000,38216,211.0,33,5500,5500,5800,5400,400,5520,5500,,,1004,1459,10984.0,21584.0,38216.0,211.0,49,41,8,49200,59800,-10600,-,
20/08/2024,6050000,6050000,5300,5800,4800,14302,78.0,33,5300,5500,5700,5200,500,5417,5500,200.0,3.77,572,462,12598.0,8798.0,14302.0,78.0,47,50,-3,26900,23100,3800,-,
19/08/2024,6050000,6050000,5100,5600,4600,5500,28.0,32,5100,5300,5300,5000,300,5063,5300,200.0,3.92,434,455,16200.0,8600.0,5500.0,28.0,50,31,19,21700,14100,7600,-,
16/08/2024,6050000,6050000,5100,5600,4600,4400,22.0,31,4900,5100,5500,4900,600,5086,5100,,,402,462,13700.0,9000.0,4400.0,22.0,45,29,16,18100,13400,4700,-,
15/08/2024,6050000,6050000,5300,5800,4800,10800,54.0,31,5000,5100,5100,4900,200,5027,5100,-200.0,-3.77,450,597,12600.0,10100.0,10800.0,54.0,52,35,17,23400,20900,2500,-,
14/08/2024,6050000,6050000,5500,6000,5000,11700,60.0,32,5300,5300,5400,5100,300,5141,5300,-200.0,-3.64,504,769,12000.0,18300.0,11700.0,60.0,47,39,8,23700,30000,-6300,-,
13/08/2024,6050000,6050000,5400,5900,4900,13600,70.0,33,5100,5500,5500,5000,500,5080,5500,100.0,1.85,552,426,15100.0,4700.0,13600.0,70.0,52,43,9,28700,18300,10400,-,
12/08/2024,6050000,6050000,5700,6200,5200,8631,46.0,33,5400,5400,5500,5300,200,5366,5400,-300.0,-5.26,364,661,3369.0,30369.0,8631.0,46.0,33,59,-26,12000,39000,-27000,-,
