Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2000000,2000000,8300,9500,7100,100,1.0,18,9100,9100,9100,9100,-,9100,9100,800.0,9.64,233,400,600.0,2300.0,100.0,1.0,3.0,6,-3,700.0,2400,-1700,-,
26/09/2024,2000000,2000000,7700,8800,6600,13802,115.0,17,7700,8600,8700,7700,1000,8297,8600,900.0,11.69,2214,2483,1698.0,1098.0,13802.0,115.0,7.0,6,1,15500.0,14900,600,-,
25/09/2024,2000000,2000000,7700,8800,6600,-,,15,7700,7700,7700,7700,-,7700,7700,,,233,650,1400.0,1300.0,,,6.0,2,4,1400.0,1300,100,-,
24/09/2024,2000000,2000000,8800,10100,7500,5500,42.0,16,7900,7800,7900,7600,300,7700,7800,-1000.0,-11.36,441,978,2000.0,3300.0,5500.0,42.0,17.0,9,8,7500.0,8800,-1300,-,
23/09/2024,2000000,2000000,8800,10100,7500,-,,18,8800,8800,8800,8800,-,8800,8800,,,420,456,2100.0,4100.0,,,5.0,9,-4,2100.0,4100,-2000,-,
20/09/2024,2000000,2000000,8800,10100,7500,-,,18,8800,8800,8800,8800,-,8800,8800,,,500,450,2000.0,3600.0,,,4.0,8,-4,2000.0,3600,-1600,-,
19/09/2024,2000000,2000000,8800,10100,7500,-,,18,8800,8800,8800,8800,-,8800,8800,,,500,410,2000.0,4100.0,,,4.0,10,-6,2000.0,4100,-2100,-,
18/09/2024,2000000,2000000,8800,10100,7500,-,,18,8800,8800,8800,8800,-,8800,8800,,,625,543,2500.0,3800.0,,,4.0,7,-3,2500.0,3800,-1300,-,
17/09/2024,2000000,2000000,8800,10100,7500,-,,18,8800,8800,8800,8800,-,8800,8800,,,625,425,2500.0,3400.0,,,4.0,8,-4,2500.0,3400,-900,-,
16/09/2024,2000000,2000000,8800,10100,7500,-,,18,8800,8800,8800,8800,-,8800,8800,,,720,550,3600.0,3300.0,,,5.0,6,-1,3600.0,3300,300,-,
13/09/2024,2000000,2000000,7800,8900,6700,111,1.0,18,8800,8800,8800,8800,-,8800,8800,1000.0,12.82,744,357,6589.0,2389.0,111.0,1.0,9.0,7,2,6700.0,2500,4200,-,
12/09/2024,2000000,2000000,7800,8900,6700,1,0.0,16,7800,7800,7800,7800,-,7800,7800,,,1443,400,10099.0,799.0,1.0,0.0,7.0,2,5,10100.0,800,9300,-,
11/09/2024,2000000,2000000,7800,8900,6700,-,,16,7800,7800,7800,7800,-,7800,7800,,,3000,600,12000.0,1800.0,,,4.0,3,1,12000.0,1800,10200,-,
10/09/2024,2000000,2000000,9000,10300,7700,800,6.0,16,7900,7800,7900,7800,100,7813,7800,-1200.0,-13.33,1380,375,6100.0,3700.0,800.0,6.0,5.0,12,-7,6900.0,4500,2400,-,
09/09/2024,2000000,2000000,8100,9300,6900,101,1.0,18,9000,9000,9000,9000,-,9000,9000,900.0,11.11,2340,517,11599.0,2999.0,101.0,1.0,5.0,6,-1,11700.0,3100,8600,-,
06/09/2024,2000000,2000000,9300,10600,8000,1100,9.0,18,8100,9100,9100,8000,1100,8109,9100,-200.0,-2.15,367,330,1100.0,2200.0,1100.0,9.0,6.0,10,-4,2200.0,3300,-1100,-,
05/09/2024,2000000,2000000,9300,10600,8000,-,,19,9300,9300,9300,9300,-,9300,9300,,,600,1375,1200.0,11000.0,,,2.0,8,-6,1200.0,11000,-9800,-,
04/09/2024,2000000,2000000,9300,10600,8000,-,,19,9300,9300,9300,9300,-,9300,9300,,,300,669,600.0,10700.0,,,2.0,16,-14,600.0,10700,-10100,-,
30/08/2024,2000000,2000000,9300,10600,8000,-,,19,9300,9300,9300,9300,-,9300,9300,,,550,694,1100.0,11100.0,,,2.0,16,-14,1100.0,11100,-10000,-,
29/08/2024,2000000,2000000,8200,9400,7000,100,1.0,19,9300,9300,9300,9300,-,9300,9300,1100.0,13.41,1450,313,8600.0,2400.0,100.0,1.0,6.0,8,-2,8700.0,2500,6200,-,
28/08/2024,2000000,2000000,9600,11000,8200,110,1.0,16,8200,8200,8200,8200,-,8200,8200,-1400.0,-14.58,233,263,590.0,1990.0,110.0,1.0,3.0,8,-5,700.0,2100,-1400,-,
27/08/2024,2000000,2000000,8600,9800,7400,100,1.0,19,9600,9600,9600,9600,-,9600,9600,1000.0,11.63,1280,440,6300.0,2100.0,100.0,1.0,5.0,5,-,6400.0,2200,4200,-,
26/08/2024,2000000,2000000,8600,9800,7400,7,0.0,17,8600,8200,8600,8600,-,8600,8600,-400.0,-4.65,650,480,2593.0,2393.0,7.0,0.0,4.0,5,-1,2600.0,2400,200,-,
23/08/2024,2000000,2000000,8500,9700,7300,300,3.0,16,8200,8200,9400,8200,1200,8600,8200,-300.0,-3.53,638,163,4800.0,1000.0,300.0,3.0,8.0,8,-,5100.0,1300,3800,-,
22/08/2024,2000000,2000000,9300,10600,8000,5101,43.0,18,8500,9100,9100,8500,600,8512,9100,-200.0,-2.15,2033,1000,999.0,1899.0,5101.0,43.0,3.0,7,-4,6100.0,7000,-900,-,
