Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,28400000,28400000,11200,12800,9600,16300,190.0,329,11000,11600,12200,11000,1200,11628,11600,400.0,3.57,1373,1187,29000,20500,16300.0,190.0,33,31,2,45300,36800,8500,-,
26/09/2024,28400000,28400000,11200,12800,9600,26800,300.0,332,10000,11700,11700,10000,1700,11176,11700,500.0,4.46,1156,1596,33300,9900,26800.0,300.0,52,23,29,60100,36700,23400,-,
25/09/2024,28400000,28400000,12600,14400,10800,1765400,22934.0,335,10800,11800,12400,10800,1600,11224,11800,-800.0,-6.35,489,1019,400,22700,8900.0,100.0,19,31,-12,9300,31600,-22300,1756500,22835.0
24/09/2024,28400000,28400000,11200,12800,9600,1000,13.0,358,12600,12600,12600,12600,-,12600,12600,1400.0,12.5,963,788,14400,12400,1000.0,13.0,16,17,-1,15400,13400,2000,-,
23/09/2024,28400000,28400000,11300,12900,9700,100,1.0,318,11200,11200,11200,11200,-,11200,11200,-100.0,-0.88,786,871,10900,6000,100.0,1.0,14,7,7,11000,6100,4900,-,
20/09/2024,28400000,28400000,11300,12900,9700,-,,321,11300,11300,11300,11300,-,11300,11300,,,775,911,12400,8200,,,16,9,7,12400,8200,4200,-,
19/09/2024,28400000,28400000,11300,12900,9700,2500,28.0,321,11200,11300,11300,11200,100,11264,11300,,,1229,1581,14700,22800,2500.0,28.0,14,16,-2,17200,25300,-8100,-,
18/09/2024,28400000,28400000,11600,13300,9900,500,6.0,321,11300,11300,11300,11300,-,11300,11300,-300.0,-2.59,1124,1430,18600,28100,500.0,6.0,17,20,-3,19100,28600,-9500,-,
17/09/2024,28400000,28400000,11100,12700,9500,3400,39.0,321,11800,11300,11800,11300,500,11600,11300,200.0,1.8,896,496,17200,8500,3400.0,39.0,23,24,-1,20600,11900,8700,-,
