Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4545000,4545000,2800,3200,2400,233,1.0,14,3200,3000,3200,3000,200,3100,3000,200.0,7.14,163,393,1067.0,15467.0,233.0,1.0,8.0,40,-32,1300.0,15700,-14400,-,
26/09/2024,4545000,4545000,2800,3200,2400,-,,13,2800,2800,2800,2800,-,2800,2800,,,150,333,900.0,1000.0,,,6.0,3,3,900.0,1000,-100,-,
25/09/2024,4545000,4545000,3000,3400,2600,1900,5.0,13,2800,2800,2800,2800,-,2800,2800,-200.0,-6.67,586,1600,2200.0,9300.0,1900.0,5.0,7.0,7,-,4100.0,11200,-7100,-,
24/09/2024,4545000,4545000,2800,3200,2400,800,2.0,14,3000,3000,3000,3000,-,3000,3000,200.0,7.14,260,700,1800.0,3400.0,800.0,2.0,10.0,6,4,2600.0,4200,-1600,-,
23/09/2024,4545000,4545000,2800,3200,2400,4,0.0,13,2800,2600,2800,2800,-,2800,2800,-200.0,-7.14,75,300,296.0,596.0,4.0,0.0,4.0,2,2,300.0,600,-300,-,
20/09/2024,4545000,4545000,3000,3400,2600,2618,7.0,12,3000,2600,3000,2600,400,2785,2600,-400.0,-13.33,580,529,282.0,1082.0,2618.0,7.0,5.0,7,-2,2900.0,3700,-800,-,
19/09/2024,4545000,4545000,3000,3400,2600,1134,3.0,14,3000,3000,3000,3000,-,3000,3000,,,186,600,166.0,2466.0,1134.0,3.0,7.0,6,1,1300.0,3600,-2300,-,
18/09/2024,4545000,4545000,3000,3400,2600,100,0.0,14,3000,3000,3000,3000,-,3000,3000,,,140,443,600.0,3000.0,100.0,0.0,5.0,7,-2,700.0,3100,-2400,-,
17/09/2024,4545000,4545000,3000,3400,2600,-,,14,3000,3000,3000,3000,-,3000,3000,,,60,1486,300.0,10400.0,,,5.0,7,-2,300.0,10400,-10100,-,
16/09/2024,4545000,4545000,3000,3400,2600,-,,14,3000,3000,3000,3000,-,3000,3000,,,100,1486,100.0,10400.0,,,1.0,7,-6,100.0,10400,-10300,-,
13/09/2024,4545000,4545000,3000,3400,2600,-,,14,3000,3000,3000,3000,-,3000,3000,,,275,320,1100.0,1600.0,,,4.0,5,-1,1100.0,1600,-500,-,
12/09/2024,4545000,4545000,3000,3400,2600,-,,14,3000,3000,3000,3000,-,3000,3000,,,67,420,200.0,2100.0,,,3.0,5,-2,200.0,2100,-1900,-,
11/09/2024,4545000,4545000,3000,3400,2600,500,2.0,14,3000,3000,3000,3000,-,3000,3000,,,233,283,200.0,1200.0,500.0,2.0,3.0,6,-3,700.0,1700,-1000,-,
10/09/2024,4545000,4545000,3000,3400,2600,101,0.0,14,3000,3000,3000,3000,-,3000,3000,,,100,217,199.0,1199.0,101.0,0.0,3.0,6,-3,300.0,1300,-1000,-,
09/09/2024,4545000,4545000,3000,3400,2600,15,0.0,14,3000,3000,3000,3000,-,3000,3000,,,100,283,85.0,1685.0,15.0,0.0,1.0,6,-5,100.0,1700,-1600,-,
06/09/2024,4545000,4545000,3000,3400,2600,500,2.0,14,3000,3000,3000,3000,-,3000,3000,,,300,4113,100.0,32400.0,500.0,2.0,2.0,8,-6,600.0,32900,-32300,-,
05/09/2024,4545000,4545000,3000,3400,2600,3,0.0,14,3000,3000,3000,3000,-,3000,3000,,,100,5967,197.0,35797.0,3.0,0.0,2.0,6,-4,200.0,35800,-35600,-,
04/09/2024,4545000,4545000,3100,3500,2700,100,0.0,14,3000,3000,3000,3000,-,3000,3000,-100.0,-3.23,100,2467,200.0,22100.0,100.0,0.0,3.0,9,-6,300.0,22200,-21900,-,
30/08/2024,4545000,4545000,3100,3500,2700,-,,14,3100,3100,3100,3100,-,3100,3100,,,100,2657,100.0,18600.0,,,1.0,7,-6,100.0,18600,-18500,-,
29/08/2024,4545000,4545000,3100,3500,2700,1,0.0,14,3100,3100,3100,3100,-,3100,3100,,,100,1900,199.0,11399.0,1.0,0.0,2.0,6,-4,200.0,11400,-11200,-,
28/08/2024,4545000,4545000,3100,3500,2700,12,0.0,14,3100,3100,3100,3100,-,3100,3100,,,100,1738,388.0,13888.0,12.0,0.0,4.0,8,-4,400.0,13900,-13500,-,
27/08/2024,4545000,4545000,3100,3500,2700,11,0.0,14,3100,3100,3100,3100,-,3100,3100,,,100,1438,89.0,11489.0,11.0,0.0,1.0,8,-7,100.0,11500,-11400,-,
26/08/2024,4545000,4545000,3200,3600,2800,610,2.0,14,3100,3100,3100,3100,-,3100,3100,-100.0,-3.13,140,1081,90.0,16690.0,610.0,2.0,5.0,16,-11,700.0,17300,-16600,-,
23/08/2024,4545000,4545000,3100,3500,2700,111,0.0,15,3200,3200,3200,3200,-,3200,3200,100.0,3.23,100050,152,199989.0,15589.0,111.0,0.0,2.0,103,-101,200100.0,15700,184400,-,
22/08/2024,4545000,4545000,3300,3700,2900,301,1.0,14,3100,3100,3100,3100,-,3100,3100,-200.0,-6.06,150,428,,19799.0,301.0,1.0,2.0,47,-45,300.0,20100,-19800,-,
21/08/2024,4545000,4545000,3300,3700,2900,22,0.0,15,3300,3300,3300,3300,-,3300,3300,,,100,566,78.0,18078.0,22.0,0.0,1.0,32,-31,100.0,18100,-18000,-,
20/08/2024,4545000,4545000,3100,3500,2700,309,1.0,15,3200,3300,3300,3200,100,3267,3300,200.0,6.45,250,5312,1191.0,174991.0,309.0,1.0,6.0,33,-27,1500.0,175300,-173800,-,
19/08/2024,4545000,4545000,3000,3400,2600,108,0.0,14,3100,3100,3100,3100,-,3100,3100,100.0,3.33,100,243,392.0,5492.0,108.0,0.0,5.0,23,-18,500.0,5600,-5100,-,
16/08/2024,4545000,4545000,3000,3400,2600,-,,14,3000,3000,3000,3000,-,3000,3000,,,100,1429,200.0,10000.0,,,2.0,7,-5,200.0,10000,-9800,-,
15/08/2024,4545000,4545000,3000,3400,2600,6,0.0,14,3000,3100,3000,3000,-,3000,3000,100.0,3.33,100,1883,194.0,11294.0,6.0,0.0,2.0,6,-4,200.0,11300,-11100,-,
14/08/2024,4545000,4545000,2800,3200,2400,1795,5.0,14,2800,3100,3200,2800,400,3047,3100,300.0,10.71,185,454,605.0,10005.0,1795.0,5.0,13.0,26,-13,2400.0,11800,-9400,-,
13/08/2024,4545000,4545000,2800,3200,2400,1804,5.0,13,2800,2800,2800,2800,-,2800,2800,,,338,1217,896.0,5496.0,1804.0,5.0,8.0,6,2,2700.0,7300,-4600,-,
12/08/2024,4545000,4545000,2800,3200,2400,-,,13,2800,2800,2800,2800,-,2800,2800,,,233,1150,700.0,2300.0,,,3.0,2,1,700.0,2300,-1600,-,
09/08/2024,4545000,4545000,2800,3200,2400,2100,6.0,13,2800,2800,2800,2800,-,2800,2800,,,675,783,600.0,2600.0,2100.0,6.0,4.0,6,-2,2700.0,4700,-2000,-,
08/08/2024,4545000,4545000,2900,3300,2500,2100,6.0,13,2900,2800,2900,2800,100,2805,2800,-100.0,-3.45,500,500,400.0,2900.0,2100.0,6.0,5.0,10,-5,2500.0,5000,-2500,-,
07/08/2024,4545000,4545000,2900,3300,2500,500,1.0,13,2900,2900,2900,2800,100,2860,2900,,,433,525,2100.0,3700.0,500.0,1.0,6.0,8,-2,2600.0,4200,-1600,-,
06/08/2024,4545000,4545000,3000,3400,2600,100,0.0,13,2900,2900,2900,2900,-,2900,2900,-100.0,-3.33,100,1370,100.0,13600.0,100.0,0.0,2.0,10,-8,200.0,13700,-13500,-,
05/08/2024,4545000,4545000,3000,3400,2600,1401,4.0,13,3000,2900,3000,2900,100,2979,2900,-100.0,-3.33,200,500,199.0,4599.0,1401.0,4.0,8.0,12,-4,1600.0,6000,-4400,-,
02/08/2024,4545000,4545000,3000,3400,2600,1,0.0,14,3000,3000,3000,3000,-,3000,3000,,,100,650,199.0,3899.0,1.0,0.0,2.0,6,-4,200.0,3900,-3700,-,
01/08/2024,4545000,4545000,3000,3400,2600,111,0.0,14,3000,3000,3000,3000,-,3000,3000,,,520,438,2489.0,3389.0,111.0,0.0,5.0,8,-3,2600.0,3500,-900,-,
31/07/2024,4545000,4545000,3000,3400,2600,103,0.0,14,3000,3000,3000,3000,-,3000,3000,,,540,725,2597.0,2797.0,103.0,0.0,5.0,4,1,2700.0,2900,-200,-,
30/07/2024,4545000,4545000,3000,3400,2600,-,,14,3000,3000,3000,3000,-,3000,3000,,,483,483,2900.0,2900.0,,,6.0,6,-,2900.0,2900,-,-,
29/07/2024,4545000,4545000,3000,3400,2600,-,,14,3000,3000,3000,3000,-,3000,3000,,,140,1200,700.0,8400.0,,,5.0,7,-2,700.0,8400,-7700,-,
26/07/2024,4545000,4545000,3400,3900,2900,6100,18.0,15,3000,3200,3200,3000,200,3003,3200,-200.0,-5.88,767,1015,800.0,21300.0,6100.0,18.0,9.0,27,-18,6900.0,27400,-20500,-,
