Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12000000,12000000,22800,25000,20600,400,9.0,272,22800,22700,22800,22700,100,22725,22700,-100.0,-0.44,634,796,19900,21900,400.0,9.0,32,28,4,20300,22300,-2000,-,
26/09/2024,12000000,12000000,22800,25000,20600,622,14.0,274,22800,22800,22800,22800,-,22800,22800,,,768,613,16278,13478,622.0,14.0,22,23,-1,16900,14100,2800,-,
25/09/2024,12000000,12000000,22500,24700,20300,5800,128.0,274,22500,22800,22800,22000,800,22137,22800,300.0,1.33,566,677,12300,9100,5800.0,128.0,32,22,10,18100,14900,3200,-,
24/09/2024,12000000,12000000,22500,24700,20300,500,11.0,270,22500,22500,22500,22500,-,22500,22500,,,597,792,16800,9800,500.0,11.0,29,13,16,17300,10300,7000,-,
23/09/2024,12000000,12000000,22800,25000,20600,629,14.0,270,22100,22500,22500,22100,400,22433,22500,-300.0,-1.32,786,485,16671,9071,629.0,14.0,22,20,2,17300,9700,7600,-,
20/09/2024,12000000,12000000,22500,24700,20300,100,2.0,274,22800,22800,22800,22800,-,22500,22800,300.0,1.33,658,453,17000,8500,100.0,2.0,26,19,7,17100,8600,8500,-,
19/09/2024,12000000,12000000,22400,24600,20200,4060,90.0,270,22200,22500,22500,22000,500,22151,22500,100.0,0.45,495,509,14240,7140,4060.0,90.0,37,22,15,18300,11200,7100,-,
18/09/2024,12000000,12000000,22500,24700,20300,1500,34.0,269,22400,22400,22400,22400,-,22400,22400,-100.0,-0.44,704,725,16800,10100,1500.0,34.0,26,16,10,18300,11600,6700,-,
17/09/2024,12000000,12000000,23000,25300,20700,11000,247.0,270,22500,22500,22500,22000,500,22460,22500,-500.0,-2.17,725,1015,23800,9300,11000.0,247.0,48,20,28,34800,20300,14500,-,
16/09/2024,12000000,12000000,23000,25300,20700,5100,117.0,276,23000,23000,23000,23000,-,23000,23000,,,914,1059,20500,18200,5100.0,117.0,28,22,6,25600,23300,2300,-,
13/09/2024,12000000,12000000,22300,24500,20100,3900,90.0,276,22900,23000,23200,22900,300,23042,23000,700.0,3.14,531,667,15200,18100,3900.0,90.0,36,33,3,19100,22000,-2900,-,
12/09/2024,12000000,12000000,22300,24500,20100,-,,268,22300,22300,22300,22300,-,22300,22300,,,382,467,8400,4200,,,22,9,13,8400,4200,4200,-,
11/09/2024,12000000,12000000,22500,24700,20300,500,11.0,268,22400,22300,22400,22300,100,22320,22300,-200.0,-0.89,638,483,16100,5300,500.0,11.0,26,12,14,16600,5800,10800,-,
10/09/2024,12000000,12000000,22200,24400,20000,7600,168.0,270,22300,22500,22900,21900,1000,22139,22500,300.0,1.35,587,788,22900,17600,7600.0,168.0,52,32,20,30500,25200,5300,-,
09/09/2024,12000000,12000000,22200,24400,20000,-,,266,22200,22200,22200,22200,-,22200,22200,,,411,353,7800,6700,,,19,19,-,7800,6700,1100,-,
06/09/2024,12000000,12000000,22700,24900,20500,3000,67.0,266,22600,22200,22600,22200,400,22290,22200,-500.0,-2.2,246,505,3400,7100,3000.0,67.0,26,20,6,6400,10100,-3700,-,
05/09/2024,12000000,12000000,22700,24900,20500,200,5.0,272,22700,22700,22700,22700,-,22700,22700,,,170,400,3200,9800,200.0,5.0,20,25,-5,3400,10000,-6600,-,
04/09/2024,12000000,12000000,23000,25300,20700,1600,36.0,272,23000,22700,23000,22700,300,22738,22700,-300.0,-1.3,416,633,6300,15500,1600.0,36.0,19,27,-8,7900,17100,-9200,-,
30/08/2024,12000000,12000000,22700,24900,20500,6200,143.0,276,23000,23000,23000,23000,-,23000,23000,300.0,1.32,513,481,9200,8700,6200.0,143.0,30,31,-1,15400,14900,500,-,
29/08/2024,12000000,12000000,22300,24500,20100,300,7.0,272,22900,22700,22900,22700,200,22800,22700,400.0,1.79,258,746,6400,17600,300.0,7.0,26,24,2,6700,17900,-11200,-,
28/08/2024,12000000,12000000,22600,24800,20400,3200,71.0,268,22300,22300,22300,22300,-,22600,22300,-300.0,-1.33,547,667,16500,8800,3200.0,71.0,36,18,18,19700,12000,7700,-,
27/08/2024,12000000,12000000,23000,25300,20700,1210,27.0,271,22900,22600,22900,22600,300,22714,22600,-400.0,-1.74,646,804,16890,17290,1210.0,27.0,28,23,5,18100,18500,-400,-,
26/08/2024,12000000,12000000,23200,25500,20900,1001,23.0,276,23200,23000,23200,23000,200,23020,23000,-200.0,-0.86,281,510,3499,13799,1001.0,23.0,16,29,-13,4500,14800,-10300,-,
23/08/2024,12000000,12000000,23000,25300,20700,1601,37.0,278,22900,23200,23200,22900,300,23019,23200,200.0,0.87,763,415,12899,6699,1601.0,37.0,19,20,-1,14500,8300,6200,-,
22/08/2024,12000000,12000000,22700,24900,20500,1300,30.0,276,23300,23000,23300,23000,300,23023,23000,300.0,1.32,363,859,7400,17600,1300.0,30.0,24,22,2,8700,18900,-10200,-,
21/08/2024,12000000,12000000,22900,25100,20700,300,7.0,272,22900,22700,22900,22700,200,22800,22700,-200.0,-0.87,619,727,18900,10600,300.0,7.0,31,15,16,19200,10900,8300,-,
20/08/2024,12000000,12000000,22700,24900,20500,800,18.0,275,22900,22900,22900,22700,200,22763,22900,200.0,0.88,329,405,7100,8100,800.0,18.0,24,22,2,7900,8900,-1000,-,
19/08/2024,12000000,12000000,22800,25000,20600,4348,99.0,272,22800,22700,22800,22500,300,22730,22700,-100.0,-0.44,326,669,4452,15052,4348.0,99.0,27,29,-2,8800,19400,-10600,-,
16/08/2024,12000000,12000000,22800,25000,20600,3600,82.0,274,22700,22800,22800,22700,100,22739,22800,,,322,596,3800,10700,3600.0,82.0,23,24,-1,7400,14300,-6900,-,
15/08/2024,12000000,12000000,22800,25000,20600,400,9.0,274,22300,22800,22800,22300,500,22675,22800,,,779,356,14400,9200,400.0,9.0,19,27,-8,14800,9600,5200,-,
14/08/2024,12000000,12000000,22800,25000,20600,100,2.0,274,22800,22800,22800,22800,-,22800,22800,,,189,417,3300,7400,100.0,2.0,18,18,-,3400,7500,-4100,-,
13/08/2024,12000000,12000000,22600,24800,20400,3900,88.0,274,22600,22800,22800,22400,400,22508,22800,200.0,0.88,463,495,8600,6500,3900.0,88.0,27,21,6,12500,10400,2100,-,
12/08/2024,12000000,12000000,22900,25100,20700,1301,30.0,271,22900,22600,22900,22600,300,22738,22600,-300.0,-1.31,260,520,2599,9099,1301.0,30.0,15,20,-5,3900,10400,-6500,-,
09/08/2024,12000000,12000000,22500,24700,20300,3700,83.0,275,22500,22900,22900,22500,400,22511,22900,400.0,1.78,608,571,12100,10000,3700.0,83.0,26,24,2,15800,13700,2100,-,
08/08/2024,12000000,12000000,22800,25000,20600,2100,48.0,270,22800,22500,23000,22500,500,22814,22500,-300.0,-1.32,1182,1023,23900,20400,2100.0,48.0,22,22,-,26000,22500,3500,-,
07/08/2024,12000000,12000000,23000,25300,20700,2700,62.0,274,23000,22800,23000,22400,600,22826,22800,-200.0,-0.87,568,574,9800,10500,2700.0,62.0,22,23,-1,12500,13200,-700,-,
06/08/2024,12000000,12000000,23000,25300,20700,12482,287.0,276,22900,23000,23100,22900,200,22981,23000,,,516,1113,12818,23118,12482.0,287.0,49,32,17,25300,35600,-10300,-,
05/08/2024,12000000,12000000,23000,25300,20700,18100,416.0,276,22900,23000,23100,22900,200,22997,23000,,,958,836,11600,21200,18100.0,416.0,31,47,-16,29700,39300,-9600,-,
02/08/2024,12000000,12000000,23600,25900,21300,2013,46.0,276,23000,23000,23000,23000,-,23000,23000,-600.0,-2.54,707,959,8587,23887,2013.0,46.0,15,27,-12,10600,25900,-15300,-,
01/08/2024,12000000,12000000,23800,26100,21500,10500,243.0,283,23100,23600,23600,23000,600,23128,23600,-200.0,-0.84,2221,797,31700,12600,10500.0,243.0,19,29,-10,42200,23100,19100,-,
31/07/2024,12000000,12000000,23100,25400,20800,9437,226.0,286,23400,23800,24300,23400,900,23923,23800,700.0,3.03,1280,640,22563,12963,9437.0,226.0,25,35,-10,32000,22400,9600,-,
30/07/2024,12000000,12000000,23000,25300,20700,6801,157.0,277,23000,23100,23100,22900,200,23025,23100,100.0,0.43,1788,431,37899,5699,6801.0,157.0,25,29,-4,44700,12500,32200,-,
29/07/2024,12000000,12000000,23100,25400,20800,12402,285.0,276,23000,23000,23100,23000,100,23007,23000,-100.0,-0.43,2753,1130,39898,13598,12402.0,285.0,19,23,-4,52300,26000,26300,-,
26/07/2024,12000000,12000000,23000,25300,20700,7800,180.0,277,23000,23100,23100,23000,100,23000,23100,100.0,0.43,625,640,4700,5000,7800.0,180.0,20,20,-,12500,12800,-300,-,
25/07/2024,12000000,12000000,23100,25400,20800,7579,174.0,276,23000,23000,23000,23000,-,23000,23000,-100.0,-0.43,484,1074,7921,17121,7579.0,174.0,32,23,9,15500,24700,-9200,-,
24/07/2024,12000000,12000000,22900,25100,20700,25101,578.0,277,23000,23100,23400,23000,400,23014,23100,200.0,0.87,865,1115,16399,32899,25101.0,578.0,48,52,-4,41500,58000,-16500,-,
23/07/2024,12000000,12000000,23100,25400,20800,5101,117.0,275,23100,22900,23100,22900,200,23002,22900,-200.0,-0.87,445,610,3799,13199,5101.0,117.0,20,30,-10,8900,18300,-9400,-,
22/07/2024,12000000,12000000,23400,25700,21100,37000,851.0,277,23000,23100,23100,23000,100,23009,23100,-300.0,-1.28,982,1337,6200,17800,37000.0,851.0,44,41,3,43200,54800,-11600,-,
19/07/2024,12000000,12000000,23400,25700,21100,909,21.0,281,23400,23400,23400,23400,-,23400,23400,,,477,1093,5291,31891,909.0,21.0,13,30,-17,6200,32800,-26600,-,
