Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,34000000,34000000,38450,41100,35800,3700,139,1285,37850,37800,38500,37600,900,37568,37800,-650.0,-1.69,202,334,2200,500,3700,139,88.0,32.0,56,17800.0,10700.0,7100,-,
26/09/2024,34000000,34000000,38200,40850,35550,4100,155,1307,38000,38450,38450,37700,750,37805,38500,250.0,0.65,143,442,1900,1200,4100,155,68.0,24.0,44,9700.0,10600.0,-900,-,
25/09/2024,34000000,34000000,38500,41150,35850,7400,281,1299,38000,38200,38600,37700,900,37973,38200,-300.0,-0.78,175,474,400,1300,7400,281,77.0,42.0,35,13500.0,19900.0,-6400,-,
24/09/2024,34000000,34000000,38500,41150,35850,1200,46,1309,38500,38500,38500,38500,-,38333,38500,,,211,400,500,600,1200,46,27.0,21.0,6,5700.0,8400.0,-2700,-,
23/09/2024,34000000,34000000,38500,41150,35850,1600,61,1309,38500,38500,38500,38500,-,38125,38500,,,153,400,700,1500,1600,61,38.0,21.0,17,5800.0,8400.0,-2600,-,
20/09/2024,34000000,34000000,38400,41050,35750,1200,46,1309,38500,38500,38500,38300,200,38333,38500,100.0,0.26,269,400,3100,2000,1200,46,52.0,23.0,29,14000.0,9200.0,4800,-,
19/09/2024,34000000,34000000,38650,41350,35950,1300,49,1306,38600,38400,38600,38000,600,37692,38400,-250.0,-0.65,275,191,4100,400,1300,49,51.0,23.0,28,14000.0,4400.0,9600,-,
18/09/2024,34000000,34000000,38800,41500,36100,5000,190,1314,38900,38650,38900,38000,900,38000,38700,-150.0,-0.39,319,344,2700,600,5000,190,57.0,41.0,16,18200.0,14100.0,4100,-,
17/09/2024,34000000,34000000,38800,41500,36100,1100,42,1319,38900,38800,38900,38800,100,38182,38800,,,168,211,2700,1000,1100,42,38.0,28.0,10,6400.0,5900.0,500,-,
16/09/2024,34000000,34000000,38100,40750,35450,2700,103,1319,38800,38800,38900,38200,700,38148,38800,700.0,1.84,190,550,1100,700,2700,103,48.0,46.0,2,9100.0,25300.0,-16200,-,
13/09/2024,34000000,34000000,38000,40650,35350,4200,160,1295,38000,38100,38400,38000,400,38095,38100,100.0,0.26,273,503,2000,800,4200,160,44.0,30.0,14,12000.0,15100.0,-3100,-,
12/09/2024,34000000,34000000,39000,41700,36300,2900,110,1292,39000,38000,39000,38000,1000,37931,38000,-1000.0,-2.56,220,403,3000,1600,2900,110,35.0,37.0,-2,7700.0,14900.0,-7200,-,
11/09/2024,34000000,34000000,38500,41150,35850,3300,126,1326,38500,39000,39000,38150,850,38182,39000,500.0,1.3,205,444,800,4700,3300,126,58.0,25.0,33,11900.0,11100.0,800,-,
10/09/2024,34000000,34000000,38900,41600,36200,3800,147,1309,38900,38500,38900,38500,400,38684,38500,-400.0,-1.03,334,591,5200,1700,3800,147,44.0,22.0,22,14700.0,13000.0,1700,-,
09/09/2024,34000000,34000000,38900,41600,36200,14300,556,1323,38900,38900,39000,38850,150,38881,38900,,,585,1848,3500,4100,14300,556,48.0,25.0,23,28100.0,46200.0,-18100,-,
06/09/2024,34000000,34000000,38600,41300,35900,16500,637,1323,38950,38900,38950,38500,450,38606,38900,300.0,0.78,524,1252,6900,3600,16500,637,51.0,29.0,22,26700.0,36300.0,-9600,-,
05/09/2024,34000000,34000000,39550,42300,36800,6100,235,1312,38050,38600,39500,38050,1450,38525,38600,-950.0,-2.4,578,989,26100,2600,6100,235,101.0,38.0,63,58400.0,37600.0,20800,-,
04/09/2024,34000000,34000000,40500,43300,37700,2800,111,1345,40500,39550,40600,39050,1550,39643,39600,-950.0,-2.35,163,1282,1500,17400,2800,111,54.0,55.0,-1,8800.0,70500.0,-61700,-,
30/08/2024,34000000,34000000,40550,43350,37750,12000,483,1377,42000,40500,42100,38550,3550,40250,40500,-50.0,-0.12,171,397,3400,19400,12000,483,90.0,79.0,11,15400.0,31400.0,-16000,-,
29/08/2024,34000000,34000000,43000,46000,40000,51200,2206,1467,43000,43150,43450,42150,1300,43086,40500,150.0,0.35,837,1388,3400,19100,51200,2206,118.0,75.0,43,98800.0,104100.0,-5300,-,
28/08/2024,34000000,34000000,43500,46500,40500,30800,1320,1462,42700,43000,43000,42700,300,42857,40400,-500.0,-1.15,621,1592,6900,7800,30800,1320,91.0,52.0,39,56500.0,82800.0,-26300,-,
27/08/2024,34000000,34000000,43900,46950,40850,16100,695,1479,44000,43500,44000,42600,1400,43168,40900,-400.0,-0.91,382,840,2200,17300,16100,695,84.0,86.0,-2,32100.0,72200.0,-40100,-,
26/08/2024,34000000,34000000,43700,46750,40650,34600,1514,1493,43700,43900,43900,43700,200,43757,41300,200.0,0.46,1565,1000,5900,5800,34600,1514,40.0,62.0,-22,62600.0,62000.0,600,-,
23/08/2024,34000000,34000000,43900,46950,40850,5100,223,1486,44450,43700,44450,42550,1900,43725,41100,-200.0,-0.46,679,617,600,8100,5100,223,86.0,58.0,28,58400.0,35800.0,22600,-,
