Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8100000,8100000,297000,341500,252500,-,,2406,297000,297000,297000,297000,-,297000,297000,,,250,133,1500.0,400.0,,,6.0,3,3,1500.0,400,1100,-,
26/09/2024,8100000,8100000,297000,341500,252500,-,,2406,297000,297000,297000,297000,-,297000,297000,,,300,150,1800.0,600.0,,,6.0,4,2,1800.0,600,1200,-,
25/09/2024,8100000,8100000,297800,342400,253200,800,238.0,2406,297000,297000,297000,297000,-,297000,297000,-800.0,-0.27,267,250,2400.0,200.0,800.0,238.0,12.0,4,8,3200.0,1000,2200,-,
24/09/2024,8100000,8100000,297800,342400,253200,-,,2412,297800,297800,297800,297800,-,297800,297800,,,310,360,3100.0,3600.0,,,10.0,10,-,3100.0,3600,-500,-,
23/09/2024,8100000,8100000,294900,339100,250700,600,179.0,2406,299000,297000,301000,295000,6000,297833,297000,2100.0,0.71,238,213,3200.0,2600.0,600.0,179.0,16.0,15,1,3800.0,3200,600,-,
20/09/2024,8100000,8100000,299000,343800,254200,800,236.0,2414,290000,298000,298000,290000,8000,294875,298000,-1000.0,-0.33,163,344,1800.0,2300.0,800.0,236.0,16.0,9,7,2600.0,3100,-500,-,
19/09/2024,8100000,8100000,294000,338100,249900,1200,305.0,2422,299000,299000,299000,299000,-,299000,299000,5000.0,1.7,300,350,1400.0,1300.0,100.0,30.0,5.0,4,1,1500.0,1400,100,1100,275.0
18/09/2024,8100000,8100000,294000,338100,249900,600,150.0,2381,294000,294000,294000,294000,-,294000,294000,,,720,375,3600.0,1500.0,,,5.0,4,1,3600.0,1500,2100,600,150.0
17/09/2024,8100000,8100000,292300,336100,248500,1000,294.0,2390,293000,295000,295000,293000,2000,294000,295000,2700.0,0.92,583,520,6000.0,1600.0,1000.0,294.0,12.0,5,7,7000.0,2600,4400,-,
16/09/2024,8100000,8100000,292300,336100,248500,-,,2368,292300,292300,292300,292300,-,292300,292300,,,730,420,7300.0,2100.0,,,10.0,5,5,7300.0,2100,5200,-,
13/09/2024,8100000,8100000,299500,344400,254600,400,117.0,2390,290000,295000,295000,290000,5000,292250,295000,-4500.0,-1.5,320,329,2800.0,1900.0,400.0,117.0,10.0,7,3,3200.0,2300,900,-,
12/09/2024,8100000,8100000,299500,344400,254600,500,127.0,2426,299500,299500,299500,299500,-,299500,299500,,,317,433,1900.0,1300.0,,,6.0,3,3,1900.0,1300,600,500,127.0
