Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8000000,7277780,13400,15400,11400,9200,122.0,96,13400,13200,13400,13200,200,13282,13200,-200.0,-1.49,549,776,12200.0,7100.0,9200.0,122.0,39.0,21,18,21400.0,16300,5100,-,
26/09/2024,8000000,7277780,13400,15400,11400,25000,335.0,97,13400,13300,13600,13300,300,13381,13300,-100.0,-0.75,754,994,9700.0,9800.0,25000.0,335.0,46.0,35,11,34700.0,34800,-100,-,
25/09/2024,8000000,7277780,13500,15500,11500,4500,60.0,98,13500,13400,13500,13300,200,13431,13400,-100.0,-0.74,395,1122,10100.0,25800.0,4500.0,60.0,37.0,27,10,14600.0,30300,-15700,-,
24/09/2024,8000000,7277780,13500,15500,11500,600,8.0,98,13500,13500,13500,13500,-,13500,13500,,,382,1320,7800.0,32400.0,600.0,8.0,22.0,25,-3,8400.0,33000,-24600,-,
23/09/2024,8000000,7277780,13800,15800,11800,4700,64.0,98,13800,13500,13800,13500,300,13513,13500,-300.0,-2.17,404,1285,6200.0,28700.0,4700.0,64.0,27.0,26,1,10900.0,33400,-22500,-,
20/09/2024,8000000,7277780,13600,15600,11600,1600,22.0,100,13800,13800,13900,13800,100,13813,13800,200.0,1.47,504,921,12000.0,25100.0,1600.0,22.0,27.0,29,-2,13600.0,26700,-13100,-,
19/09/2024,8000000,7277780,13100,15000,11200,502,7.0,100,13400,13800,13800,13400,400,13640,13800,700.0,5.34,524,1225,17298.0,19098.0,502.0,7.0,34.0,16,18,17800.0,19600,-1800,-,
18/09/2024,8000000,7277780,13100,15000,11200,11415,150.0,95,13200,13100,13200,13100,100,13129,13100,,,743,1640,14585.0,21385.0,11415.0,150.0,35.0,20,15,26000.0,32800,-6800,-,
17/09/2024,8000000,7277780,13200,15100,11300,10500,137.0,95,13200,13000,13200,13000,200,13073,13000,-200.0,-1.52,588,2331,4200.0,19800.0,10500.0,137.0,25.0,13,12,14700.0,30300,-15600,-,
16/09/2024,8000000,7277780,13200,15100,11300,4000,53.0,96,13200,13200,13200,13100,100,13180,13200,,,806,745,10500.0,4200.0,4000.0,53.0,18.0,11,7,14500.0,8200,6300,-,
13/09/2024,8000000,7277780,13200,15100,11300,7605,100.0,96,13500,13200,13500,13200,300,13208,13200,,,848,988,18695.0,9195.0,7605.0,100.0,31.0,17,14,26300.0,16800,9500,-,
12/09/2024,8000000,7277780,13000,14900,11100,4415,58.0,98,13000,13500,13500,13000,500,13166,13500,500.0,3.85,496,1531,18385.0,15485.0,4415.0,58.0,46.0,13,33,22800.0,19900,2900,-,
11/09/2024,8000000,7277780,13300,15200,11400,17401,226.0,95,13000,13000,13100,13000,100,13001,13000,-300.0,-2.26,863,1382,24899.0,6099.0,17401.0,226.0,49.0,17,32,42300.0,23500,18800,-,
10/09/2024,8000000,7277780,13500,15500,11500,11695,155.0,98,13500,13500,13500,13000,500,13253,13500,,,523,1156,12905.0,17205.0,11695.0,155.0,47.0,25,22,24600.0,28900,-4300,-,
09/09/2024,8000000,7277780,13500,15500,11500,2912,39.0,98,13500,13500,13500,13500,-,13500,13500,,,581,744,15088.0,8988.0,2912.0,39.0,31.0,16,15,18000.0,11900,6100,-,
06/09/2024,8000000,7277780,13800,15800,11800,6022,82.0,98,13400,13500,13700,13400,300,13543,13500,-300.0,-2.17,418,1881,10278.0,24078.0,6022.0,82.0,39.0,16,23,16300.0,30100,-13800,-,
05/09/2024,8000000,7277780,13800,15800,11800,7102,98.0,100,13800,13700,13800,13700,100,13792,13700,-100.0,-0.72,517,964,7898.0,19898.0,7102.0,98.0,29.0,28,1,15000.0,27000,-12000,-,
04/09/2024,8000000,7277780,14100,16200,12000,11707,162.0,100,14000,13800,14000,13700,300,13841,13800,-300.0,-2.13,897,913,22393.0,9293.0,11707.0,162.0,38.0,23,15,34100.0,21000,13100,-,
30/08/2024,8000000,7277780,14000,16100,11900,14804,209.0,102,14600,14000,14600,13900,700,14112,14000,,,416,604,9296.0,16596.0,14804.0,209.0,58.0,52,6,24100.0,31400,-7300,-,
29/08/2024,8000000,7277780,15000,17200,12800,8800,132.0,109,13800,15000,15000,13800,1200,14959,14000,,,373,922,9500.0,16100.0,8800.0,132.0,49.0,27,22,18300.0,24900,-6600,-,
28/08/2024,8000000,7277780,15200,17400,13000,23717,355.0,111,15200,15200,15200,14800,400,14959,14200,,,685,1559,20783.0,26183.0,23717.0,355.0,65.0,32,33,44500.0,49900,-5400,-,
27/08/2024,8000000,7277780,15200,17400,13000,233000,3043.0,111,15200,15200,15200,15100,100,15163,14200,,,426,615,6700.0,17500.0,6500.0,99.0,31.0,39,-8,13200.0,24000,-10800,226500,2945.0
26/08/2024,8000000,7277780,15200,17400,13000,11314,172.0,110,15300,15100,15300,15100,200,15194,14100,-100.0,-0.66,357,744,6886.0,19186.0,11314.0,172.0,51.0,41,10,18200.0,30500,-12300,-,
23/08/2024,8000000,7277780,15500,17800,13200,9549,145.0,111,15500,15200,15500,15100,400,15209,14200,-300.0,-1.94,410,755,7651.0,25951.0,9549.0,145.0,42.0,47,-5,17200.0,35500,-18300,-,
22/08/2024,8000000,7277780,15300,17500,13100,20928,325.0,111,15300,15300,15700,15300,400,15518,14300,,,652,672,15572.0,22772.0,20928.0,325.0,56.0,65,-9,36500.0,43700,-7200,-,
21/08/2024,8000000,7277780,14900,17100,12700,42332,646.0,114,15000,15600,15600,14900,700,15262,14600,700.0,4.7,1035,882,24968.0,11468.0,42332.0,646.0,65.0,61,4,67300.0,53800,13500,-,
20/08/2024,8000000,7277780,14900,17100,12700,12501,186.0,112,14900,15400,15400,14700,700,14863,14400,500.0,3.36,506,861,18899.0,15899.0,12501.0,186.0,62.0,33,29,31400.0,28400,3000,-,
19/08/2024,8000000,7277780,14600,16700,12500,7462,111.0,107,14800,14700,15000,14700,300,14878,13800,100.0,0.68,335,779,9638.0,25238.0,7462.0,111.0,51.0,42,9,17100.0,32700,-15600,-,
16/08/2024,8000000,7277780,14100,16200,12000,8912,130.0,107,14600,14700,14800,14200,600,14605,13800,600.0,4.26,513,674,23388.0,27488.0,8912.0,130.0,63.0,54,9,32300.0,36400,-4100,-,
15/08/2024,8000000,7277780,14600,16700,12500,7513,106.0,102,14400,14000,14400,14000,400,14124,13100,-600.0,-4.11,356,494,11687.0,9287.0,7513.0,106.0,54.0,34,20,19200.0,16800,2400,-,
14/08/2024,8000000,7277780,15100,17300,12900,22063,322.0,103,15400,14200,15400,14200,1200,14595,13300,-900.0,-5.96,452,585,6837.0,25337.0,22063.0,322.0,64.0,81,-17,28900.0,47400,-18500,-,
13/08/2024,8000000,7277780,14500,16600,12400,12321,187.0,111,15400,15200,15500,15000,500,15145,14200,700.0,4.83,567,773,20579.0,27079.0,12321.0,187.0,58.0,51,7,32900.0,39400,-6500,-,
12/08/2024,8000000,7277780,13900,15900,11900,42677,619.0,108,14400,14900,15200,14100,1100,14497,13900,1000.0,7.19,512,1178,23923.0,17423.0,42677.0,619.0,130.0,51,79,66600.0,60100,6500,-,
09/08/2024,8000000,7277780,13600,15600,11600,17400,241.0,102,14000,14000,14000,13600,400,13869,13100,400.0,2.94,974,727,28400.0,15300.0,17400.0,241.0,47.0,45,2,45800.0,32700,13100,-,
08/08/2024,8000000,7277780,13500,15500,11500,5201,71.0,96,13500,13200,13900,13200,700,13575,12400,-300.0,-2.22,439,885,14099.0,18699.0,5201.0,71.0,44.0,27,17,19300.0,23900,-4600,-,
07/08/2024,8000000,7277780,13100,15000,11200,18000,242.0,98,13800,13500,14000,13300,700,13467,12600,400.0,3.05,686,650,31400.0,8000.0,18000.0,242.0,72.0,40,32,49400.0,26000,23400,-,
06/08/2024,8000000,7277780,13500,15500,11500,28101,367.0,98,13400,13400,13400,12500,900,13071,12500,-100.0,-0.74,652,937,27999.0,17799.0,28101.0,367.0,86.0,49,37,56100.0,45900,10200,-,
05/08/2024,8000000,7277780,14000,16100,11900,21008,284.0,95,14000,13000,14300,13000,1300,13504,12200,-1000.0,-7.14,1108,689,36592.0,24492.0,21008.0,284.0,52.0,66,-14,57600.0,45500,12100,-,
02/08/2024,8000000,7277780,14300,16400,12200,17800,250.0,103,14800,14100,14800,13900,900,14048,13200,-200.0,-1.4,1110,967,39900.0,25700.0,17800.0,250.0,52.0,45,7,57700.0,43500,14200,-,
01/08/2024,8000000,7277780,14700,16900,12500,38439,549.0,104,15200,14300,15200,13900,1300,14275,13400,-400.0,-2.72,791,827,35161.0,23561.0,38439.0,549.0,93.0,75,18,73600.0,62000,11600,-,
31/07/2024,8000000,7277780,14900,17100,12700,27500,405.0,106,15300,14600,15300,14600,700,14732,13700,-300.0,-2.01,1463,811,47100.0,9800.0,27500.0,405.0,51.0,46,5,74600.0,37300,37300,-,
30/07/2024,8000000,7277780,15100,17300,12900,14304,214.0,109,15100,15000,15400,14800,600,14936,14000,-100.0,-0.66,984,1149,40796.0,39696.0,14304.0,214.0,56.0,47,9,55100.0,54000,1100,-,
29/07/2024,8000000,7277780,15200,17400,13000,37502,565.0,107,16400,14700,16400,14700,1700,15068,13800,-500.0,-3.29,505,934,18498.0,19498.0,37502.0,565.0,111.0,61,50,56000.0,57000,-1000,-,
26/07/2024,8000000,7277780,15600,17900,13300,33700,514.0,113,15600,15500,15600,14100,1500,15245,14500,-100.0,-0.64,984,752,33200.0,12200.0,33700.0,514.0,68.0,61,7,66900.0,45900,21000,-,
25/07/2024,8000000,7277780,16000,18400,13600,11900,185.0,114,16000,15600,16000,15200,800,15552,14600,-400.0,-2.5,521,547,17800.0,14900.0,11900.0,185.0,57.0,49,8,29700.0,26800,2900,-,
24/07/2024,8000000,7277780,16400,18800,14000,47404,758.0,116,15900,16000,16300,15400,900,15999,15000,-400.0,-2.44,1029,1269,9196.0,27496.0,47404.0,758.0,55.0,59,-4,56600.0,74900,-18300,-,
23/07/2024,8000000,7277780,15900,18200,13600,9104,149.0,116,16700,15900,16800,15900,900,16359,14900,,,349,720,7296.0,20396.0,9104.0,149.0,47.0,41,6,16400.0,29500,-13100,-,
22/07/2024,8000000,7277780,17400,20000,14800,45702,727.0,117,17500,16100,17500,15500,2000,15900,15100,-1300.0,-7.47,697,1486,8698.0,30098.0,45702.0,727.0,78.0,51,27,54400.0,75800,-21400,-,
19/07/2024,8000000,7277780,17300,19800,14800,12007,209.0,127,18400,17500,18400,16100,2300,17368,16400,200.0,1.16,443,743,7493.0,25893.0,12007.0,209.0,44.0,51,-7,19500.0,37900,-18400,-,
18/07/2024,8000000,7277780,18900,21700,16100,83105,1437.0,127,18300,17500,18300,16900,1400,17286,16400,-1400.0,-7.41,893,1206,24095.0,33895.0,83105.0,1437.0,120.0,97,23,107200.0,117000,-9800,-,
17/07/2024,8000000,7277780,19800,22700,16900,32630,615.0,135,19700,18500,19700,18500,1200,18852,17300,-1300.0,-6.57,530,775,11370.0,29370.0,32630.0,615.0,83.0,80,3,44000.0,62000,-18000,-,
16/07/2024,8000000,7277780,20000,23000,17000,13918,276.0,146,20000,20000,20100,19100,1000,19824,18700,,,404,769,16382.0,27582.0,13918.0,276.0,75.0,54,21,30300.0,41500,-11200,-,
15/07/2024,8000000,7277780,19900,22800,17000,8303,166.0,146,20400,20100,20400,19600,800,20018,18800,200.0,1.01,508,906,10997.0,34297.0,8303.0,166.0,38.0,47,-9,19300.0,42600,-23300,-,
12/07/2024,8000000,7277780,20100,23100,17100,27300,542.0,146,20100,20000,20100,19500,600,19867,18700,-100.0,-0.5,591,1225,7000.0,35200.0,27300.0,542.0,58.0,51,7,34300.0,62500,-28200,-,
11/07/2024,8000000,7277780,20300,23300,17300,39000,785.0,147,20100,20200,20300,19800,500,20125,18900,-100.0,-0.49,570,1340,20300.0,24000.0,39000.0,785.0,104.0,47,57,59300.0,63000,-3700,-,
10/07/2024,8000000,7277780,20100,23100,17100,34200,693.0,148,20400,20400,20700,20100,600,20258,19100,300.0,1.49,894,1141,36400.0,24000.0,34200.0,693.0,79.0,51,28,70600.0,58200,12400,-,
09/07/2024,8000000,7277780,20600,23600,17600,90700,1825.0,148,20500,20400,20600,19800,800,20125,19100,-200.0,-0.97,865,1382,23500.0,25400.0,90700.0,1825.0,132.0,84,48,114200.0,116100,-1900,-,
08/07/2024,8000000,7277780,21400,24600,18200,43701,901.0,151,20500,20800,21100,20500,600,20617,19500,-600.0,-2.8,623,1311,27899.0,29699.0,43701.0,901.0,115.0,56,59,71600.0,73400,-1800,-,
05/07/2024,8000000,7277780,21800,25000,18600,56005,1196.0,154,22400,21100,22400,21000,1400,21361,19700,-700.0,-3.21,506,917,30995.0,24695.0,56005.0,1196.0,172.0,88,84,87000.0,80700,6300,-,
04/07/2024,8000000,7277780,20800,23900,17700,28820,630.0,159,21400,21800,22400,21200,1200,21846,20400,1000.0,4.81,528,463,33980.0,17980.0,28820.0,630.0,119.0,101,18,62800.0,46800,16000,-,
03/07/2024,8000000,7277780,20500,23500,17500,23733,494.0,153,21500,21000,21500,20500,1000,20818,19700,500.0,2.44,869,672,53567.0,19967.0,23733.0,494.0,89.0,65,24,77300.0,43700,33600,-,
02/07/2024,8000000,7277780,21200,24300,18100,47806,982.0,152,21600,20900,21600,20000,1600,20533,19600,-300.0,-1.42,572,980,36294.0,39394.0,47806.0,982.0,147.0,89,58,84100.0,87200,-3100,-,
01/07/2024,8000000,7277780,21400,24600,18200,15210,323.0,157,24200,21600,24200,20600,3600,21241,20200,200.0,0.93,427,803,18090.0,41790.0,15210.0,323.0,78.0,71,7,33300.0,57000,-23700,-,
28/06/2024,8000000,7277780,23300,26700,19900,76903,1642.0,159,21700,21800,23800,20100,3700,21351,20400,-1500.0,-6.44,522,740,26997.0,18497.0,76903.0,1642.0,199.0,129,70,103900.0,95400,8500,-,
27/06/2024,8000000,7277780,25200,28900,21500,51800,1209.0,172,25100,23700,25100,22900,2200,23337,22200,-1500.0,-5.95,510,1093,10900.0,52000.0,51800.0,1209.0,123.0,95,28,62700.0,103800,-41100,-,
26/06/2024,8000000,7277780,25100,28800,21400,71321,1797.0,185,25700,25400,25700,24300,1400,25191,23800,300.0,1.2,669,1643,16979.0,94579.0,71321.0,1797.0,132.0,101,31,88300.0,165900,-77600,-,
25/06/2024,8000000,7277780,29100,33400,24800,182694,4590.0,186,26200,25500,26200,24800,1400,25125,23900,-3600.0,-12.37,1131,2027,3906.0,72706.0,182694.0,4590.0,165.0,126,39,186600.0,255400,-68800,-,
24/06/2024,8000000,7277780,28800,33100,24500,447625,13010.0,201,33100,27600,33100,26100,7000,29065,25800,-1200.0,-4.17,1029,1464,47175.0,90975.0,447625.0,13010.0,481.0,368,113,494800.0,538600,-43800,-,
21/06/2024,8000000,7277780,25100,28800,21400,139362,4013.0,210,28800,28800,28800,28700,100,28798,27000,3700.0,14.74,1605,2902,255538.0,,139362.0,4013.0,246.0,48,198,394900.0,139300,255600,-,
20/06/2024,8000000,7277780,21900,25100,18700,409696,10283.0,183,24900,25100,25100,24900,200,25098,23500,3200.0,14.61,1381,5057,261304.0,,409696.0,10283.0,486.0,81,405,671000.0,409600,261400,-,
19/06/2024,8000000,7277780,19300,22100,16500,166448,3649.0,161,19600,22100,22100,19600,2500,21922,20700,2800.0,14.51,1187,1553,86352.0,,166448.0,3649.0,213.0,107,106,252800.0,166200,86600,-,
18/06/2024,8000000,7277780,19000,21800,16200,30413,587.0,143,19000,19600,19900,19000,900,19313,18300,600.0,3.16,1069,556,42287.0,14087.0,30413.0,587.0,68.0,80,-12,72700.0,44500,28200,-,
17/06/2024,8000000,7277780,19100,21900,16300,5346,102.0,138,20000,19000,20000,18800,1200,19043,17800,-100.0,-0.52,674,387,17554.0,15154.0,5346.0,102.0,34.0,53,-19,22900.0,20500,2400,-,
14/06/2024,8000000,7277780,19900,22800,17000,33300,636.0,137,19200,18800,19900,18800,1100,19089,17600,-1100.0,-5.53,614,894,22600.0,11400.0,33300.0,636.0,91.0,50,41,55900.0,44700,11200,-,
13/06/2024,8000000,7277780,19500,22400,16600,15190,301.0,145,19500,19900,20200,19500,700,19856,18600,400.0,2.05,594,635,22210.0,17810.0,15190.0,301.0,63.0,52,11,37400.0,33000,4400,-,
12/06/2024,8000000,7277780,19300,22100,16500,5030,98.0,140,21000,19300,21000,19300,1700,19464,18100,,,527,286,20770.0,11870.0,5030.0,98.0,49.0,59,-10,25800.0,16900,8900,-,
11/06/2024,8000000,7277780,21100,24200,18000,32805,632.0,148,21000,20400,21900,18300,3600,19261,19100,-700.0,-3.32,393,802,16695.0,14495.0,32805.0,632.0,126.0,59,67,49500.0,47300,2200,-,
10/06/2024,8000000,7277780,21700,24900,18500,24856,525.0,151,22000,20800,22000,20500,1500,21121,19500,-900.0,-4.15,646,746,19044.0,23644.0,24856.0,525.0,68.0,65,3,43900.0,48500,-4600,-,
07/06/2024,8000000,7277780,24200,27800,20600,31501,684.0,158,23400,21700,24000,20900,3100,21725,20300,-2500.0,-10.33,420,1001,9199.0,39599.0,31501.0,684.0,97.0,71,26,40700.0,71100,-30400,-,
06/06/2024,8000000,7277780,21600,24800,18400,34031,824.0,162,24800,22200,24800,21900,2900,24228,20800,600.0,2.78,526,1483,15969.0,26769.0,34031.0,824.0,95.0,41,54,50000.0,60800,-10800,-,
05/06/2024,8000000,7277780,18900,21700,16100,126751,2743.0,158,20200,21700,21700,20200,1500,21645,20300,2800.0,14.81,803,1949,21749.0,,126751.0,2743.0,185.0,65,120,148500.0,126700,21800,-,
04/06/2024,8000000,7277780,18000,20700,15300,17406,329.0,149,18200,20500,20700,18000,2700,18902,19200,2500.0,13.89,662,622,38194.0,8094.0,17406.0,329.0,84.0,41,43,55600.0,25500,30100,-,
03/06/2024,8000000,7277780,17600,20200,15000,1223,22.0,130,18700,17900,18700,17900,800,18008,16800,300.0,1.7,313,524,3477.0,7677.0,1223.0,22.0,15.0,17,-2,4700.0,8900,-4200,-,
31/05/2024,8000000,7277780,17600,20200,15000,5300,93.0,130,17600,17800,17800,17600,200,17608,16700,200.0,1.14,489,1182,3500.0,7700.0,5300.0,93.0,18.0,11,7,8800.0,13000,-4200,-,
