Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,14120628,14120628,29200,31200,27200,100,2.0,412,29200,29200,29200,29200,-,20000.0,29200,,,206,191,500.0,400.0,100.0,2.0,16.0,23.0,-7,3300.0,4400.0,-1100,-,
26/09/2024,14120628,14120628,29200,31200,27200,-,,412,29200,29200,29200,29200,-,,29200,,,126,164,1600.0,1000.0,,,19.0,11.0,8,2400.0,1800.0,600,-,
25/09/2024,14120628,14120628,28650,30650,26650,800,23.0,412,29200,29200,29200,29200,-,28750.0,29200,550.0,1.92,205,228,1400.0,600.0,800.0,23.0,22.0,18.0,4,4500.0,4100.0,400,-,
24/09/2024,14120628,14120628,30800,32950,28650,4800,137.0,405,29100,28650,29100,28650,450,28542.0,28700,-2150.0,-6.98,455,787,,1600.0,4800.0,137.0,11.0,15.0,-4,5000.0,11800.0,-6800,-,
23/09/2024,14120628,14120628,28800,30800,26800,1800,53.0,435,30750,30800,30800,28500,2300,29444.0,30800,2000.0,6.94,277,233,700.0,100.0,1800.0,53.0,39.0,12.0,27,10800.0,2800.0,8000,-,
20/09/2024,14120628,14120628,26950,28800,25100,2100,58.0,407,27500,28800,28800,27500,1300,27619.0,28800,1850.0,6.86,263,375,1500.0,,2100.0,58.0,40.0,8.0,32,10500.0,3000.0,7500,-,
19/09/2024,14120628,14120628,26950,28800,25100,-,,381,26950,26950,26950,26950,-,,27000,,,169,50,600.0,100.0,,,13.0,2.0,11,2200.0,100.0,2100,-,
18/09/2024,14120628,14120628,27000,28850,25150,200,5.0,381,26150,26950,26950,26150,800,25000.0,27000,-50.0,-0.19,244,60,400.0,100.0,200.0,5.0,25.0,5.0,20,6100.0,300.0,5800,-,
17/09/2024,14120628,14120628,26900,28750,25050,200,5.0,381,25150,27000,27000,25150,1850,25000.0,27000,100.0,0.37,416,57,3900.0,,200.0,5.0,37.0,7.0,30,15400.0,400.0,15000,-,
16/09/2024,14120628,14120628,26900,28750,25050,-,,380,26900,26900,26900,26900,-,,26900,,,133,-,300.0,,,,12.0,1.0,11,1600.0,,1600,-,
13/09/2024,14120628,14120628,26900,28750,25050,-,,380,26900,26900,26900,26900,-,,26900,,,225,-,300.0,,,,24.0,,24,5400.0,,5400,-,
12/09/2024,14120628,14120628,28900,30900,26900,100,2.0,380,26900,26900,26900,26900,-,20000.0,26900,-2000.0,-6.92,151,100,300.0,300.0,100.0,2.0,35.0,9.0,26,5300.0,900.0,4400,-,
11/09/2024,14120628,14120628,28900,30900,26900,500,14.0,408,28900,28900,28900,28900,-,28000.0,28900,,,238,245,400.0,400.0,500.0,14.0,13.0,11.0,2,3100.0,2700.0,400,-,
10/09/2024,14120628,14120628,28900,30900,26900,-,,408,28900,28900,28900,28900,-,,28900,,,327,100,2600.0,600.0,,,15.0,7.0,8,4900.0,700.0,4200,-,
09/09/2024,14120628,14120628,28900,30900,26900,-,,408,28900,28900,28900,28900,-,,28900,,,338,80,1500.0,400.0,,,8.0,5.0,3,2700.0,400.0,2300,-,
06/09/2024,14120628,14120628,28850,30850,26850,500,14.0,408,28900,28900,28900,28900,-,28000.0,28900,50.0,0.17,200,156,1100.0,800.0,500.0,14.0,16.0,9.0,7,3200.0,1400.0,1800,-,
05/09/2024,14120628,14120628,28850,30850,26850,-,,407,28850,28850,28850,28850,-,,28900,,,125,100,700.0,800.0,,,16.0,9.0,7,2000.0,900.0,1100,-,
04/09/2024,14120628,14120628,28850,30850,26850,-,,407,28850,28850,28850,28850,-,,28900,,,317,133,1100.0,700.0,,,18.0,6.0,12,5700.0,800.0,4900,-,
30/08/2024,14120628,14120628,28850,30850,26850,-,,407,28850,28850,28850,28850,-,,28900,,,133,117,800.0,700.0,,,6.0,6.0,-,800.0,700.0,100,-,
29/08/2024,14120628,14120628,28850,30850,26850,200,5.0,407,28850,28850,28850,28850,-,25000.0,28900,,,171,150,700.0,700.0,200.0,5.0,14.0,8.0,6,2400.0,1200.0,1200,-,
28/08/2024,14120628,14120628,28850,30850,26850,100,2.0,407,28850,28850,28850,28850,-,20000.0,28900,,,296,92,1100.0,800.0,100.0,2.0,24.0,12.0,12,7100.0,1100.0,6000,-,
27/08/2024,14120628,14120628,30800,32950,28650,1100,31.0,407,29000,28850,29000,28800,200,28182.0,28900,-1950.0,-6.33,132,159,1000.0,300.0,1100.0,31.0,28.0,29.0,-1,3700.0,4600.0,-900,-,
26/08/2024,14120628,14120628,30800,32950,28650,-,,435,30800,30800,30800,30800,-,,30800,,,265,153,400.0,2100.0,,,17.0,15.0,2,4500.0,2300.0,2200,-,
23/08/2024,14120628,14120628,31800,34000,29600,100,3.0,435,30800,30800,30800,30800,-,30000.0,30800,-1000.0,-3.14,125,129,900.0,300.0,100.0,3.0,8.0,17.0,-9,1000.0,2200.0,-1200,-,
22/08/2024,14120628,14120628,29800,31850,27750,500,15.0,449,31850,31800,31850,31800,50,30000.0,31800,2000.0,6.71,91,136,300.0,900.0,500.0,15.0,34.0,11.0,23,3100.0,1500.0,1600,-,
21/08/2024,14120628,14120628,32000,34200,29800,100,2.0,421,29800,29800,29800,29800,-,20000.0,29800,-2200.0,-6.88,18,193,,700.0,100.0,2.0,11.0,15.0,-4,200.0,2900.0,-2700,-,
20/08/2024,14120628,14120628,30400,32500,28300,1000,32.0,452,31000,32000,32450,31000,1450,32000.0,32000,1600.0,5.26,129,132,300.0,1500.0,1000.0,32.0,24.0,19.0,5,3100.0,2500.0,600,-,
19/08/2024,14120628,14120628,28500,30450,26550,1100,32.0,429,28500,30400,30400,28500,1900,29091.0,30400,1900.0,6.67,487,171,2000.0,1300.0,1100.0,32.0,30.0,14.0,16,14600.0,2400.0,12200,-,
16/08/2024,14120628,14120628,28500,30450,26550,-,,402,28500,28500,28500,28500,-,,28500,,,143,146,600.0,300.0,,,14.0,13.0,1,2000.0,1900.0,100,-,
15/08/2024,14120628,14120628,26650,28500,24800,200,5.0,402,28500,28500,28500,28500,-,25000.0,28500,1850.0,6.94,510,100,4900.0,,200.0,5.0,10.0,2.0,8,5100.0,200.0,4900,-,
14/08/2024,14120628,14120628,28500,30450,26550,400,11.0,376,28500,26650,28500,26650,1850,27500.0,26700,-1850.0,-6.49,158,143,1500.0,600.0,400.0,11.0,12.0,7.0,5,1900.0,1000.0,900,-,
13/08/2024,14120628,14120628,30600,32700,28500,700,19.0,402,28650,28500,28650,28500,150,27143.0,28500,-2100.0,-6.86,125,163,300.0,600.0,700.0,19.0,8.0,8.0,-,1000.0,1300.0,-300,-,
12/08/2024,14120628,14120628,30600,32700,28500,100,3.0,432,30600,30600,30600,30600,-,30000.0,30600,,,200,50,100.0,300.0,100.0,3.0,1.0,8.0,-7,200.0,400.0,-200,-,
09/08/2024,14120628,14120628,28900,30900,26900,200,6.0,432,29450,30600,30600,29450,1150,30000.0,30600,1700.0,5.88,100,113,300.0,1600.0,200.0,6.0,5.0,16.0,-11,500.0,1800.0,-1300,-,
08/08/2024,14120628,14120628,27850,29750,25950,500,14.0,408,28900,28900,28900,28900,-,28000.0,28900,1050.0,3.77,53,183,400.0,600.0,500.0,14.0,17.0,6.0,11,900.0,1100.0,-200,-,
07/08/2024,14120628,14120628,28900,30900,26900,1100,30.0,393,27800,27850,27850,27800,50,27273.0,27900,-1050.0,-3.63,152,178,2100.0,500.0,1100.0,30.0,21.0,9.0,12,3200.0,1600.0,1600,-,
06/08/2024,14120628,14120628,28900,30900,26900,-,,408,28900,28900,28900,28900,-,,28900,,,57,263,400.0,2100.0,,,7.0,8.0,-1,400.0,2100.0,-1700,-,
05/08/2024,14120628,14120628,27100,28950,25250,400,11.0,408,28900,28900,28950,28900,50,27500.0,28900,1800.0,6.64,25,211,300.0,1500.0,400.0,11.0,28.0,9.0,19,700.0,1900.0,-1200,-,
02/08/2024,14120628,14120628,28000,29950,26050,200,5.0,383,27100,27100,27100,27100,-,25000.0,27100,-900.0,-3.21,29,200,600.0,2000.0,200.0,5.0,28.0,11.0,17,800.0,2200.0,-1400,-,
01/08/2024,14120628,14120628,29450,31500,27400,500,14.0,395,29000,28000,29000,28000,1000,28000.0,28000,-1450.0,-4.92,540,125,2200.0,1000.0,500.0,14.0,5.0,12.0,-7,2700.0,1500.0,1200,-,
31/07/2024,14120628,14120628,29450,31500,27400,-,,416,29450,29450,29450,29450,-,,29500,,,75,70,300.0,700.0,,,4.0,10.0,-6,300.0,700.0,-400,-,
30/07/2024,14120628,14120628,29450,31500,27400,-,,416,29450,29450,29450,29450,-,,29500,,,38,169,300.0,2200.0,,,8.0,13.0,-5,300.0,2200.0,-1900,-,
29/07/2024,14120628,14120628,29450,31500,27400,-,,416,29450,29450,29450,29450,-,,29500,,,67,36,400.0,500.0,,,6.0,14.0,-8,400.0,500.0,-100,-,
26/07/2024,14120628,14120628,29450,31500,27400,-,,416,29450,29450,29450,29450,-,,29500,,,80,440,400.0,2200.0,,,5.0,5.0,-,400.0,2200.0,-1800,-,
25/07/2024,14120628,14120628,29450,31500,27400,-,,416,29450,29450,29450,29450,-,,29500,,,86,367,600.0,2200.0,,,7.0,6.0,1,600.0,2200.0,-1600,-,
24/07/2024,14120628,14120628,29450,31500,27400,100,2.0,416,29450,29450,29450,29450,-,20000.0,29500,,,36,475,300.0,1800.0,100.0,2.0,11.0,4.0,7,400.0,1900.0,-1500,-,
23/07/2024,14120628,14120628,29450,31500,27400,-,,416,29450,29450,29450,29450,-,,29500,,,75,525,600.0,2100.0,,,8.0,4.0,4,600.0,2100.0,-1500,-,
22/07/2024,14120628,14120628,30350,32450,28250,500,14.0,416,30350,29450,30350,29450,900,28000.0,29500,-900.0,-2.97,100,767,700.0,1800.0,500.0,14.0,12.0,3.0,9,1200.0,2300.0,-1100,-,
19/07/2024,14120628,14120628,32450,34700,30200,200,6.0,429,30350,30350,30350,30350,-,30000.0,30400,-2100.0,-6.47,50,150,400.0,400.0,200.0,6.0,12.0,4.0,8,600.0,600.0,-,-,
18/07/2024,14120628,14120628,32450,34700,30200,-,,458,32450,32450,32450,32450,-,,32500,,,100,300,200.0,2400.0,,,2.0,8.0,-6,200.0,2400.0,-2200,-,
17/07/2024,14120628,14120628,32450,34700,30200,-,,458,32450,32450,32450,32450,-,,32500,,,100,688,200.0,5500.0,,,2.0,8.0,-6,200.0,5500.0,-5300,-,
16/07/2024,14120628,14120628,32500,34750,30250,300,9.0,458,32450,32450,32450,32450,-,30000.0,32500,-50.0,-0.15,60,600,300.0,5100.0,300.0,9.0,10.0,9.0,1,600.0,5400.0,-4800,-,
