Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9270,-,185400,,,,20,,20,185400,,185400,-,
26/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12205,-,256300,,,,21,,21,256300,,256300,-,
25/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10622,-,244300,,,,23,,23,244300,,244300,-,
24/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,58895,-,1236800,,,,21,,21,1236800,,1236800,-,
23/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9752,-,224300,,,,23,,23,224300,,224300,-,
20/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8035,-,136600,,,,17,,17,136600,,136600,-,
19/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8791,-,193400,,,,22,,22,193400,,193400,-,
18/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,11300,-,248600,,,,22,,22,248600,,248600,-,
17/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,11958,-,227200,,,,19,,19,227200,,227200,-,
16/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8863,-,239300,,,,27,,27,239300,,239300,-,
13/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9205,-,184100,,,,20,,20,184100,,184100,-,
12/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7374,-,199100,,,,27,,27,199100,,199100,-,
11/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9665,-,193300,,,,20,,20,193300,,193300,-,
10/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12658,-,240500,,,,19,,19,240500,,240500,-,
09/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,13514,-,297300,,,,22,,22,297300,,297300,-,
06/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8700,-,174000,,,,20,,20,174000,,174000,-,
05/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10441,-,177500,,,,17,,17,177500,,177500,-,
04/09/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9211,-,175000,,,,19,,19,175000,,175000,-,
30/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8162,-,171400,,,,21,,21,171400,,171400,-,
29/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8105,-,178300,,,,22,,22,178300,,178300,-,
28/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7785,-,202400,,,,26,,26,202400,,202400,-,
27/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9026,-,207600,,,,23,,23,207600,,207600,-,
26/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12027,-,312700,,,,26,,26,312700,,312700,-,
23/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9624,-,279100,,,,29,,29,279100,,279100,-,
22/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9543,-,267200,,,,28,,28,267200,,267200,-,
21/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,11468,-,321100,,,,28,,28,321100,,321100,-,
20/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8258,-,214700,,,,26,,26,214700,,214700,-,
19/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7581,-,159200,,,,21,,21,159200,,159200,-,
16/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,3827,-,355900,,,,93,,93,355900,,355900,-,
15/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,14633,-,351200,,,,24,,24,351200,,351200,-,
14/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12045,-,240900,,,,20,,20,240900,,240900,-,
13/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10645,-,234200,,,,22,,22,234200,,234200,-,
12/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9452,-,236300,,,,25,,25,236300,,236300,-,
09/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8655,-,251000,,,,29,,29,251000,,251000,-,
08/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9124,-,228100,,,,25,,25,228100,,228100,-,
07/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,5619,-,174200,,,,31,,31,174200,,174200,-,
06/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10062,-,211300,,,,21,,21,211300,,211300,-,
05/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,14892,-,372300,,,,25,,25,372300,,372300,-,
02/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,22304,-,535300,,,,24,,24,535300,,535300,-,
01/08/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,17589,-,316600,,,,18,,18,316600,,316600,-,
31/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9804,-,235300,,,,24,,24,235300,,235300,-,
30/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12753,-,216800,,,,17,,17,216800,,216800,-,
29/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9744,-,243600,,,,25,,25,243600,,243600,-,
26/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8763,-,210300,,,,24,,24,210300,,210300,-,
25/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8250,-,198000,,,,24,,24,198000,,198000,-,
24/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,17512,-,437800,,,,25,,25,437800,,437800,-,
23/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,11516,-,287900,,,,25,,25,287900,,287900,-,
22/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,13548,-,284500,,,,21,,21,284500,,284500,-,
19/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12600,-,289800,,,,23,,23,289800,,289800,-,
18/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10341,-,299900,,,,29,,29,299900,,299900,-,
17/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9657,-,270400,,,,28,,28,270400,,270400,-,
16/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12996,-,350900,,,,27,,27,350900,,350900,-,
15/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12537,-,438800,,,,35,,35,438800,,438800,-,
12/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10068,-,342300,,,,34,,34,342300,,342300,-,
11/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10312,-,340300,,,,33,,33,340300,,340300,-,
10/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9290,-,288000,,,,31,,31,288000,,288000,-,
09/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,11513,-,356900,,,,31,,31,356900,,356900,-,
08/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,11814,-,342600,,,,29,,29,342600,,342600,-,
05/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10739,-,332900,,,,31,,31,332900,,332900,-,
04/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12827,-,333500,,,,26,,26,333500,,333500,-,
03/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7685,-,253600,,,,33,,33,253600,,253600,-,
02/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9093,-,254600,,,,28,,28,254600,,254600,-,
01/07/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8409,-,269100,,,,32,,32,269100,,269100,-,
28/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,6290,-,195000,,,,31,,31,195000,,195000,-,
27/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10636,-,351000,,,,33,,33,351000,,351000,-,
26/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,16842,-,555800,,,,33,,33,555800,,555800,-,
25/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,14875,-,416500,,,,28,,28,416500,,416500,-,
24/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12538,-,401200,,,,32,,32,401200,,401200,-,
21/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10858,-,336600,,,,31,,31,336600,,336600,-,
20/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10594,-,339000,,,,32,,32,339000,,339000,-,
19/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9266,-,296500,,,,32,,32,296500,,296500,-,
18/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10461,-,324300,,,,31,,31,324300,,324300,-,
17/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10647,-,319400,,,,30,,30,319400,,319400,-,
14/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,11259,-,326500,,,,29,,29,326500,,326500,-,
13/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,11649,-,431000,,,,37,,37,431000,,431000,-,
12/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,15582,-,529800,,,,34,,34,529800,,529800,-,
11/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10439,-,323600,,,,31,,31,323600,,323600,-,
10/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8739,-,314600,,,,36,,36,314600,,314600,-,
07/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8048,-,233400,,,,29,,29,233400,,233400,-,
06/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7297,-,226200,,,,31,,31,226200,,226200,-,
05/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7040,-,246400,,,,35,,35,246400,,246400,-,
04/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12358,-,407800,,,,33,,33,407800,,407800,-,
03/06/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8026,-,313000,,,,39,,39,313000,,313000,-,
31/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9754,-,341400,,,,35,,35,341400,,341400,-,
30/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7291,-,240600,,,,33,,33,240600,,240600,-,
29/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7264,-,261500,,,,36,,36,261500,,261500,-,
28/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7706,-,254300,,,,33,,33,254300,,254300,-,
27/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8830,-,379700,,,,43,,43,379700,,379700,-,
24/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8230,-,271600,,,,33,,33,271600,,271600,-,
23/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10203,-,326500,,,,32,,32,326500,,326500,-,
22/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8445,-,320900,,,,38,,38,320900,,320900,-,
21/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,6540,-,228900,,,,35,,35,228900,,228900,-,
20/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10882,-,424400,,,,39,,39,424400,,424400,-,
17/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9868,-,365100,,,,37,,37,365100,,365100,-,
16/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,6526,-,254500,,,,39,,39,254500,,254500,-,
15/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,6157,-,227800,,,,37,,37,227800,,227800,-,
14/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8777,-,263300,,,,30,,30,263300,,263300,-,
13/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10611,-,286500,,,,27,,27,286500,,286500,-,
10/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,13390,-,401700,,,,30,,30,401700,,401700,-,
09/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9074,-,281300,,,,31,,31,281300,,281300,-,
08/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8303,-,265700,,,,32,,32,265700,,265700,-,
07/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,13096,-,366700,,,,28,,28,366700,,366700,-,
06/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10565,-,359200,,,,34,,34,359200,,359200,-,
03/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,12833,-,385000,,,,30,,30,385000,,385000,-,
02/05/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10083,-,302500,,,,30,,30,302500,,302500,-,
26/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,13374,-,414600,,,,31,,31,414600,,414600,-,
25/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,16058,-,417500,,,,26,,26,417500,,417500,-,
24/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,14833,-,489500,,,,33,,33,489500,,489500,-,
23/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7051,-,246800,,,,35,,35,246800,,246800,-,
22/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,19640,-,589200,,,,30,,30,589200,,589200,-,
19/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7214,-,259700,,,,36,,36,259700,,259700,-,
17/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,5263,-,200000,,,,38,,38,200000,,200000,-,
16/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9384,-,412900,,,,44,,44,412900,,412900,-,
15/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9772,-,859900,,,,88,,88,859900,,859900,-,
12/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8231,-,403300,,,,49,,49,403300,,403300,-,
11/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,7818,-,351800,,,,45,,45,351800,,351800,-,
10/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10023,-,471100,,,,47,,47,471100,,471100,-,
09/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,9857,-,502700,,,,51,,51,502700,,502700,-,
08/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,5088,-,295100,,,,58,,58,295100,,295100,-,
05/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8240,-,510900,,,,62,,62,510900,,510900,-,
04/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,10801,-,777700,,,,72,,72,777700,,777700,-,
03/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,6364,-,490000,,,,77,,77,490000,,490000,-,
02/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,16316,-,407900,,,,25,,25,407900,,407900,-,
01/04/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,8964,-,197200,,,,22,,22,197200,,197200,-,
29/03/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,15533,-,326200,,,,21,,21,326200,,326200,-,
28/03/2024,4400000,4400000,300,400,200,-,,1,300,300,300,300,-,300,300,,,15109,-,332400,,,,22,,22,332400,,332400,-,
