Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,60000000,60000000,6770,7240,6300,94800,636,405,6770,6750,6770,6700,70,6709,6800,-20.0,-0.3,3641,4048,29000.0,14300.0,94800,636,61.0,111.0,-50,222100.0,449300.0,-227200,-,
26/09/2024,60000000,60000000,6690,7150,6230,439500,2974,406,6680,6770,6850,6680,170,6767,6800,80.0,1.2,5465,5449,17900.0,40500.0,439500,2974,116.0,154.0,-38,633900.0,839100.0,-205200,-,
25/09/2024,60000000,60000000,6630,7090,6170,256500,1705,401,6600,6690,6730,6600,130,6647,6700,60.0,0.9,4136,4013,12400.0,53100.0,256500,1705,100.0,126.0,-26,413600.0,505700.0,-92100,-,
24/09/2024,60000000,60000000,6580,7040,6120,199600,1324,398,6580,6630,6740,6580,160,6633,6600,50.0,0.76,3831,2583,7000.0,7000.0,199600,1324,78.0,140.0,-62,298800.0,361600.0,-62800,-,
23/09/2024,60000000,60000000,6560,7010,6110,36200,236,395,6560,6580,6590,6500,90,6519,6600,20.0,0.3,1822,2090,31000.0,2700.0,36200,236,78.0,61.0,17,142100.0,127500.0,14600,-,
20/09/2024,60000000,60000000,6580,7040,6120,29000,190,394,6580,6560,6610,6500,110,6552,6600,-20.0,-0.3,1255,1724,31300.0,10700.0,29000,190,87.0,90.0,-3,109200.0,155200.0,-46000,-,
19/09/2024,60000000,60000000,6560,7010,6110,27700,181,395,6570,6580,6620,6550,70,6534,6600,20.0,0.3,1311,1927,6100.0,1200.0,27700,181,64.0,79.0,-15,83900.0,152200.0,-68300,-,
18/09/2024,60000000,60000000,6600,7060,6140,20200,133,394,6600,6560,6660,6560,100,6584,6600,-40.0,-0.61,744,1466,6800.0,13900.0,20200,133,87.0,79.0,8,64700.0,115800.0,-51100,-,
17/09/2024,60000000,60000000,6590,7050,6130,185300,1224,396,6600,6600,6650,6600,50,6606,6600,10.0,0.15,3259,3796,4600.0,7300.0,185300,1224,79.0,84.0,-5,257500.0,318900.0,-61400,-,
16/09/2024,60000000,60000000,6650,7110,6190,303200,1999,395,6650,6590,6650,6500,150,6593,6600,-60.0,-0.9,4170,5352,14100.0,600.0,303200,1999,122.0,88.0,34,508800.0,471000.0,37800,-,
13/09/2024,60000000,60000000,6740,7210,6270,95500,639,399,6640,6650,6780,6600,180,6691,6700,-90.0,-1.34,1392,2934,7500.0,32400.0,95500,639,109.0,90.0,19,151700.0,264100.0,-112400,-,
12/09/2024,60000000,60000000,6740,7210,6270,63400,426,404,6610,6740,6780,6610,170,6719,6700,,,1685,2426,5200.0,2600.0,63400,426,86.0,116.0,-30,144900.0,281400.0,-136500,-,
