Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,16800000,16800000,28600,32800,24400,41700,1212,487,28500,29000,29600,28500,1100,29059,29000,400.0,1.4,637,712,27100,33100,41700,1212,108,105,3,68800,74800,-6000,-,
26/09/2024,16800000,16800000,27900,32000,23800,45655,1305,479,28800,28500,29200,28000,1200,28577,28500,600.0,2.15,615,640,32445,33645,45655,1305,127,124,3,78100,79300,-1200,-,
25/09/2024,16800000,16800000,26700,30700,22700,56800,1586,484,27300,28800,28800,27300,1500,27916,28800,2100.0,7.87,745,729,48300,18300,56800,1586,141,103,38,105100,75100,30000,-,
24/09/2024,16800000,16800000,26600,30500,22700,72100,1926,462,26600,27500,28000,25600,2400,26715,27500,900.0,3.38,746,610,39000,15200,72100,1926,149,143,6,111100,87300,23800,-,
23/09/2024,16800000,16800000,27200,31200,23200,61033,1623,440,27000,26200,27500,25600,1900,26587,26200,-1000.0,-3.68,737,624,21467,30667,61033,1623,112,147,-35,82500,91700,-9200,-,
20/09/2024,16800000,16800000,27400,31500,23300,46000,1249,454,27000,27000,27800,26500,1300,27161,27000,-400.0,-1.46,600,683,22400,31900,46000,1249,114,114,-,68400,77900,-9500,-,
19/09/2024,16800000,16800000,27500,31600,23400,47800,1312,457,28000,27200,28000,27000,1000,27444,27200,-300.0,-1.09,563,647,25900,31800,47800,1312,131,123,8,73700,79600,-5900,-,
18/09/2024,16800000,16800000,27500,31600,23400,53111,1462,462,28000,27500,28000,27200,800,27530,27500,,,648,675,27889,25889,53111,1462,125,117,8,81000,79000,2000,-,
17/09/2024,16800000,16800000,27500,31600,23400,50717,1395,470,27000,28000,28000,27000,1000,27507,28000,500.0,1.82,587,757,27983,21183,50717,1395,134,95,39,78700,71900,6800,-,
16/09/2024,16800000,16800000,28100,32300,23900,51856,1428,454,28600,27000,28600,27000,1600,27545,27000,-1100.0,-3.91,690,637,17144,27144,51856,1428,100,124,-24,69000,79000,-10000,-,
13/09/2024,16800000,16800000,28700,33000,24400,52600,1481,480,28000,28600,28800,27500,1300,28148,28600,-100.0,-0.35,583,801,27900,29100,52600,1481,138,102,36,80500,81700,-1200,-,
12/09/2024,16800000,16800000,29000,33300,24700,58850,1687,470,29000,28000,29600,27800,1800,28669,28000,-1000.0,-3.45,625,638,24950,25950,58850,1687,134,133,1,83800,84800,-1000,-,
11/09/2024,16800000,16800000,29700,34100,25300,54140,1570,479,29000,28500,30000,28500,1500,28994,28500,-1200.0,-4.04,591,752,23260,35360,54140,1570,131,119,12,77400,89500,-12100,-,
10/09/2024,16800000,16800000,30300,34800,25800,58815,1745,487,30300,29000,31000,29000,2000,29668,29000,-1300.0,-4.29,716,718,17785,33085,58815,1745,107,128,-21,76600,91900,-15300,-,
09/09/2024,16800000,16800000,30700,35300,26100,72401,2193,504,30000,30000,31000,29800,1200,30295,30000,-700.0,-2.28,669,743,17899,30199,72401,2193,135,138,-3,90300,102600,-12300,-,
