Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1990530,9046425,4000,4600,3400,400,1.0,31,3400,3400,3400,3400,-,3400,3400,-600.0,-15.0,167,2360,100.0,11400.0,400.0,1.0,3.0,5.0,-2,500.0,11800.0,-11300,-,
26/09/2024,1990530,9046425,4000,4600,3400,-,,36,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
25/09/2024,1990530,9046425,4000,4600,3400,-,,36,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
24/09/2024,1990530,9046425,4000,4600,3400,-,,36,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,1990530,9046425,4000,4600,3400,-,,36,4000,4000,4000,4000,-,4000,4000,,,-,-,,,,,,,-,,,-,-,
20/09/2024,1990530,9046425,4600,5200,4000,100,0.0,36,4000,4000,4000,4000,-,4000,4000,-600.0,-13.04,100,267,,700.0,100.0,0.0,1.0,3.0,-2,100.0,800.0,-700,-,
19/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
18/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
17/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
16/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
13/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,267,,800.0,,,,3.0,-3,,800.0,-800,-,
12/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
11/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
10/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
09/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
06/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,500,,500.0,,,,1.0,-1,,500.0,-500,-,
05/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
04/09/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
30/08/2024,1990530,9046425,4600,5200,4000,8,0.0,42,4600,4600,4600,4600,-,4600,4600,,,-,11167,,33492.0,8.0,0.0,,3.0,-3,,33500.0,-33500,-,
29/08/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
28/08/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
27/08/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
26/08/2024,1990530,9046425,4600,5200,4000,-,,42,4600,4600,4600,4600,-,4600,4600,,,-,-,,,,,,,-,,,-,-,
23/08/2024,1990530,9046425,4100,4700,3500,105,0.0,42,4600,4600,4600,4600,-,4600,4600,500.0,12.2,100,4200,,20895.0,105.0,0.0,1.0,5.0,-4,100.0,21000.0,-20900,-,
