Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5000000,4659200,19900,21800,18000,300,6.0,93,18300,19900,19900,18300,1600,18833,19900,,,277,1836,3300,19900,300.0,6.0,13,11,2,3600,20200,-16600,-,
26/09/2024,5000000,4659200,20100,22100,18100,200,4.0,93,18400,19900,19900,18400,1500,19150,19900,-200.0,-1.0,300,1475,2800,17500,200.0,4.0,10,12,-2,3000,17700,-14700,-,
25/09/2024,5000000,4659200,20100,22100,18100,-,,94,20100,20100,20100,20100,-,20100,20100,,,383,1300,2300,6500,,,6,5,1,2300,6500,-4200,-,
24/09/2024,5000000,4659200,20300,22300,18300,400,8.0,94,19100,20100,20100,19100,1000,19100,20100,-200.0,-0.99,263,360,1700,5000,400.0,8.0,8,15,-7,2100,5400,-3300,-,
23/09/2024,5000000,4659200,20300,22300,18300,-,,95,20300,20300,20300,20300,-,20300,20300,,,533,588,1600,4700,,,3,8,-5,1600,4700,-3100,-,
20/09/2024,5000000,4659200,20400,22400,18400,400,8.0,95,20800,20300,20800,20000,800,20267,20300,-100.0,-0.49,220,615,1800,7600,400.0,8.0,10,13,-3,2200,8000,-5800,-,
19/09/2024,5000000,4659200,20600,22600,18600,400,8.0,95,20500,20400,20500,20400,100,20500,20400,-200.0,-0.97,288,1155,1900,12300,400.0,8.0,8,11,-3,2300,12700,-10400,-,
18/09/2024,5000000,4659200,20600,22600,18600,300,6.0,96,20600,20600,20600,18800,1800,19700,20600,,,257,1233,1500,7100,300.0,6.0,7,6,1,1800,7400,-5600,-,
17/09/2024,5000000,4659200,20600,22600,18600,-,,96,20600,20600,20600,20600,-,20600,20600,,,550,3100,1100,15500,,,2,5,-3,1100,15500,-14400,-,
