Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1941588,1941584,25600,29400,21800,10,0.0,50,25600,25600,25600,25600,-,25600,25600,,,1033,267,6190.0,790.0,10.0,0.0,6.0,3,3,6200.0,800,5400,-,
26/09/2024,1941588,1941584,28600,32800,24400,300,8.0,50,25600,25600,25600,25600,-,25600,25600,-3000.0,-10.49,950,222,3500.0,1700.0,300.0,8.0,4.0,9,-5,3800.0,2000,1800,-,
25/09/2024,1941588,1941584,28600,32800,24400,-,,56,28600,28600,28600,28600,-,28600,28600,,,1167,180,3500.0,900.0,,,3.0,5,-2,3500.0,900,2600,-,
24/09/2024,1941588,1941584,25000,28700,21300,105,3.0,56,28600,28600,28600,28600,-,28600,28600,3600.0,14.4,856,300,7595.0,495.0,105.0,3.0,9.0,2,7,7700.0,600,7100,-,
23/09/2024,1941588,1941584,28900,40400,17400,200,5.0,49,25000,25000,25000,25000,-,25000,25000,-3900.0,-13.49,778,780,6800.0,3700.0,200.0,5.0,9.0,5,4,7000.0,3900,3100,-,
20/09/2024,1941588,1941584,28900,33200,24600,11,0.0,56,28900,28900,28900,28900,-,28900,28900,,,1600,825,3189.0,3289.0,11.0,0.0,2.0,4,-2,3200.0,3300,-100,-,
19/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1067,1117,3200.0,6700.0,,,3.0,6,-3,3200.0,6700,-3500,-,
18/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1600,820,3200.0,4100.0,,,2.0,5,-3,3200.0,4100,-900,-,
17/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1600,833,3200.0,2500.0,,,2.0,3,-1,3200.0,2500,700,-,
16/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1600,833,3200.0,2500.0,,,2.0,3,-1,3200.0,2500,700,-,
13/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1600,867,3200.0,2600.0,,,2.0,3,-1,3200.0,2600,600,-,
12/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,800,471,3200.0,3300.0,,,4.0,7,-3,3200.0,3300,-100,-,
11/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1650,600,3300.0,6000.0,,,2.0,10,-8,3300.0,6000,-2700,-,
10/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,825,586,3300.0,4100.0,,,4.0,7,-3,3300.0,4100,-800,-,
09/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1600,513,3200.0,4100.0,,,2.0,8,-6,3200.0,4100,-900,-,
06/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1233,143,3700.0,1000.0,,,3.0,7,-4,3700.0,1000,2700,-,
05/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1600,513,3200.0,4100.0,,,2.0,8,-6,3200.0,4100,-900,-,
04/09/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1133,571,3400.0,4000.0,,,3.0,7,-4,3400.0,4000,-600,-,
30/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1600,340,3200.0,3400.0,,,2.0,10,-8,3200.0,3400,-200,-,
29/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1133,346,3400.0,4500.0,,,3.0,13,-10,3400.0,4500,-1100,-,
28/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1800,650,5400.0,3900.0,,,3.0,6,-3,5400.0,3900,1500,-,
27/08/2024,1941588,1941584,28900,33200,24600,4,0.0,56,28900,28900,28900,28900,-,28900,28900,,,1133,433,3396.0,2596.0,4.0,0.0,3.0,6,-3,3400.0,2600,800,-,
26/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1600,367,3200.0,3300.0,,,2.0,9,-7,3200.0,3300,-100,-,
23/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1367,770,4100.0,7700.0,,,3.0,10,-7,4100.0,7700,-3600,-,
22/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,300,386,300.0,2700.0,,,1.0,7,-6,300.0,2700,-2400,-,
21/08/2024,1941588,1941584,28900,33200,24600,1,0.0,56,28900,28900,28900,28900,-,28900,28900,,,250,445,499.0,4899.0,1.0,0.0,2.0,11,-9,500.0,4900,-4400,-,
20/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,1433,1109,4300.0,12200.0,,,3.0,11,-8,4300.0,12200,-7900,-,
19/08/2024,1941588,1941584,28900,33200,24600,1,0.0,56,28900,28900,28900,28900,-,28900,28900,,,1700,730,5099.0,7299.0,1.0,0.0,3.0,10,-7,5100.0,7300,-2200,-,
16/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,860,656,4300.0,5900.0,,,5.0,9,-4,4300.0,5900,-1600,-,
15/08/2024,1941588,1941584,28900,33200,24600,-,,56,28900,28900,28900,28900,-,28900,28900,,,840,1278,4200.0,11500.0,,,5.0,9,-4,4200.0,11500,-7300,-,
14/08/2024,1941588,1941584,28900,33200,24600,1,0.0,56,28900,28900,28900,28900,-,28900,28900,,,2000,914,3999.0,6399.0,1.0,0.0,2.0,7,-5,4000.0,6400,-2400,-,
13/08/2024,1941588,1941584,26100,30000,22200,100,3.0,56,28900,28900,28900,28900,-,28900,28900,2800.0,10.73,918,1425,10000.0,5600.0,100.0,3.0,11.0,4,7,10100.0,5700,4400,-,
12/08/2024,1941588,1941584,29500,33900,25100,2800,73.0,57,25900,29400,29400,25900,3500,26096,29400,-100.0,-0.34,569,476,4600.0,5300.0,2800.0,73.0,13.0,17,-4,7400.0,8100,-700,-,
09/08/2024,1941588,1941584,29500,33900,25100,-,,57,29500,29500,29500,29500,-,29500,29500,,,1267,167,3800.0,1000.0,,,3.0,6,-3,3800.0,1000,2800,-,
08/08/2024,1941588,1941584,29500,33900,25100,-,,57,29500,29500,29500,29500,-,29500,29500,,,760,1450,3800.0,11600.0,,,5.0,8,-3,3800.0,11600,-7800,-,
07/08/2024,1941588,1941584,29500,33900,25100,-,,57,29500,29500,29500,29500,-,29500,29500,,,150,900,300.0,4500.0,,,2.0,5,-3,300.0,4500,-4200,-,
06/08/2024,1941588,1941584,29500,33900,25100,-,,57,29500,29500,29500,29500,-,29500,29500,,,833,667,5000.0,4000.0,,,6.0,6,-,5000.0,4000,1000,-,
05/08/2024,1941588,1941584,29500,33900,25100,1,0.0,57,29500,29500,29500,29500,-,29500,29500,,,860,522,4299.0,4699.0,1.0,0.0,5.0,9,-4,4300.0,4700,-400,-,
02/08/2024,1941588,1941584,29500,33900,25100,-,,57,29500,29500,29500,29500,-,29500,29500,,,733,767,4400.0,4600.0,,,6.0,6,-,4400.0,4600,-200,-,
01/08/2024,1941588,1941584,29500,33900,25100,-,,57,29500,29500,29500,29500,-,29500,29500,,,313,1125,2500.0,4500.0,,,8.0,4,4,2500.0,4500,-2000,-,
31/07/2024,1941588,1941584,26000,29900,22100,100,3.0,57,29500,29500,29500,29500,-,29500,29500,3500.0,13.46,800,488,11100.0,3800.0,100.0,3.0,14.0,8,6,11200.0,3900,7300,-,
30/07/2024,1941588,1941584,26400,30300,22500,200,5.0,50,26000,26000,26000,26000,-,26000,26000,-400.0,-1.52,1410,700,13900.0,4000.0,200.0,5.0,10.0,6,4,14100.0,4200,9900,-,
29/07/2024,1941588,1941584,26900,30900,22900,4200,111.0,52,24200,26900,27900,24200,3700,26405,26900,,,1044,415,14600.0,4100.0,4200.0,111.0,18.0,20,-2,18800.0,8300,10500,-,
