Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,7556341,7556341,7900,8600,7200,800,6.0,54,7300,7200,7700,7200,500,7357,7200,-700.0,-8.86,360,307,2800.0,3500.0,800.0,6.0,10.0,14,-4,3600.0,4300,-700,-,
26/09/2024,7556341,7556341,7700,8400,7000,4555,34.0,60,7500,7900,7900,7500,400,7505,7900,200.0,2.6,850,806,2245.0,9145.0,4555.0,34.0,8.0,17,-9,6800.0,13700,-6900,-,
25/09/2024,7556341,7556341,8500,9300,7700,1458,11.0,58,7700,7700,7900,7700,200,7869,7700,-800.0,-9.41,280,521,,8442.0,1458.0,11.0,5.0,19,-14,1400.0,9900,-8500,-,
24/09/2024,7556341,7556341,8500,9300,7700,-,,64,8500,8500,8500,8500,-,8500,8500,,,-,900,,9000.0,,,,10,-10,,9000,-9000,-,
23/09/2024,7556341,7556341,8500,9300,7700,-,,64,8500,8500,8500,8500,-,8500,8500,,,-,488,,3900.0,,,,8,-8,,3900,-3900,-,
20/09/2024,7556341,7556341,8500,9300,7700,-,,64,8500,8500,8500,8500,-,8500,8500,,,-,643,,4500.0,,,,7,-7,,4500,-4500,-,
19/09/2024,7556341,7556341,8500,9300,7700,-,,64,8500,8500,8500,8500,-,8500,8500,,,100,575,100.0,4600.0,,,1.0,8,-7,100.0,4600,-4500,-,
18/09/2024,7556341,7556341,8500,9300,7700,21,0.0,64,8500,8500,8500,8500,-,8500,8500,,,-,889,,7979.0,21.0,0.0,,9,-9,,8000,-8000,-,
17/09/2024,7556341,7556341,8500,9300,7700,1,0.0,64,8500,8500,8500,8500,-,8500,8500,,,-,478,,4299.0,1.0,0.0,,9,-9,,4300,-4300,-,
