Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,79000000,79000000,6700,7700,5700,186010,1240,529,6800,6700,6800,6600,200,6668,6700,,,2147,3426,327090,677390.0,186010,1240,239,252,-13,513100,863400,-350300,-,
26/09/2024,79000000,79000000,6700,7700,5700,175291,1175,537,6700,6800,6800,6600,200,6705,6800,100.0,1.49,1671,3115,217509,650109.0,175291,1175,235,265,-30,392800,825400,-432600,-,
25/09/2024,79000000,79000000,6700,7700,5700,195489,1319,537,6700,6800,6800,6700,100,6745,6800,100.0,1.49,1538,3246,118211,648511.0,195489,1319,204,260,-56,313700,844000,-530300,-,
24/09/2024,79000000,79000000,6700,7700,5700,111290,746,529,6700,6700,6800,6700,100,6703,6700,,,1509,2642,187510,533410.0,111290,746,198,244,-46,298800,644700,-345900,-,
23/09/2024,79000000,79000000,6800,7800,5800,168763,1130,537,6700,6800,6800,6600,200,6696,6800,,,1297,2672,203537,582137.0,168763,1130,287,281,6,372300,750900,-378600,-,
20/09/2024,79000000,79000000,6700,7700,5700,144411,949,529,6700,6700,6900,6700,200,6784,6700,,,1464,2462,180990,624990.0,116210,788,203,301,-98,297200,741200,-444000,28201,161.0
19/09/2024,79000000,79000000,6900,7900,5900,345455,2330,537,7000,6800,7000,6700,300,6744,6800,-100.0,-1.45,1648,3741,227945,705745.0,345455,2330,348,281,67,573400,1051200,-477800,-,
18/09/2024,79000000,79000000,6900,7900,5900,285307,1956,545,6900,6900,7000,6800,200,6854,6900,,,1496,3291,126093,751393.0,285307,1956,275,315,-40,411400,1036700,-625300,-,
17/09/2024,79000000,79000000,7000,8000,6000,296591,2055,553,7000,7000,7000,6800,200,6927,7000,,,5166,3497,932909,731609.0,296591,2055,238,294,-56,1229500,1028200,201300,-,
16/09/2024,79000000,79000000,6600,7500,5700,1666365,11586,545,6700,6900,7100,6700,400,6953,6900,300.0,4.55,8886,4875,2394535,712635.0,1666365,11586,457,488,-31,4060900,2379000,1681900,-,
13/09/2024,79000000,79000000,6700,7700,5700,190720,1255,521,6600,6600,6700,6500,200,6578,6600,-100.0,-1.49,1955,3598,344880,485680.0,190720,1255,274,188,86,535600,676400,-140800,-,
12/09/2024,79000000,79000000,6600,7500,5700,123194,825,521,6600,6600,6800,6600,200,6694,6600,,,1581,2590,186706,519106.0,123194,825,196,248,-52,309900,642300,-332400,-,
11/09/2024,79000000,79000000,6600,7500,5700,237974,1572,529,6700,6700,6700,6500,200,6605,6700,100.0,1.52,1977,3522,226626,498126.0,237974,1572,235,209,26,464600,736100,-271500,-,
10/09/2024,79000000,79000000,6800,7800,5800,251650,1670,521,6800,6600,6800,6500,300,6638,6600,-200.0,-2.94,1228,3044,180750,545850.0,251650,1670,352,262,90,432400,797500,-365100,-,
09/09/2024,79000000,79000000,6900,7900,5900,224140,1524,529,7000,6700,7000,6700,300,6800,6700,-200.0,-2.9,1469,3826,149060,701760.0,224140,1524,254,242,12,373200,925900,-552700,-,
06/09/2024,79000000,79000000,7000,8000,6000,162223,1119,545,7100,6900,7100,6800,300,6898,6900,-100.0,-1.43,1851,3164,317077,714277.0,162223,1119,259,277,-18,479300,876500,-397200,-,
05/09/2024,79000000,79000000,6900,7900,5900,490968,3456,545,7000,6900,7200,6800,400,7039,6900,,,2213,4203,268032,719432.0,490968,3456,343,288,55,759000,1210400,-451400,-,
04/09/2024,79000000,79000000,7200,8200,6200,388977,2685,545,7100,6900,7100,6800,300,6902,6900,-300.0,-4.17,1559,3358,321723,722623.0,388977,2685,456,331,125,710700,1111600,-400900,-,
30/08/2024,79000000,79000000,7000,8000,6000,390884,2801,561,7100,7100,7300,7000,300,7167,7100,100.0,1.43,2208,3247,348916,690316.0,390884,2801,335,333,2,739800,1081200,-341400,-,
29/08/2024,79000000,79000000,7200,8200,6200,551718,3852,561,8200,7100,8200,6800,1400,6981,7100,-100.0,-1.39,1714,3929,449182,952982.0,551718,3852,584,383,201,1000900,1504700,-503800,-,
28/08/2024,79000000,79000000,7500,8600,6400,760120,5441,569,8600,7200,8600,7000,1600,7159,7200,-300.0,-4.0,1762,3926,451980,1261580.0,760120,5441,688,515,173,1212100,2021700,-809600,-,
27/08/2024,79000000,79000000,7400,8500,6300,381013,2849,585,8500,7400,8500,7300,1200,7478,7400,,,3072,3834,549887,976387.0,381013,2849,303,354,-51,930900,1357400,-426500,-,
26/08/2024,79000000,79000000,7700,8800,6600,220302,1627,585,7900,7400,7900,7300,600,7386,7400,-300.0,-3.9,3100,3535,929698,1310198.0,220302,1627,371,433,-62,1150000,1530500,-380500,-,
23/08/2024,79000000,79000000,7900,9000,6800,1063203,8208,593,8200,7500,8200,7400,800,7720,7500,-400.0,-5.06,5413,5092,1713597,1268797.0,1063203,8208,513,458,55,2776800,2332000,444800,-,
22/08/2024,79000000,79000000,7800,8900,6700,1190179,9436,608,8000,7700,8000,7500,500,7928,7700,-100.0,-1.28,5732,6054,993721,1122521.0,1190179,9436,381,382,-1,2183900,2312700,-128800,-,
21/08/2024,79000000,79000000,7900,9000,6800,2673542,20944,593,9000,7500,9000,7400,1600,7834,7500,-400.0,-5.06,4565,8789,1233758,1202258.0,2673542,20944,856,441,415,3907300,3875800,31500,-,
20/08/2024,79000000,79000000,7500,8600,6400,1016854,7986,608,7500,7700,8000,7500,500,7853,7700,200.0,2.67,4845,4838,567346,865246.0,1016854,7986,327,389,-62,1584200,1882100,-297900,-,
19/08/2024,79000000,79000000,7300,8300,6300,563276,4212,593,7300,7500,7500,7300,200,7478,7500,200.0,2.74,4621,4865,545724,901124.0,563276,4212,240,301,-61,1109000,1464400,-355400,-,
16/08/2024,79000000,79000000,7200,8200,6200,380931,2787,577,8200,7300,8200,7100,1100,7315,7300,100.0,1.39,2217,3803,388469,874169.0,380931,2787,347,330,17,769400,1255100,-485700,-,
