Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,299309720,299309720,1810,1930,1690,1210600,2203,545,1830,1820,1850,1810,40,1820,1800,10.0,0.55,8528,5096,441200.0,307500.0,1210600,2203,304.0,586.0,-282,2592400.0,2986300.0,-393900,-,
26/09/2024,299309720,299309720,1790,1910,1670,1321200,2392,542,1800,1810,1830,1800,30,1810,1800,20.0,1.12,6308,6611,177300.0,198900.0,1321200,2392,345.0,585.0,-240,2176200.0,3867400.0,-1691200,-,
25/09/2024,299309720,299309720,1770,1890,1650,1350100,2439,536,1780,1790,1840,1780,60,1807,1800,20.0,1.13,6874,5722,162900.0,142300.0,1350100,2439,410.0,629.0,-219,2818200.0,3599100.0,-780900,-,
24/09/2024,299309720,299309720,1720,1840,1600,2173000,3854,530,1720,1770,1820,1700,120,1774,1800,50.0,2.91,9750,6377,42800.0,68800.0,2173000,3854,510.0,801.0,-291,4972400.0,5108100.0,-135700,-,
23/09/2024,299309720,299309720,1700,1810,1590,1024400,1752,515,1700,1720,1730,1700,30,1710,1700,20.0,1.18,6045,5882,475300.0,63900.0,1024400,1752,401.0,472.0,-71,2423900.0,2776200.0,-352300,-,
20/09/2024,299309720,299309720,1700,1810,1590,1196400,2036,509,1700,1700,1730,1690,40,1702,1700,,,5184,5408,295000.0,169200.0,1196400,2036,520.0,509.0,11,2695600.0,2752900.0,-57300,-,
19/09/2024,299309720,299309720,1660,1770,1550,1186600,2036,509,1680,1700,1740,1680,60,1716,1700,40.0,2.41,5888,6876,249600.0,52600.0,1186600,2036,588.0,384.0,204,3461900.0,2640300.0,821600,-,
18/09/2024,299309720,299309720,1780,1900,1660,5841000,9797,497,1780,1660,1800,1660,140,1677,1700,-120.0,-6.74,3844,15751,435400.0,79200.0,5841000,9797,1732.0,462.0,1270,6657100.0,7276900.0,-619800,-,
17/09/2024,299309720,299309720,1840,1960,1720,760200,1348,533,1770,1780,1840,1740,100,1773,1800,-60.0,-3.26,2457,8758,61100.0,219600.0,760200,1348,584.0,251.0,333,1434800.0,2198200.0,-763400,-,
16/09/2024,299309720,299309720,1820,1940,1700,942300,1729,551,1860,1840,1860,1810,50,1835,1800,20.0,1.1,5185,9000,37200.0,166000.0,942300,1729,314.0,277.0,37,1628100.0,2493100.0,-865000,-,
13/09/2024,299309720,299309720,1850,1970,1730,542400,999,545,1850,1820,1890,1810,80,1842,1800,-30.0,-1.62,4026,6160,279900.0,16900.0,542400,999,270.0,288.0,-18,1087000.0,1774000.0,-687000,-,
12/09/2024,299309720,299309720,1760,1880,1640,786000,1425,554,1760,1850,1880,1760,120,1813,1900,90.0,5.11,5928,3801,110400.0,71900.0,786000,1425,349.0,278.0,71,2068800.0,1056700.0,1012100,-,
11/09/2024,299309720,299309720,1760,1880,1640,618900,1073,527,1800,1760,1800,1640,160,1734,1800,,,6903,6565,28700.0,53400.0,618900,1073,432.0,221.0,211,2982300.0,1450900.0,1531400,-,
10/09/2024,299309720,299309720,1780,1900,1660,439800,779,527,1790,1760,1820,1750,70,1771,1800,-20.0,-1.12,2571,5107,42600.0,109800.0,439800,779,367.0,216.0,151,943600.0,1103100.0,-159500,-,
09/09/2024,299309720,299309720,1800,1920,1680,526800,933,533,1700,1780,1800,1700,100,1771,1800,-20.0,-1.11,3256,6063,119400.0,118100.0,526800,933,525.0,208.0,317,1709500.0,1261000.0,448500,-,
06/09/2024,299309720,299309720,1830,1950,1710,765900,1392,539,1830,1800,1840,1800,40,1817,1800,-30.0,-1.64,2811,8181,60300.0,305700.0,765900,1392,384.0,213.0,171,1079400.0,1742500.0,-663100,-,
05/09/2024,299309720,299309720,1870,2000,1740,765400,1419,548,1860,1830,1890,1830,60,1854,1800,-40.0,-2.14,4541,7633,107000.0,322700.0,765400,1419,391.0,223.0,168,1775700.0,1702200.0,73500,-,
04/09/2024,299309720,299309720,1880,2010,1750,330600,618,560,1880,1870,1890,1840,50,1869,1900,-10.0,-0.53,2781,4876,79800.0,102800.0,330600,618,322.0,203.0,119,895600.0,989800.0,-94200,-,
30/08/2024,299309720,299309720,1880,2010,1750,520100,978,563,1880,1880,1900,1870,30,1880,1900,,,2762,3223,95900.0,111600.0,520100,978,223.0,196.0,27,616000.0,631700.0,-15700,-,
29/08/2024,299309720,299309720,1880,2010,1750,393100,742,563,1880,1880,1920,1860,60,1888,1900,,,2861,4706,54600.0,81500.0,393100,742,393.0,265.0,128,1124400.0,1247100.0,-122700,-,
28/08/2024,299309720,299309720,1950,2080,1820,1143200,2149,563,1850,1880,1940,1850,90,1880,1900,-70.0,-3.59,5012,5707,186800.0,46800.0,1143200,2149,932.0,444.0,488,4670800.0,2534100.0,2136700,-,
27/08/2024,299309720,299309720,1970,2100,1840,661900,1300,584,1990,1950,1990,1950,40,1964,2000,-20.0,-1.02,4344,6298,161400.0,118200.0,661900,1300,284.0,363.0,-79,1233700.0,2286200.0,-1052500,-,
26/08/2024,299309720,299309720,1960,2090,1830,682900,1353,590,1990,1970,2000,1960,40,1971,2000,10.0,0.51,3534,6108,255400.0,121500.0,623900,1230,355.0,463.0,-108,1254600.0,2827900.0,-1573300,59000,123.0
23/08/2024,299309720,299309720,1960,2090,1830,672200,1333,587,1960,1960,2010,1960,50,1983,2000,,,5277,5171,244800.0,126400.0,672200,1333,336.0,516.0,-180,1773000.0,2668100.0,-895100,-,
22/08/2024,299309720,299309720,1990,2120,1860,758300,1498,587,1980,1960,2000,1950,50,1975,2000,-30.0,-1.51,4403,6087,92100.0,169200.0,758300,1498,465.0,427.0,38,2047600.0,2599000.0,-551400,-,
21/08/2024,299309720,299309720,2020,2160,1880,823000,1638,596,2010,1990,2050,1980,70,1990,2000,-30.0,-1.49,4264,6654,249000.0,83700.0,823000,1638,495.0,560.0,-65,2110700.0,3726500.0,-1615800,-,
20/08/2024,299309720,299309720,1970,2100,1840,949600,1897,605,1970,2020,2050,1950,100,1998,2000,50.0,2.54,6934,6648,10000.0,367200.0,949600,1897,592.0,638.0,-46,4105200.0,4241200.0,-136000,-,
19/08/2024,299309720,299309720,2010,2150,1870,1017000,2081,590,2050,1970,2060,1970,90,2004,2000,-40.0,-1.99,3157,5243,129600.0,56500.0,727400,1458,481.0,560.0,-79,1518600.0,2936000.0,-1417400,289600,623.0
16/08/2024,299309720,299309720,2000,2140,1860,1825600,3644,602,2030,2010,2040,1950,90,1990,2000,10.0,0.5,4593,6894,38500.0,67500.0,1745600,3473,793.0,671.0,122,3642300.0,4625700.0,-983400,80000,171.0
15/08/2024,299309720,299309720,2040,2180,1900,691400,1391,599,1950,2000,2090,1950,140,2012,2000,-40.0,-1.96,2640,2662,100600.0,24700.0,691400,1391,300.0,269.0,31,792000.0,716100.0,75900,-,
14/08/2024,299309720,299309720,1960,2090,1830,2277900,4620,611,1940,2040,2090,1890,200,2028,2000,80.0,4.08,5833,6685,102000.0,342700.0,2277900,4620,408.0,392.0,16,2379900.0,2620600.0,-240700,-,
13/08/2024,299309720,299309720,1840,1960,1720,2222600,4266,587,1880,1960,1960,1810,150,1919,2000,120.0,6.52,12086,10686,2406400.0,,2222600,4266,383.0,208.0,175,4629000.0,2222600.0,2406400,-,
12/08/2024,299309720,299309720,1930,2060,1800,795900,1481,551,1920,1840,1920,1820,100,1861,1800,-90.0,-4.66,2034,4661,52400.0,57000.0,795900,1481,417.0,183.0,234,848300.0,852900.0,-4600,-,
09/08/2024,299309720,299309720,1970,2100,1840,5547900,11124,578,2100,1930,2100,1910,190,2005,1900,-40.0,-2.03,9790,10115,90900.0,76300.0,5547900,11124,576.0,556.0,20,5638800.0,5624200.0,14600,-,
08/08/2024,299309720,299309720,1850,1970,1730,669600,1319,590,1970,1970,1970,1970,-,1970,2000,120.0,6.49,6098,60873,1958700.0,,669600,1319,431.0,11.0,420,2628300.0,669600.0,1958700,-,
07/08/2024,299309720,299309720,1730,1850,1610,362300,670,554,1850,1850,1850,1850,-,1849,1900,120.0,6.94,10109,27869,3924000.0,,362300,670,424.0,13.0,411,4286300.0,362300.0,3924000,-,
06/08/2024,299309720,299309720,1620,1730,1510,1427700,2422,518,1630,1730,1730,1630,100,1696,1700,110.0,6.79,9439,4490,2234700.0,,1427700,2422,388.0,318.0,70,3662400.0,1427700.0,2234700,-,
05/08/2024,299309720,299309720,1720,1840,1600,908900,1525,485,1720,1620,1730,1600,130,1678,1600,-100.0,-5.81,3475,3375,185800.0,59700.0,908900,1525,315.0,287.0,28,1094700.0,968600.0,126100,-,
02/08/2024,299309720,299309720,1700,1810,1590,1631500,2785,515,1700,1720,1730,1650,80,1707,1700,20.0,1.18,5444,6883,77900.0,123600.0,1631500,2785,314.0,255.0,59,1709400.0,1755100.0,-45700,-,
01/08/2024,299309720,299309720,1730,1850,1610,727000,1246,509,1770,1700,1770,1670,100,1714,1700,-30.0,-1.73,2649,2389,189700.0,71000.0,727000,1246,346.0,334.0,12,916700.0,798000.0,118700,-,
31/07/2024,299309720,299309720,1620,1730,1510,1519400,2626,518,1640,1730,1730,1640,90,1728,1700,110.0,6.79,3054,15194,56700.0,,1519400,2626,516.0,100.0,416,1576100.0,1519400.0,56700,-,
30/07/2024,299309720,299309720,1690,1800,1580,1082900,1764,485,1600,1620,1670,1600,70,1629,1600,-70.0,-4.14,3783,3741,449200.0,162900.0,1082900,1764,405.0,333.0,72,1532100.0,1245800.0,286300,-,
29/07/2024,299309720,299309720,1810,1930,1690,3133800,5407,506,1820,1690,1820,1690,130,1725,1700,-120.0,-6.63,5527,7317,,239200.0,3133800,5407,567.0,461.0,106,3133800.0,3373000.0,-239200,-,
26/07/2024,299309720,299309720,1790,1910,1670,690700,1242,542,1790,1810,1820,1780,40,1798,1800,20.0,1.12,2696,4798,42500.0,350400.0,690700,1242,272.0,217.0,55,733200.0,1041100.0,-307900,-,
25/07/2024,299309720,299309720,1830,1950,1710,960700,1733,536,1830,1790,1830,1790,40,1804,1800,-40.0,-2.19,3768,4365,173500.0,87000.0,960700,1733,301.0,240.0,61,1134200.0,1047700.0,86500,-,
24/07/2024,299309720,299309720,1810,1930,1690,1098600,1992,548,1810,1830,1850,1780,70,1813,1800,20.0,1.1,3959,4537,109000.0,199000.0,1098600,1992,305.0,286.0,19,1207600.0,1297600.0,-90000,-,
23/07/2024,299309720,299309720,1810,1930,1690,1778300,3205,542,1800,1810,1840,1770,70,1802,1800,,,5252,5672,165000.0,155800.0,1778300,3205,370.0,341.0,29,1943300.0,1934100.0,9200,-,
22/07/2024,299309720,299309720,1940,2070,1810,5001000,9058,542,1810,1810,1840,1810,30,1811,1800,-130.0,-6.7,13336,6200,,101500.0,5001000,9058,375.0,823.0,-448,5001000.0,5102500.0,-101500,-,
19/07/2024,299309720,299309720,1950,2080,1820,662500,1272,581,1950,1940,1980,1900,80,1920,1900,-10.0,-0.51,1752,2955,24200.0,150200.0,662500,1272,392.0,275.0,117,686700.0,812700.0,-126000,-,
18/07/2024,299309720,299309720,1900,2030,1770,374600,725,584,1900,1950,1960,1900,60,1935,2000,50.0,2.63,1740,1942,149100.0,93400.0,374600,725,301.0,241.0,60,523700.0,468000.0,55700,-,
17/07/2024,299309720,299309720,1990,2120,1860,1263300,2466,569,1990,1900,1990,1900,90,1952,1900,-90.0,-4.52,4029,4108,195200.0,84100.0,1263300,2466,362.0,328.0,34,1458500.0,1347400.0,111100,-,
16/07/2024,299309720,299309720,1990,2120,1860,505900,1006,596,1990,1990,2000,1980,20,1989,2000,,,2625,3353,189700.0,480000.0,505900,1006,265.0,294.0,-29,695600.0,985900.0,-290300,-,
15/07/2024,299309720,299309720,1980,2110,1850,390200,775,596,1980,1990,2010,1970,40,1986,2000,10.0,0.51,2785,2969,253100.0,423400.0,390200,775,231.0,274.0,-43,643300.0,813600.0,-170300,-,
