Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5773600,5773600,10000,11500,8500,1500,15.0,58,10000,10000,10000,10000,-,10000,10000,,,533,115,1600.0,1500.0,,,3,13,-10,1600,1500.0,100,1500,15.0
26/09/2024,5773600,5773600,10000,11500,8500,-,,58,10000,10000,10000,10000,-,10000,10000,,,683,1792,4100.0,21500.0,,,6,12,-6,4100,21500.0,-17400,-,
25/09/2024,5773600,5773600,10000,11500,8500,-,,58,10000,10000,10000,10000,-,10000,10000,,,700,110,2100.0,1100.0,,,3,10,-7,2100,1100.0,1000,-,
24/09/2024,5773600,5773600,10000,11500,8500,-,,58,10000,10000,10000,10000,-,10000,10000,,,683,2130,4100.0,21300.0,,,6,10,-4,4100,21300.0,-17200,-,
23/09/2024,5773600,5773600,10000,11500,8500,-,,58,10000,10000,10000,10000,-,10000,10000,,,1000,1833,2000.0,22000.0,,,2,12,-10,2000,22000.0,-20000,-,
20/09/2024,5773600,5773600,9200,10500,7900,100,1.0,58,10000,10000,10000,10000,-,10000,10000,800.0,8.7,775,125,3000.0,900.0,100.0,1.0,4,8,-4,3100,1000.0,2100,-,
19/09/2024,5773600,5773600,9500,10900,8100,1300,12.0,57,9200,9800,9800,9200,600,9246,9800,300.0,3.16,686,1883,3500.0,21300.0,1300.0,12.0,7,12,-5,4800,22600.0,-17800,-,
18/09/2024,5773600,5773600,10100,11600,8600,100,1.0,55,9500,9500,9500,9500,-,9500,9500,-600.0,-5.94,517,2943,3000.0,20500.0,100.0,1.0,6,7,-1,3100,20600.0,-17500,-,
17/09/2024,5773600,5773600,10100,11600,8600,-,,58,10100,10100,10100,10100,-,10100,10100,,,1000,2367,1000.0,21300.0,,,1,9,-8,1000,21300.0,-20300,-,
16/09/2024,5773600,5773600,10100,11600,8600,-,,58,10100,10100,10100,10100,-,10100,10100,,,500,3029,1000.0,21200.0,,,2,7,-5,1000,21200.0,-20200,-,
13/09/2024,5773600,5773600,10100,11600,8600,-,,58,10100,10100,10100,10100,-,10100,10100,,,700,100,2100.0,700.0,,,3,7,-4,2100,700.0,1400,-,
12/09/2024,5773600,5773600,10100,11600,8600,9,0.0,58,10100,10100,10100,10100,-,10100,10100,,,800,100,3991.0,591.0,9.0,0.0,5,6,-1,4000,600.0,3400,-,
11/09/2024,5773600,5773600,9300,10600,8000,4200,42.0,58,10100,10100,10100,10100,-,10100,10100,800.0,8.6,1008,343,7900.0,600.0,4200.0,42.0,12,14,-2,12100,4800.0,7300,-,
10/09/2024,5773600,5773600,9300,10600,8000,-,,54,9300,9300,9300,9300,-,9300,9300,,,1020,100,5100.0,400.0,,,5,4,1,5100,400.0,4700,-,
09/09/2024,5773600,5773600,9300,10600,8000,-,,54,9300,9300,9300,9300,-,9300,9300,,,1400,143,14000.0,1000.0,,,10,7,3,14000,1000.0,13000,-,
06/09/2024,5773600,5773600,9300,10600,8000,-,,54,9300,9300,9300,9300,-,9300,9300,,,117,60,700.0,300.0,,,6,5,1,700,300.0,400,-,
05/09/2024,5773600,5773600,9300,10600,8000,14,0.0,54,9300,9300,9300,9300,-,9300,9300,,,1183,80,7086.0,386.0,14.0,0.0,6,5,1,7100,400.0,6700,-,
04/09/2024,5773600,5773600,9300,10600,8000,10,0.0,54,9300,9300,9300,9300,-,9300,9300,,,1750,125,6990.0,490.0,10.0,0.0,4,4,-,7000,500.0,6500,-,
30/08/2024,5773600,5773600,10900,12500,9300,108,1.0,54,9300,9300,9300,9300,-,9300,9300,-1600.0,-14.68,60,113,192.0,792.0,108.0,1.0,5,8,-3,300,900.0,-600,-,
