Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,62999554,62999554,56700,60600,52800,835200,47536,3610,56800,57300,57900,56300,1600,56916,57300,600.0,1.06,1418,1374,10900.0,24500.0,835200,47536,1434.0,1238.0,196,2032700.0,1701600.0,331100,-,
26/09/2024,62999554,62999554,57400,61400,53400,1248000,71167,3572,57500,56700,57900,56700,1200,57038,56700,-700.0,-1.22,2220,1833,129500.0,26600.0,1180000,67305,1516.0,1183.0,333,3365100.0,2168200.0,1196900,68000,3862.0
25/09/2024,62999554,62999554,57900,61900,53900,683100,39429,3616,58100,57400,58100,57400,700,57721,57400,-500.0,-0.86,1471,1282,56400.0,22200.0,683100,39429,995.0,1133.0,-138,1463600.0,1452200.0,11400,-,
24/09/2024,62999554,62999554,56900,60800,53000,972400,56214,3648,57000,57900,58200,57000,1200,57810,57900,1000.0,1.76,2841,1127,177400.0,94700.0,972400,56214,1267.0,2223.0,-956,3599200.0,2504500.0,1094700,-,
23/09/2024,62999554,62999554,56500,60400,52600,660300,37644,3585,56600,56900,57800,56000,1800,57010,56900,400.0,0.71,2720,1360,119100.0,20600.0,660300,37644,1264.0,1349.0,-85,3437700.0,1835200.0,1602500,-,
20/09/2024,62999554,62999554,56500,60400,52600,864500,48894,3559,56900,56500,57100,56200,900,56558,56500,,,1540,1538,80800.0,22600.0,864500,48894,1351.0,1250.0,101,2080800.0,1923100.0,157700,-,
19/09/2024,62999554,62999554,56800,60700,52900,848200,47876,3559,56800,56500,57200,55900,1300,56444,56500,-300.0,-0.53,1509,1581,64800.0,61800.0,848200,47876,1339.0,1293.0,46,2020600.0,2044200.0,-23600,-,
18/09/2024,62999554,62999554,56800,60700,52900,774900,44069,3578,56800,56800,57500,56300,1200,56871,56800,,,1702,1424,68700.0,65900.0,774900,44069,1392.0,1483.0,-91,2369200.0,2111600.0,257600,-,
17/09/2024,62999554,62999554,54000,57700,50300,2314200,128154,3578,54000,56800,56800,53700,3100,55453,56800,2800.0,5.19,2403,1304,14700.0,54000.0,2214200,122784,2723.0,2922.0,-199,6542700.0,3810200.0,2732500,100000,5370.0
16/09/2024,62999554,62999554,53700,57400,49950,1501800,81701,3402,53700,54000,54800,53700,1100,54402,54000,300.0,0.56,1382,1572,55400.0,10300.0,1501800,81701,2069.0,2116.0,-47,2858400.0,3327300.0,-468900,-,
13/09/2024,62999554,62999554,53300,57000,49600,364300,19463,3383,53000,53700,53900,52900,1000,53426,53700,400.0,0.75,1612,1645,39700.0,48400.0,364300,19463,850.0,841.0,9,1369900.0,1383300.0,-13400,-,
12/09/2024,62999554,62999554,53600,57300,49850,602600,32368,3358,53900,53300,54200,53100,1100,53714,53300,-300.0,-0.56,2547,1734,20400.0,60700.0,602600,32368,896.0,938.0,-42,2281900.0,1626200.0,655700,-,
11/09/2024,62999554,62999554,53600,57300,49850,623500,33057,3377,53400,53600,53800,52200,1600,53018,53600,,,1425,1416,50900.0,24300.0,623500,33057,1275.0,960.0,315,1816400.0,1359000.0,457400,-,
10/09/2024,62999554,62999554,53600,57300,49850,1025800,55200,3377,53900,53600,54800,53000,1800,53812,53600,,,3264,1474,137600.0,43800.0,1025800,55200,1401.0,1873.0,-472,4573500.0,2760300.0,1813200,-,
