Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,123,100,1600.0,100.0,,,13.0,1.0,12,1600.0,100.0,1500,-,
26/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,300,100,1500.0,100.0,,,5.0,1.0,4,1500.0,100.0,1400,-,
25/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,300,100,1500.0,100.0,,,5.0,1.0,4,1500.0,100.0,1400,-,
24/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,275,100,1100.0,100.0,,,4.0,1.0,3,1100.0,100.0,1000,-,
23/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,220,100,1100.0,100.0,,,5.0,1.0,4,1100.0,100.0,1000,-,
20/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,220,100,1100.0,100.0,,,5.0,1.0,4,1100.0,100.0,1000,-,
19/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,225,100,900.0,100.0,,,4.0,1.0,3,900.0,100.0,800,-,
18/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,180,100,900.0,100.0,,,5.0,1.0,4,900.0,100.0,800,-,
17/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,225,100,900.0,100.0,,,4.0,1.0,3,900.0,100.0,800,-,
16/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,111,100,1000.0,100.0,,,9.0,1.0,8,1000.0,100.0,900,-,
13/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,240,100,1200.0,100.0,,,5.0,1.0,4,1200.0,100.0,1100,-,
12/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,333,100,1000.0,100.0,,,3.0,1.0,2,1000.0,100.0,900,-,
11/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,333,100,1000.0,100.0,,,3.0,1.0,2,1000.0,100.0,900,-,
10/09/2024,3000000,3000000,49500,56900,42100,58,3.0,149,49500,49500,49500,49500,-,49500,49500,,,81,100,1242.0,42.0,58.0,3.0,16.0,1.0,15,1300.0,100.0,1200,-,
09/09/2024,3000000,3000000,49500,56900,42100,200,10.0,149,49500,49500,49500,49500,-,49500,49500,,,1100,150,6400.0,100.0,200.0,10.0,6.0,2.0,4,6600.0,300.0,6300,-,
06/09/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,500,200,2000.0,200.0,,,4.0,1.0,3,2000.0,200.0,1800,-,
05/09/2024,3000000,3000000,49400,56800,42000,200,10.0,149,49500,49500,49500,49500,-,49500,49500,100.0,0.2,888,200,6900.0,200.0,200.0,10.0,8.0,2.0,6,7100.0,400.0,6700,-,
04/09/2024,3000000,3000000,49400,56800,42000,-,,148,49400,49400,49400,49400,-,49400,49400,,,600,100,3000.0,200.0,,,5.0,2.0,3,3000.0,200.0,2800,-,
30/08/2024,3000000,3000000,45000,51700,38300,200,10.0,148,49400,49400,49400,49400,-,49400,49400,4400.0,9.78,543,200,3600.0,200.0,200.0,10.0,7.0,2.0,5,3800.0,400.0,3400,-,
29/08/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,538,200,4300.0,200.0,,,8.0,1.0,7,4300.0,200.0,4100,-,
28/08/2024,3000000,3000000,49100,56400,41800,646,29.0,135,45000,45000,45000,45000,-,45000,45000,-4100.0,-8.35,245,400,2054.0,154.0,646.0,29.0,11.0,2.0,9,2700.0,800.0,1900,-,
27/08/2024,3000000,3000000,49500,56900,42100,405,20.0,146,49500,48600,49500,48600,900,49050,48600,-900.0,-1.82,129,160,495.0,395.0,405.0,20.0,7.0,5.0,2,900.0,800.0,100,-,
26/08/2024,3000000,3000000,49500,56900,42100,107,5.0,149,49500,49500,49500,49500,-,49500,49500,,,1425,150,5593.0,193.0,107.0,5.0,4.0,2.0,2,5700.0,300.0,5400,-,
23/08/2024,3000000,3000000,49500,56900,42100,17,1.0,149,49500,49500,49500,49500,-,49500,49500,,,1733,200,5183.0,383.0,17.0,1.0,3.0,2.0,1,5200.0,400.0,4800,-,
22/08/2024,3000000,3000000,49500,56900,42100,503,25.0,149,49500,49500,49500,49500,-,49500,49500,,,1017,240,5597.0,697.0,503.0,25.0,6.0,5.0,1,6100.0,1200.0,4900,-,
21/08/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,1100,200,5500.0,400.0,,,5.0,2.0,3,5500.0,400.0,5100,-,
20/08/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,2550,200,5100.0,400.0,,,2.0,2.0,-,5100.0,400.0,4700,-,
19/08/2024,3000000,3000000,49500,56900,42100,500,25.0,149,49500,49500,49500,49500,-,49500,49500,,,1867,250,5100.0,,500.0,25.0,3.0,2.0,1,5600.0,500.0,5100,-,
16/08/2024,3000000,3000000,49500,56900,42100,138,6.0,149,49500,49500,49500,49500,-,49500,49500,,,2550,200,4962.0,62.0,138.0,6.0,2.0,1.0,1,5100.0,200.0,4900,-,
15/08/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,150,150,300.0,300.0,,,2.0,2.0,-,300.0,300.0,-,-,
14/08/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,2550,350,5100.0,700.0,,,2.0,2.0,-,5100.0,700.0,4400,-,
13/08/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,1733,200,5200.0,200.0,,,3.0,1.0,2,5200.0,200.0,5000,-,
12/08/2024,3000000,3000000,49400,56800,42000,200,10.0,149,49500,49500,49500,49500,-,49500,49500,100.0,0.2,1425,200,5500.0,,200.0,10.0,4.0,1.0,3,5700.0,200.0,5500,-,
09/08/2024,3000000,3000000,49400,56800,42000,-,,148,49400,49400,49400,49400,-,49400,49400,,,1767,100,5300.0,200.0,,,3.0,2.0,1,5300.0,200.0,5100,-,
08/08/2024,3000000,3000000,49400,56800,42000,-,,148,49400,49400,49400,49400,-,49400,49400,,,1300,250,5200.0,500.0,,,4.0,2.0,2,5200.0,500.0,4700,-,
07/08/2024,3000000,3000000,49500,56900,42100,400,20.0,147,49500,49000,49500,49000,500,49375,49000,-500.0,-1.01,700,133,5900.0,,400.0,20.0,9.0,3.0,6,6300.0,400.0,5900,-,
06/08/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,1900,150,5700.0,300.0,,,3.0,2.0,1,5700.0,300.0,5400,-,
05/08/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,2750,150,5500.0,300.0,,,2.0,2.0,-,5500.0,300.0,5200,-,
02/08/2024,3000000,3000000,49500,56900,42100,-,,149,49500,49500,49500,49500,-,49500,49500,,,1700,150,5100.0,300.0,,,3.0,2.0,1,5100.0,300.0,4800,-,
01/08/2024,3000000,3000000,49500,56900,42100,200,10.0,149,49500,49500,49500,49500,-,49500,49500,,,1040,150,5000.0,100.0,200.0,10.0,5.0,2.0,3,5200.0,300.0,4900,-,
31/07/2024,3000000,3000000,48000,55200,40800,300,15.0,149,49500,49500,49500,49500,-,49500,49500,1500.0,3.13,700,150,4600.0,300.0,300.0,15.0,7.0,4.0,3,4900.0,600.0,4300,-,
30/07/2024,3000000,3000000,48000,55200,40800,400,19.0,146,46500,48500,48500,46500,2000,48000,48500,500.0,1.04,710,120,6700.0,200.0,400.0,19.0,10.0,5.0,5,7100.0,600.0,6500,-,
29/07/2024,3000000,3000000,48000,55200,40800,-,,144,48000,48000,48000,48000,-,48000,48000,,,1350,100,5400.0,100.0,,,4.0,1.0,3,5400.0,100.0,5300,-,
26/07/2024,3000000,3000000,48400,55600,41200,200,10.0,144,48000,48000,48000,48000,-,48000,48000,-400.0,-0.83,1120,150,5400.0,100.0,200.0,10.0,5.0,2.0,3,5600.0,300.0,5300,-,
25/07/2024,3000000,3000000,48400,55600,41200,-,,145,48400,48400,48400,48400,-,48400,48400,,,1525,-,6100.0,,,,4.0,1.0,3,6100.0,,6100,-,
24/07/2024,3000000,3000000,48400,55600,41200,-,,145,48400,48400,48400,48400,-,48400,48400,,,1020,100,5100.0,100.0,,,5.0,1.0,4,5100.0,100.0,5000,-,
23/07/2024,3000000,3000000,48400,55600,41200,-,,145,48400,48400,48400,48400,-,48400,48400,,,971,100,6800.0,200.0,,,7.0,2.0,5,6800.0,200.0,6600,-,
22/07/2024,3000000,3000000,48000,55200,40800,408,20.0,146,48000,48500,48500,48000,500,48375,48500,500.0,1.04,578,71,4792.0,92.0,408.0,20.0,9.0,7.0,2,5200.0,500.0,4700,-,
19/07/2024,3000000,3000000,48000,55200,40800,-,,144,48000,48000,48000,48000,-,48000,48000,,,843,50,5900.0,100.0,,,7.0,2.0,5,5900.0,100.0,5800,-,
18/07/2024,3000000,3000000,47600,54700,40500,600,29.0,144,48000,48000,48000,48000,-,48000,48000,400.0,0.84,800,350,6600.0,100.0,600.0,29.0,9.0,2.0,7,7200.0,700.0,6500,-,
17/07/2024,3000000,3000000,47200,54200,40200,531,25.0,144,46700,48000,48000,46700,1300,47580,48000,800.0,1.69,120,125,1269.0,,531.0,25.0,15.0,4.0,11,1800.0,500.0,1300,-,
16/07/2024,3000000,3000000,46000,52900,39100,1700,80.0,143,46800,47500,47500,46800,700,47165,47500,1500.0,3.26,331,271,3600.0,200.0,1700.0,80.0,16.0,7.0,9,5300.0,1900.0,3400,-,
15/07/2024,3000000,3000000,45100,51800,38400,100,5.0,138,46000,46000,46000,46000,-,46000,46000,900.0,2.0,340,167,3300.0,400.0,100.0,5.0,10.0,3.0,7,3400.0,500.0,2900,-,
12/07/2024,3000000,3000000,45100,51800,38400,-,,135,45100,45100,45100,45100,-,45100,45100,,,967,160,5800.0,800.0,,,6.0,5.0,1,5800.0,800.0,5000,-,
11/07/2024,3000000,3000000,45000,51700,38300,100,5.0,135,45100,45100,45100,45100,-,45100,45100,100.0,0.22,143,213,900.0,1600.0,100.0,5.0,7.0,8.0,-1,1000.0,1700.0,-700,-,
10/07/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,150,350,900.0,1400.0,,,6.0,4.0,2,900.0,1400.0,-500,-,
09/07/2024,3000000,3000000,45000,51700,38300,100,5.0,135,45000,45000,45000,45000,-,45000,45000,,,200,263,900.0,2000.0,100.0,5.0,5.0,8.0,-3,1000.0,2100.0,-1100,-,
08/07/2024,3000000,3000000,45000,51700,38300,40,2.0,135,45000,45000,45000,45000,-,45000,45000,,,160,100,760.0,460.0,40.0,2.0,5.0,5.0,-,800.0,500.0,300,-,
05/07/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,175,550,700.0,1100.0,,,4.0,2.0,2,700.0,1100.0,-400,-,
04/07/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,233,350,700.0,1400.0,,,3.0,4.0,-1,700.0,1400.0,-700,-,
03/07/2024,3000000,3000000,45000,51700,38300,200,9.0,135,45000,45000,45000,45000,-,45000,45000,,,200,225,600.0,1600.0,200.0,9.0,4.0,8.0,-4,800.0,1800.0,-1000,-,
02/07/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,100,300,300.0,1500.0,,,3.0,5.0,-2,300.0,1500.0,-1200,-,
01/07/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,100,433,200.0,1300.0,,,2.0,3.0,-1,200.0,1300.0,-1100,-,
28/06/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,400,400,1200.0,1600.0,,,3.0,4.0,-1,1200.0,1600.0,-400,-,
27/06/2024,3000000,3000000,45000,51700,38300,200,9.0,135,45000,45000,45000,45000,-,45000,45000,,,450,450,2500.0,1600.0,200.0,9.0,6.0,4.0,2,2700.0,1800.0,900,-,
26/06/2024,3000000,3000000,45000,51700,38300,200,9.0,135,45000,45000,45000,45000,-,45000,45000,,,356,467,3000.0,1200.0,200.0,9.0,9.0,3.0,6,3200.0,1400.0,1800,-,
25/06/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,100,800,400.0,1600.0,,,4.0,2.0,2,400.0,1600.0,-1200,-,
24/06/2024,3000000,3000000,45000,51700,38300,12200,549.0,135,45000,45000,45000,45000,-,45000,45000,,,1038,1218,1300.0,1200.0,12200.0,549.0,13.0,11.0,2,13500.0,13400.0,100,-,
21/06/2024,3000000,3000000,45000,51700,38300,1,0.0,135,45000,45000,45000,45000,-,45000,45000,,,125,100,499.0,299.0,1.0,0.0,4.0,3.0,1,500.0,300.0,200,-,
20/06/2024,3000000,3000000,45000,51700,38300,-,,135,45000,45000,45000,45000,-,45000,45000,,,200,150,1000.0,300.0,,,5.0,2.0,3,1000.0,300.0,700,-,
19/06/2024,3000000,3000000,45000,51700,38300,2,0.0,135,45000,45000,45000,45000,-,45000,45000,,,120,467,598.0,1398.0,2.0,0.0,5.0,3.0,2,600.0,1400.0,-800,-,
18/06/2024,3000000,3000000,46300,53200,39400,200,9.0,135,45000,45000,45000,45000,-,45000,45000,-1300.0,-2.81,280,100,1200.0,200.0,200.0,9.0,5.0,4.0,1,1400.0,400.0,1000,-,
17/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,213,50,1700.0,100.0,,,8.0,2.0,6,1700.0,100.0,1600,-,
14/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,233,300,700.0,600.0,,,3.0,2.0,1,700.0,600.0,100,-,
13/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,233,933,700.0,2800.0,,,3.0,3.0,-,700.0,2800.0,-2100,-,
12/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,357,200,2500.0,600.0,,,7.0,3.0,4,2500.0,600.0,1900,-,
11/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,175,180,700.0,900.0,,,4.0,5.0,-1,700.0,900.0,-200,-,
10/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,250,50,1500.0,100.0,,,6.0,2.0,4,1500.0,100.0,1400,-,
07/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,233,550,1400.0,1100.0,,,6.0,2.0,4,1400.0,1100.0,300,-,
06/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,100,400,200.0,1200.0,,,2.0,3.0,-1,200.0,1200.0,-1000,-,
05/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,550,325,2200.0,1300.0,,,4.0,4.0,-,2200.0,1300.0,900,-,
04/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,240,700,1200.0,2800.0,,,5.0,4.0,1,1200.0,2800.0,-1600,-,
03/06/2024,3000000,3000000,46300,53200,39400,-,,139,46300,46300,46300,46300,-,46300,46300,,,83,167,500.0,500.0,,,6.0,3.0,3,500.0,500.0,-,-,
