Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,30000000,30000000,4900,5600,4200,1,0.0,147,4900,4900,4900,4900,-,4900,4900,,,1050,900,2099.0,899.0,1.0,0.0,2.0,1,1,2100.0,900,1200,-,
26/09/2024,30000000,30000000,4900,5600,4200,-,,147,4900,4900,4900,4900,-,4900,4900,,,100,1033,100.0,3100.0,,,1.0,3,-2,100.0,3100,-3000,-,
25/09/2024,30000000,30000000,4300,4900,3700,101,0.0,147,4900,4900,4900,4900,-,4900,4900,600.0,13.95,1040,1000,5099.0,899.0,101.0,0.0,5.0,1,4,5200.0,1000,4200,-,
24/09/2024,30000000,30000000,4300,4900,3700,-,,129,4300,4300,4300,4300,-,4300,4300,,,1300,1000,5200.0,1000.0,,,4.0,1,3,5200.0,1000,4200,-,
23/09/2024,30000000,30000000,4300,4900,3700,-,,129,4300,4300,4300,4300,-,4300,4300,,,325,1000,1300.0,1000.0,,,4.0,1,3,1300.0,1000,300,-,
20/09/2024,30000000,30000000,4300,4900,3700,-,,129,4300,4300,4300,4300,-,4300,4300,,,1225,100,4900.0,100.0,,,4.0,1,3,4900.0,100,4800,-,
19/09/2024,30000000,30000000,4000,4600,3400,1708,7.0,123,4600,4100,4600,4100,500,4306,4100,100.0,2.5,640,567,4692.0,,1708.0,7.0,10.0,3,7,6400.0,1700,4700,-,
18/09/2024,30000000,30000000,4000,4600,3400,1,0.0,120,4000,3700,4000,4000,-,4000,4000,-300.0,-7.5,1900,167,5699.0,499.0,1.0,0.0,3.0,3,-,5700.0,500,5200,-,
17/09/2024,30000000,30000000,4000,4600,3400,-,,120,4000,4000,4000,4000,-,4000,4000,,,3040,200,15200.0,400.0,,,5.0,2,3,15200.0,400,14800,-,
16/09/2024,30000000,30000000,4300,4900,3700,200,1.0,111,4300,3700,4300,3700,600,4000,3700,-600.0,-13.95,1909,250,20800.0,300.0,200.0,1.0,11.0,2,9,21000.0,500,20500,-,
13/09/2024,30000000,30000000,5000,5700,4300,100,0.0,129,4300,4300,4300,4300,-,4300,4300,-700.0,-14.0,67,200,100.0,300.0,100.0,0.0,3.0,2,1,200.0,400,-200,-,
12/09/2024,30000000,30000000,5800,6600,5000,500,3.0,150,5000,5000,5000,5000,-,5000,5000,-800.0,-13.79,250,433,,2100.0,500.0,3.0,2.0,6,-4,500.0,2600,-2100,-,
11/09/2024,30000000,30000000,5800,6600,5000,-,,174,5800,5800,5800,5800,-,5800,5800,,,-,1038,,8300.0,,,,8,-8,,8300,-8300,-,
10/09/2024,30000000,30000000,5800,6600,5000,-,,174,5800,5800,5800,5800,-,5800,5800,,,-,500,,3500.0,,,,7,-7,,3500,-3500,-,
09/09/2024,30000000,30000000,5800,6600,5000,-,,174,5800,5800,5800,5800,-,5800,5800,,,-,450,,2700.0,,,,6,-6,,2700,-2700,-,
06/09/2024,30000000,30000000,5800,6600,5000,-,,174,5800,5800,5800,5800,-,5800,5800,,,-,729,,5100.0,,,,7,-7,,5100,-5100,-,
05/09/2024,30000000,30000000,5800,6600,5000,-,,174,5800,5800,5800,5800,-,5800,5800,,,-,9500,,95000.0,,,,10,-10,,95000,-95000,-,
04/09/2024,30000000,30000000,6000,6900,5100,125,1.0,174,5800,5800,5800,5800,-,5800,5800,-200.0,-3.33,100,927,,10075.0,125.0,1.0,1.0,11,-10,100.0,10200,-10100,-,
30/08/2024,30000000,30000000,6000,6900,5100,2,0.0,180,6000,6000,6000,6000,-,6000,6000,,,-,5200,,51998.0,2.0,0.0,,10,-10,,52000,-52000,-,
29/08/2024,30000000,30000000,6000,6900,5100,-,,180,6000,6000,6000,6000,-,6000,6000,,,-,2244,,20200.0,,,,9,-9,,20200,-20200,-,
28/08/2024,30000000,30000000,6000,6900,5100,-,,180,6000,6000,6000,6000,-,6000,6000,,,-,2000,,20000.0,,,,10,-10,,20000,-20000,-,
27/08/2024,30000000,30000000,6000,6900,5100,21,0.0,180,6000,6000,6000,6000,-,6000,6000,,,-,1608,,20879.0,21.0,0.0,,13,-13,,20900,-20900,-,
26/08/2024,30000000,30000000,5600,6400,4800,103,1.0,180,6000,6000,6000,6000,-,6000,6000,400.0,7.14,100,492,,5797.0,103.0,1.0,1.0,12,-11,100.0,5900,-5800,-,
23/08/2024,30000000,30000000,5600,6400,4800,-,,168,5600,5600,5600,5600,-,5600,5600,,,-,1186,,8300.0,,,,7,-7,,8300,-8300,-,
22/08/2024,30000000,30000000,5600,6400,4800,16,0.0,168,5600,5600,5600,5600,-,5600,5600,,,-,622,,5584.0,16.0,0.0,,9,-9,,5600,-5600,-,
21/08/2024,30000000,30000000,5500,6300,4700,101,1.0,168,5600,5600,5600,5600,-,5600,5600,100.0,1.82,100,863,,6799.0,101.0,1.0,1.0,8,-7,100.0,6900,-6800,-,
20/08/2024,30000000,30000000,5500,6300,4700,-,,165,5500,5500,5500,5500,-,5500,5500,,,300,200,300.0,600.0,,,1.0,3,-2,300.0,600,-300,-,
19/08/2024,30000000,30000000,5500,6300,4700,17,0.0,165,5500,5500,5500,5500,-,5500,5500,,,300,588,283.0,4683.0,17.0,0.0,1.0,8,-7,300.0,4700,-4400,-,
16/08/2024,30000000,30000000,5500,6300,4700,-,,165,5500,5500,5500,5500,-,5500,5500,,,300,650,300.0,3900.0,,,1.0,6,-5,300.0,3900,-3600,-,
15/08/2024,30000000,30000000,4800,5500,4100,534,3.0,165,5500,5500,5500,5500,-,5500,5500,700.0,14.58,200,330,466.0,2766.0,534.0,3.0,5.0,10,-5,1000.0,3300,-2300,-,
14/08/2024,30000000,30000000,4800,5500,4100,-,,144,4800,4800,4800,4800,-,4800,4800,,,100,300,200.0,1200.0,,,2.0,4,-2,200.0,1200,-1000,-,
13/08/2024,30000000,30000000,4800,5500,4100,200,1.0,123,5400,4100,5400,4100,1300,4750,4100,-700.0,-14.58,186,4575,1100.0,36400.0,200.0,1.0,7.0,8,-1,1300.0,36600,-35300,-,
12/08/2024,30000000,30000000,4800,5500,4100,-,,144,4800,4800,4800,4800,-,4800,4800,,,-,550,,1100.0,,,,2,-2,,1100,-1100,-,
09/08/2024,30000000,30000000,4800,5500,4100,-,,144,4800,4800,4800,4800,-,4800,4800,,,-,367,,1100.0,,,,3,-3,,1100,-1100,-,
08/08/2024,30000000,30000000,4800,5500,4100,-,,144,4800,4800,4800,4800,-,4800,4800,,,-,280,,1400.0,,,,5,-5,,1400,-1400,-,
07/08/2024,30000000,30000000,4800,5500,4100,100,0.0,144,4800,4800,4800,4800,-,4800,4800,,,200,280,300.0,1300.0,100.0,0.0,2.0,5,-3,400.0,1400,-1000,-,
06/08/2024,30000000,30000000,4200,4800,3600,100,0.0,144,4800,4800,4800,4800,-,4800,4800,600.0,14.29,100,600,,1100.0,100.0,0.0,1.0,2,-1,100.0,1200,-1100,-,
05/08/2024,30000000,30000000,4200,4800,3600,-,,126,4200,4200,4200,4200,-,4200,4200,,,250,625,500.0,2500.0,,,2.0,4,-2,500.0,2500,-2000,-,
02/08/2024,30000000,30000000,4100,4700,3500,500,2.0,126,4200,4200,4200,4200,-,4200,4200,100.0,2.44,1867,567,5100.0,1200.0,500.0,2.0,3.0,3,-,5600.0,1700,3900,-,
01/08/2024,30000000,30000000,4100,4700,3500,7,0.0,123,4100,4100,4100,4100,-,4100,4100,,,233,433,693.0,1293.0,7.0,0.0,3.0,3,-,700.0,1300,-600,-,
31/07/2024,30000000,30000000,4100,4700,3500,-,,123,4100,4100,4100,4100,-,4100,4100,,,400,567,800.0,1700.0,,,2.0,3,-1,800.0,1700,-900,-,
30/07/2024,30000000,30000000,4100,4700,3500,-,,123,4100,4100,4100,4100,-,4100,4100,,,300,567,900.0,1700.0,,,3.0,3,-,900.0,1700,-800,-,
29/07/2024,30000000,30000000,4100,4700,3500,-,,123,4100,4100,4100,4100,-,4100,4100,,,433,567,1300.0,1700.0,,,3.0,3,-,1300.0,1700,-400,-,
26/07/2024,30000000,30000000,4100,4700,3500,-,,123,4100,4100,4100,4100,-,4100,4100,,,350,725,1400.0,2900.0,,,4.0,4,-,1400.0,2900,-1500,-,
25/07/2024,30000000,30000000,4100,4700,3500,-,,123,4100,4100,4100,4100,-,4100,4100,,,333,360,1000.0,1800.0,,,3.0,5,-2,1000.0,1800,-800,-,
24/07/2024,30000000,30000000,4100,4700,3500,-,,123,4100,4100,4100,4100,-,4100,4100,,,233,800,700.0,800.0,,,3.0,1,2,700.0,800,-100,-,
23/07/2024,30000000,30000000,4600,5200,4000,706,3.0,123,4000,4100,4100,4000,100,4071,4100,-500.0,-10.87,3450,343,13094.0,1694.0,706.0,3.0,4.0,7,-3,13800.0,2400,11400,-,
22/07/2024,30000000,30000000,4600,5200,4000,-,,138,4600,4600,4600,4600,-,4600,4600,,,5250,380,10500.0,1900.0,,,2.0,5,-3,10500.0,1900,8600,-,
19/07/2024,30000000,30000000,4600,5200,4000,6,0.0,138,4600,4600,4600,4600,-,4600,4600,,,500,300,494.0,1194.0,6.0,0.0,1.0,4,-3,500.0,1200,-700,-,
18/07/2024,30000000,30000000,4600,5200,4000,-,,138,4600,4600,4600,4600,-,4600,4600,,,600,475,600.0,1900.0,,,1.0,4,-3,600.0,1900,-1300,-,
17/07/2024,30000000,30000000,4300,4900,3700,2700,12.0,138,4600,4600,4600,4600,-,4600,4600,300.0,6.98,3450,638,11100.0,2400.0,2700.0,12.0,4.0,8,-4,13800.0,5100,8700,-,
16/07/2024,30000000,30000000,4300,4900,3700,-,,129,4300,4300,4300,4300,-,4300,4300,,,5300,1233,10600.0,3700.0,,,2.0,3,-1,10600.0,3700,6900,-,
15/07/2024,30000000,30000000,4400,5000,3800,128,1.0,129,4300,4300,4300,4300,-,4300,4300,-100.0,-2.27,2240,333,11072.0,1872.0,128.0,1.0,5.0,6,-1,11200.0,2000,9200,-,
12/07/2024,30000000,30000000,4400,5000,3800,-,,132,4400,4400,4400,4400,-,4400,4400,,,400,733,800.0,4400.0,,,2.0,6,-4,800.0,4400,-3600,-,
11/07/2024,30000000,30000000,4400,5000,3800,-,,132,4400,4400,4400,4400,-,4400,4400,,,1933,875,11600.0,3500.0,,,6.0,4,2,11600.0,3500,8100,-,
10/07/2024,30000000,30000000,4400,5000,3800,-,,132,4400,4400,4400,4400,-,4400,4400,,,2850,233,11400.0,700.0,,,4.0,3,1,11400.0,700,10700,-,
09/07/2024,30000000,30000000,4000,4600,3400,2200,10.0,126,4600,4200,4600,4200,400,4436,4200,200.0,5.0,2350,1100,21300.0,,2200.0,10.0,10.0,2,8,23500.0,2200,21300,-,
08/07/2024,30000000,30000000,4500,5100,3900,200,1.0,120,4000,4000,4000,4000,-,4000,4000,-500.0,-11.11,5100,400,10000.0,1800.0,200.0,1.0,2.0,5,-3,10200.0,2000,8200,-,
05/07/2024,30000000,30000000,4500,5100,3900,10,0.0,135,4500,4500,4500,4500,-,4500,4500,,,10000,467,9990.0,2790.0,10.0,0.0,1.0,6,-5,10000.0,2800,7200,-,
04/07/2024,30000000,30000000,4500,5100,3900,-,,135,4500,4500,4500,4500,-,4500,4500,,,500,329,500.0,2300.0,,,1.0,7,-6,500.0,2300,-1800,-,
03/07/2024,30000000,30000000,4500,5100,3900,-,,135,4500,4500,4500,4500,-,4500,4500,,,3600,450,10800.0,2700.0,,,3.0,6,-3,10800.0,2700,8100,-,
02/07/2024,30000000,30000000,4800,5500,4100,3500,16.0,135,4500,4500,4500,4500,-,4500,4500,-300.0,-6.25,5000,771,6500.0,1900.0,3500.0,16.0,2.0,7,-5,10000.0,5400,4600,-,
01/07/2024,30000000,30000000,4800,5500,4100,19,0.0,144,4800,4800,4800,4800,-,4800,4800,,,-,467,,2781.0,19.0,0.0,,6,-6,,2800,-2800,-,
28/06/2024,30000000,30000000,4800,5500,4100,-,,144,4800,4800,4800,4800,-,4800,4800,,,-,480,,2400.0,,,,5,-5,,2400,-2400,-,
27/06/2024,30000000,30000000,4800,5500,4100,200,1.0,144,4800,4800,4800,4800,-,4800,4800,,,500,450,1300.0,2500.0,200.0,1.0,3.0,6,-3,1500.0,2700,-1200,-,
26/06/2024,30000000,30000000,4200,4800,3600,100,0.0,144,4800,4800,4800,4800,-,4800,4800,600.0,14.29,600,1300,2900.0,1200.0,100.0,0.0,5.0,1,4,3000.0,1300,1700,-,
25/06/2024,30000000,30000000,4200,4800,3600,-,,126,4200,4200,4200,4200,-,4200,4200,,,1240,1000,6200.0,1000.0,,,5.0,1,4,6200.0,1000,5200,-,
24/06/2024,30000000,30000000,4200,4800,3600,300,1.0,126,4200,4200,4200,4200,-,4200,4200,,,730,450,7000.0,1500.0,300.0,1.0,10.0,4,6,7300.0,1800,5500,-,
21/06/2024,30000000,30000000,4300,4900,3700,1000,4.0,123,4200,4100,4200,4100,100,4180,4100,-200.0,-4.65,950,450,8500.0,800.0,1000.0,4.0,10.0,4,6,9500.0,1800,7700,-,
