Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12083009,12083009,55600,59400,51800,3900,216,672,55600,55600,55600,55400,200,55385,55600,,,383,430,4200,3600,3900,216,41.0,43.0,-2,15700.0,18500.0,-2800,-,
26/09/2024,12083009,12083009,55500,59300,51700,9200,511,672,55600,55600,55800,55500,300,55543,55600,100.0,0.18,434,508,3400,3600,9200,511,47.0,48.0,-1,20400.0,24400.0,-4000,-,
25/09/2024,12083009,12083009,55400,59200,51600,6300,349,671,55500,55500,55500,55500,-,55397,55500,100.0,0.18,341,574,3700,4600,6300,349,59.0,47.0,12,20100.0,27000.0,-6900,-,
24/09/2024,12083009,12083009,55300,59100,51500,9400,519,669,55300,55400,55400,55200,200,55213,55400,100.0,0.18,312,780,5100,6800,9400,519,69.0,50.0,19,21500.0,39000.0,-17500,-,
23/09/2024,12083009,12083009,55200,59000,51400,2900,160,668,55000,55300,55600,55000,600,55172,55300,100.0,0.18,485,514,6500,1700,2900,160,52.0,44.0,8,25200.0,22600.0,2600,-,
20/09/2024,12083009,12083009,55200,59000,51400,2900,159,667,55100,55200,55200,55000,200,54828,55200,,,200,536,3800,6200,2900,159,67.0,33.0,34,13400.0,17700.0,-4300,-,
19/09/2024,12083009,12083009,55400,59200,51600,3400,188,667,55400,55200,55500,55200,300,55294,55200,-200.0,-0.36,251,563,2000,5400,3400,188,63.0,43.0,20,15800.0,24200.0,-8400,-,
18/09/2024,12083009,12083009,55300,59100,51500,232685,12797,669,55300,55400,55400,55300,100,54667,55400,100.0,0.18,228,426,3100,4700,1500,82,53.0,34.0,19,12100.0,14500.0,-2400,231185,12715.0
17/09/2024,12083009,12083009,55400,59200,51600,5200,287,668,55400,55300,55400,55300,100,55192,55300,-100.0,-0.18,271,369,900,2800,5200,287,56.0,39.0,17,15200.0,14400.0,800,-,
16/09/2024,12083009,12083009,55200,59000,51400,3600,198,669,55200,55400,55400,55100,300,55000,55400,200.0,0.36,405,413,3900,2100,3600,198,40.0,32.0,8,16200.0,13200.0,3000,-,
13/09/2024,12083009,12083009,55300,59100,51500,3500,193,667,55200,55200,55200,55000,200,55143,55200,-100.0,-0.18,389,483,4600,1400,3500,193,61.0,41.0,20,23700.0,19800.0,3900,-,
12/09/2024,12083009,12083009,55000,58800,51200,2700,148,668,55000,55300,55300,55000,300,54815,55300,300.0,0.55,331,527,2600,8000,2700,148,67.0,45.0,22,22200.0,23700.0,-1500,-,
11/09/2024,12083009,12083009,54800,58600,51000,8800,481,665,55300,55000,55300,54600,700,54659,55000,200.0,0.36,347,800,1600,3800,8800,481,97.0,46.0,51,33700.0,36800.0,-3100,-,
10/09/2024,12083009,12083009,55000,58800,51200,3100,170,662,55000,54800,55100,54800,300,54839,54800,-200.0,-0.36,290,487,4000,8700,3100,170,69.0,45.0,24,20000.0,21900.0,-1900,-,
09/09/2024,12083009,12083009,55400,59200,51600,6200,341,665,55200,55000,55200,55000,200,55000,55000,-400.0,-0.72,227,1318,4300,11500,6200,341,74.0,38.0,36,16800.0,50100.0,-33300,-,
06/09/2024,12083009,12083009,55500,59300,51700,3500,193,669,55000,55400,55400,55000,400,55143,55400,-100.0,-0.18,324,624,2600,3400,3500,193,59.0,50.0,9,19100.0,31200.0,-12100,-,
05/09/2024,12083009,12083009,55400,59200,51600,9200,506,671,55500,55500,55500,55000,500,55000,55500,100.0,0.18,423,819,2100,3500,9200,506,60.0,48.0,12,25400.0,39300.0,-13900,-,
04/09/2024,12083009,12083009,55300,59100,51500,17300,960,669,55300,55400,56000,54800,1200,55491,55400,100.0,0.18,500,615,4400,8000,17300,960,83.0,61.0,22,41500.0,37500.0,4000,-,
30/08/2024,12083009,12083009,55400,59200,51600,9900,548,668,55400,55300,55600,55000,600,55354,55300,-100.0,-0.18,341,361,1700,4900,9900,548,34.0,41.0,-7,11600.0,14800.0,-3200,-,
29/08/2024,12083009,12083009,55400,59200,51600,11600,641,669,55400,55400,55500,55100,400,55259,55400,,,402,531,5600,8500,11600,641,86.0,61.0,25,34600.0,32400.0,2200,-,
28/08/2024,12083009,12083009,55200,59000,51400,12400,682,669,55100,55400,55400,55000,400,55000,55400,200.0,0.36,331,878,5600,11900,12400,682,88.0,46.0,42,29100.0,40400.0,-11300,-,
27/08/2024,12083009,12083009,55000,58800,51200,100100,5506,667,55400,55200,55400,55000,400,55035,55200,200.0,0.36,542,855,8200,14900,14100,776,65.0,53.0,12,35200.0,45300.0,-10100,86000,4730.0
26/08/2024,12083009,12083009,55100,58900,51300,13100,725,665,55600,55000,55600,55000,600,55344,55000,-100.0,-0.18,436,771,11900,10300,13100,725,78.0,58.0,20,34000.0,44700.0,-10700,-,
23/08/2024,12083009,12083009,55200,59000,51400,4900,270,666,55200,55100,55500,55100,400,55102,55100,-100.0,-0.18,262,488,3700,4200,4900,270,78.0,51.0,27,20400.0,24900.0,-4500,-,
22/08/2024,12083009,12083009,55100,58900,51300,5700,315,667,55400,55200,55500,55200,300,55263,55200,100.0,0.18,369,495,3600,9100,5700,315,74.0,44.0,30,27300.0,21800.0,5500,-,
21/08/2024,12083009,12083009,55200,59000,51400,12300,679,666,55400,55100,55400,55000,400,55203,55100,-100.0,-0.18,298,705,3500,4800,12300,679,94.0,41.0,53,28000.0,28900.0,-900,-,
20/08/2024,12083009,12083009,55000,58800,51200,8500,469,667,55000,55200,55400,54800,600,55176,55200,200.0,0.36,269,524,1300,6000,8500,469,78.0,58.0,20,21000.0,30400.0,-9400,-,
19/08/2024,12083009,12083009,55200,59000,51400,10900,603,665,55400,55000,56000,55000,1000,55321,55000,-200.0,-0.36,440,555,2500,4500,10900,603,87.0,66.0,21,38300.0,36600.0,1700,-,
16/08/2024,12083009,12083009,55000,58800,51200,5600,308,667,55000,55200,55200,55000,200,55000,55200,200.0,0.36,335,474,2200,8000,5600,308,51.0,43.0,8,17100.0,20400.0,-3300,-,
15/08/2024,12083009,12083009,54600,58400,50800,5000,273,665,55100,55000,55100,54400,700,54600,55000,400.0,0.73,232,257,2200,2700,5000,273,31.0,30.0,1,7200.0,7700.0,-500,-,
14/08/2024,12083009,12083009,55000,58800,51200,3400,186,660,55000,54600,55100,54600,500,54706,54600,-400.0,-0.73,238,239,4700,900,3400,186,34.0,18.0,16,8100.0,4300.0,3800,-,
13/08/2024,12083009,12083009,54900,58700,51100,1400,77,665,54900,55000,55400,54900,500,55000,55000,100.0,0.18,115,268,900,3700,1400,77,20.0,19.0,1,2300.0,5100.0,-2800,-,
12/08/2024,12083009,12083009,54600,58400,50800,3400,185,663,54600,54900,54900,54600,300,54412,54900,300.0,0.55,229,361,2100,3100,3400,185,24.0,18.0,6,5500.0,6500.0,-1000,-,
09/08/2024,12083009,12083009,54500,58300,50700,4400,241,660,54500,54600,55200,54500,700,54773,54600,100.0,0.18,311,252,4300,1400,4400,241,28.0,23.0,5,8700.0,5800.0,2900,-,
08/08/2024,12083009,12083009,54400,58200,50600,5300,289,659,55000,54500,55000,54400,600,54528,54500,100.0,0.18,425,258,8300,1400,5300,289,32.0,26.0,6,13600.0,6700.0,6900,-,
07/08/2024,12083009,12083009,54300,58100,50500,10000,544,657,54200,54400,55000,54200,800,54400,54400,100.0,0.18,340,320,3600,2800,10000,544,40.0,40.0,-,13600.0,12800.0,800,-,
