Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
13/06/2024,1229579,1229579,14400,16500,12300,-,,18,14400,14400,14400,14400,-,14400,14400,,,189,-,1700,,,,9,,9,1700,,1700,-,
12/06/2024,1229579,1229579,14400,16500,12300,100,1.0,18,14400,14400,14400,14400,-,14400,14400,,,233,50,600,,100.0,1.0,3,2.0,1,700,100.0,600,-,
11/06/2024,1229579,1229579,12600,14400,10800,400,6.0,18,14400,14400,14400,14400,-,14400,14400,1800.0,14.29,373,100,3700,,400.0,6.0,11,4.0,7,4100,400.0,3700,-,
10/06/2024,1229579,1229579,11000,12600,9400,100,1.0,15,12600,12600,12600,12600,-,12600,12600,1600.0,14.55,138,100,1000,,100.0,1.0,8,1.0,7,1100,100.0,1000,-,
07/06/2024,1229579,1229579,7900,11000,4800,300,3.0,14,11000,11000,11000,11000,-,11000,11000,3100.0,39.24,888,300,6800,,300.0,3.0,8,1.0,7,7100,300.0,6800,-,
06/06/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
05/06/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
04/06/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
03/06/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
31/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
30/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
29/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
28/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
27/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
24/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
23/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
22/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
21/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
20/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
17/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,100,-,300,,,,3,,3,300,,300,-,
16/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,60,-,300,,,,5,,5,300,,300,-,
15/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,317,-,1900,,,,6,,6,1900,,1900,-,
14/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,360,-,1800,,,,5,,5,1800,,1800,-,
13/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,360,-,1800,,,,5,,5,1800,,1800,-,
10/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,317,-,1900,,,,6,,6,1900,,1900,-,
09/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,360,-,1800,,,,5,,5,1800,,1800,-,
08/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,360,-,1800,,,,5,,5,1800,,1800,-,
07/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,360,-,1800,,,,5,,5,1800,,1800,-,
06/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,425,-,1700,,,,4,,4,1700,,1700,-,
03/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,425,-,1700,,,,4,,4,1700,,1700,-,
02/05/2024,1229579,1229579,7900,11000,4800,-,,10,7900,7900,7900,7900,-,7900,7900,,,425,-,1700,,,,4,,4,1700,,1700,-,
