Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,18059832,18059832,4080,4360,3800,100,,73,4040,4040,4040,4040,-,,4000,-40.0,-0.98,992,615,1000.0,4300.0,100.0,,13.0,20.0,-7,12900.0,12300.0,600,-,
26/09/2024,18059832,18059832,3930,4200,3660,1100,4.0,74,3900,4080,4100,3780,320,3636.0,4100,150.0,3.82,418,539,1300.0,4100.0,1100.0,4.0,22.0,28.0,-6,9200.0,15100.0,-5900,-,
25/09/2024,18059832,18059832,3940,4210,3670,24200,94.0,71,3800,3930,4160,3800,360,3884.0,3900,-10.0,-0.25,1505,1736,5000.0,600.0,24200.0,94.0,38.0,44.0,-6,57200.0,76400.0,-19200,-,
24/09/2024,18059832,18059832,3900,4170,3630,1500,5.0,71,3850,3940,3940,3850,90,3333.0,3900,40.0,1.03,1048,1360,10800.0,4700.0,1500.0,5.0,23.0,25.0,-2,24100.0,34000.0,-9900,-,
23/09/2024,18059832,18059832,3940,4210,3670,13700,53.0,70,3800,3900,3900,3710,190,3869.0,3900,-40.0,-1.02,1475,1513,2700.0,2500.0,13700.0,53.0,32.0,24.0,8,47200.0,36300.0,10900,-,
20/09/2024,18059832,18059832,3860,4130,3590,15700,62.0,71,4120,3940,4120,3810,310,3949.0,3900,80.0,2.07,1688,1022,4100.0,1600.0,15700.0,62.0,52.0,51.0,1,87800.0,52100.0,35700,-,
19/09/2024,18059832,18059832,3710,3960,3460,3600,13.0,70,3720,3860,3860,3710,150,3611.0,3900,150.0,4.04,915,2013,3600.0,1100.0,3600.0,13.0,20.0,16.0,4,18300.0,32200.0,-13900,-,
18/09/2024,18059832,18059832,3710,3960,3460,-,,67,3710,3710,3710,3710,-,,3700,,,527,1927,7300.0,15500.0,,,22.0,15.0,7,11600.0,28900.0,-17300,-,
17/09/2024,18059832,18059832,3710,3960,3460,200,,67,3710,3710,3710,3710,-,,3700,,,559,1511,1200.0,2100.0,200.0,,17.0,9.0,8,9500.0,13600.0,-4100,-,
16/09/2024,18059832,18059832,3760,4020,3500,7700,28.0,67,3760,3710,3830,3700,130,3636.0,3700,-50.0,-1.33,814,1000,2900.0,1500.0,7700.0,28.0,29.0,37.0,-8,23600.0,37000.0,-13400,-,
13/09/2024,18059832,18059832,3740,4000,3480,1500,5.0,68,3740,3760,3900,3740,160,3333.0,3800,20.0,0.53,855,1979,4300.0,1900.0,1500.0,5.0,22.0,33.0,-11,18800.0,65300.0,-46500,-,
12/09/2024,18059832,18059832,3720,3980,3460,11500,44.0,68,3800,3740,3920,3730,190,3826.0,3700,20.0,0.54,936,718,6500.0,2400.0,11500.0,44.0,44.0,49.0,-5,41200.0,35200.0,6000,-,
11/09/2024,18059832,18059832,3880,4150,3610,2300,8.0,67,3880,3720,3880,3700,180,3478.0,3700,-160.0,-4.12,913,1143,2900.0,2400.0,2300.0,8.0,23.0,30.0,-7,21000.0,34300.0,-13300,-,
10/09/2024,18059832,18059832,3960,4230,3690,2600,10.0,70,3960,3880,3960,3760,200,3846.0,3900,-80.0,-2.02,474,991,2100.0,2200.0,2600.0,10.0,34.0,35.0,-1,16100.0,34700.0,-18600,-,
09/09/2024,18059832,18059832,3880,4150,3610,5200,20.0,72,3880,3960,3960,3680,280,3846.0,4000,80.0,2.06,1967,846,3100.0,9300.0,5200.0,20.0,33.0,39.0,-6,64900.0,33000.0,31900,-,
06/09/2024,18059832,18059832,3900,4170,3630,2100,8.0,70,3850,3880,3880,3850,30,3810.0,3900,-20.0,-0.51,775,1308,2600.0,4200.0,2100.0,8.0,16.0,26.0,-10,12400.0,34000.0,-21600,-,
