Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8352573,8352573,25000,27500,22500,4100,101.0,209,25500,25000,25500,24500,1000,24678,25000,,,391,369,4900,8800.0,4100.0,101.0,23,35,-12,9000,12900,-3900,-,
26/09/2024,8352573,8352573,24600,27000,22200,7217,178.0,209,24600,25000,25000,24500,500,24676,25000,400.0,1.63,532,427,7683,6883.0,7217.0,178.0,28,33,-5,14900,14100,800,-,
25/09/2024,8352573,8352573,24600,27000,22200,8405,205.0,205,24200,24600,24600,24200,400,24338,24600,,,450,500,6895,4095.0,8405.0,205.0,34,25,9,15300,12500,2800,-,
24/09/2024,8352573,8352573,24800,27200,22400,21700,525.0,205,24200,24600,24800,24000,800,24179,24600,-200.0,-0.81,397,571,8100,5700.0,21700.0,525.0,75,48,27,29800,27400,2400,-,
23/09/2024,8352573,8352573,24200,26600,21800,7003,170.0,207,24300,24800,24800,24000,800,24286,24800,600.0,2.48,584,575,7597,4497.0,7003.0,170.0,25,20,5,14600,11500,3100,-,
20/09/2024,8352573,8352573,24800,27200,22400,13301,325.0,202,24800,24200,25200,24000,1200,24504,24200,-600.0,-2.42,406,543,6999,11699.0,13301.0,325.0,50,46,4,20300,25000,-4700,-,
19/09/2024,8352573,8352573,24800,27200,22400,3517,85.0,207,25400,24800,25400,24000,1400,24138,24800,,,430,433,12383,6883.0,3517.0,85.0,37,24,13,15900,10400,5500,-,
18/09/2024,8352573,8352573,24800,27200,22400,2304,57.0,207,24300,24800,24900,24300,600,24527,24800,,,400,519,7696,11196.0,2304.0,57.0,25,26,-1,10000,13500,-3500,-,
17/09/2024,8352573,8352573,24900,27300,22500,5500,134.0,207,25300,24800,25300,24000,1300,24446,24800,-100.0,-0.4,373,503,4200,9100.0,5500.0,134.0,26,29,-3,9700,14600,-4900,-,
16/09/2024,8352573,8352573,25000,27500,22500,662,16.0,208,25000,24900,25000,24500,500,24650,24900,-100.0,-0.4,248,547,5038,8638.0,662.0,16.0,23,17,6,5700,9300,-3600,-,
13/09/2024,8352573,8352573,24500,26900,22100,2601,65.0,209,25000,25000,25000,24600,400,24931,25000,500.0,2.04,657,533,11199,8599.0,2601.0,65.0,21,21,-,13800,11200,2600,-,
12/09/2024,8352573,8352573,25200,27700,22700,14138,349.0,205,24900,24500,25000,24500,500,24708,24500,-700.0,-2.78,544,828,11962,9862.0,14138.0,349.0,48,29,19,26100,24000,2100,-,
11/09/2024,8352573,8352573,25200,27700,22700,1100,27.0,210,24900,25200,25200,24800,400,24873,25200,,,510,867,9100,11900.0,1100.0,27.0,20,15,5,10200,13000,-2800,-,
10/09/2024,8352573,8352573,25400,27900,22900,3003,76.0,210,25400,25200,25400,25000,400,25200,25200,-200.0,-0.79,317,1525,4297,33597.0,3003.0,76.0,23,24,-1,7300,36600,-29300,-,
09/09/2024,8352573,8352573,25800,28300,23300,6602,166.0,212,25000,25400,25500,25000,500,25089,25400,-400.0,-1.55,473,703,7598,16598.0,6602.0,166.0,30,33,-3,14200,23200,-9000,-,
06/09/2024,8352573,8352573,25500,28000,23000,4100,103.0,215,25000,25800,26000,25000,1000,25046,25800,300.0,1.18,461,813,10200,20300.0,4100.0,103.0,31,30,1,14300,24400,-10100,-,
05/09/2024,8352573,8352573,25500,28000,23000,4800,119.0,213,25900,25500,25900,24600,1300,24717,25500,,,461,593,12700,11200.0,4800.0,119.0,38,27,11,17500,16000,1500,-,
04/09/2024,8352573,8352573,25700,28200,23200,26640,661.0,213,25700,25500,25800,24700,1100,24818,25500,-200.0,-0.78,1343,1427,10960,10460.0,26640.0,661.0,28,26,2,37600,37100,500,-,
30/08/2024,8352573,8352573,26000,28600,23400,2640,67.0,215,26000,25700,26000,25000,1000,25188,25700,-300.0,-1.15,396,772,6860,11260.0,2640.0,67.0,24,18,6,9500,13900,-4400,-,
29/08/2024,8352573,8352573,25000,27500,22500,425,11.0,217,24500,26000,26000,24500,1500,25625,26000,1000.0,4.0,216,356,3675,5275.0,425.0,11.0,19,16,3,4100,5700,-1600,-,
28/08/2024,8352573,8352573,25500,28000,23000,7100,178.0,209,25000,25000,25000,25000,-,25000,25000,-500.0,-1.96,338,1357,4400,11900.0,7100.0,178.0,34,14,20,11500,19000,-7500,-,
27/08/2024,8352573,8352573,25100,27600,22600,2311,59.0,213,25200,25500,25800,25100,700,25339,25500,400.0,1.59,296,1000,5089,22689.0,2311.0,59.0,25,25,-,7400,25000,-17600,-,
26/08/2024,8352573,8352573,26400,29000,23800,3001,77.0,210,27700,25100,27700,25100,2600,25727,25100,-1300.0,-4.92,445,541,5899,14299.0,3001.0,77.0,20,32,-12,8900,17300,-8400,-,
23/08/2024,8352573,8352573,26600,29200,24000,2900,76.0,221,26500,26400,26500,25800,700,26252,26400,-200.0,-0.75,358,763,3900,11600.0,2900.0,76.0,19,19,-,6800,14500,-7700,-,
22/08/2024,8352573,8352573,26700,29300,24100,104,3.0,222,26600,26600,26600,26600,-,26700,26600,-100.0,-0.37,220,563,2096,8896.0,104.0,3.0,10,16,-6,2200,9000,-6800,-,
21/08/2024,8352573,7263210,26700,29300,24100,61,2.0,194,26700,26700,26700,26700,-,26700,26700,,,253,553,3739,8239.0,61.0,2.0,15,15,-,3800,8300,-4500,-,
20/08/2024,8352573,7263210,26500,29100,23900,1708,45.0,194,26000,26700,26800,25800,1000,26165,26700,200.0,0.75,292,500,5292,7792.0,1708.0,45.0,24,19,5,7000,9500,-2500,-,
19/08/2024,8352573,7263210,26700,29300,24100,926,25.0,192,26500,26500,26500,26500,-,26500,26500,-200.0,-0.75,263,491,3274,9874.0,926.0,25.0,16,22,-6,4200,10800,-6600,-,
16/08/2024,8352573,7263210,26700,29300,24100,203,5.0,194,26700,26700,26700,26700,-,26700,26700,,,254,467,3097,8197.0,203.0,5.0,13,18,-5,3300,8400,-5100,-,
15/08/2024,8352573,7263210,25500,28000,23000,902,24.0,194,26700,26700,26700,26700,-,26700,26700,1200.0,4.71,274,547,4298,9498.0,902.0,24.0,19,19,-,5200,10400,-5200,-,
