Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,13488800,13488800,2600,2900,2300,6629,17,34,2600,2500,2600,2500,100,2598,2500,-100.0,-3.85,4803,2961,180671,182871.0,6629,17,39,64,-25,187300,189500,-2200,-,
26/09/2024,13488800,13488800,2500,2800,2200,30621,79,35,2500,2600,2600,2500,100,2577,2600,100.0,4.0,2964,3440,150179,186079.0,30621,79,61,63,-2,180800,216700,-35900,-,
25/09/2024,13488800,13488800,2500,2800,2200,25200,63,34,2400,2500,2600,2400,200,2508,2500,,,3536,3128,141000,118700.0,25200,63,47,46,1,166200,143900,22300,-,
24/09/2024,13488800,13488800,2500,2800,2200,14000,35,32,2500,2400,2500,2400,100,2499,2400,-100.0,-4.0,4527,1626,135400,54300.0,14000,35,33,42,-9,149400,68300,81100,-,
23/09/2024,13488800,13488800,2500,2800,2200,27650,70,34,2500,2500,2600,2500,100,2514,2500,,,3761,2550,164150,84550.0,27650,70,51,44,7,191800,112200,79600,-,
20/09/2024,13488800,13488800,2600,2900,2300,55294,139,34,2600,2500,2700,2500,200,2520,2500,-100.0,-3.85,4241,2589,216106,164806.0,55294,139,64,85,-21,271400,220100,51300,-,
19/09/2024,13488800,13488800,2600,2900,2300,11123,28,35,2600,2600,2700,2500,200,2560,2600,,,3187,2805,189677,199277.0,11123,28,63,75,-12,200800,210400,-9600,-,
18/09/2024,13488800,13488800,2500,2800,2200,49942,130,35,2600,2600,2700,2600,100,2609,2600,100.0,4.0,2174,2803,147858,140658.0,49942,130,91,68,23,197800,190600,7200,-,
17/09/2024,13488800,13488800,2500,2800,2200,31439,79,35,2500,2600,2600,2500,100,2504,2600,100.0,4.0,2645,3524,198661,148261.0,31439,79,87,51,36,230100,179700,50400,-,
