Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,16229042,16229042,162800,187200,138400,100,17.0,2759,170000,170000,170000,170000,-,170000,170000,7200.0,4.42,273,467,2900.0,6900,100.0,17.0,11.0,15,-4,3000.0,7000,-4000,-,
26/09/2024,16229042,16229042,162800,187200,138400,-,,2642,162800,162800,162800,162800,-,162800,162800,,,450,413,2700.0,3300,,,6.0,8,-2,2700.0,3300,-600,-,
25/09/2024,16229042,16229042,162800,187200,138400,-,,2642,162800,162800,162800,162800,-,162800,162800,,,290,292,2900.0,3500,,,10.0,12,-2,2900.0,3500,-600,-,
24/09/2024,16229042,16229042,154000,177100,130900,301,49.0,2597,168500,160000,168500,160000,8500,162833,160000,6000.0,3.9,246,507,2899.0,7299,301.0,49.0,13.0,15,-2,3200.0,7600,-4400,-,
23/09/2024,16229042,16229042,164400,189000,139800,300,46.0,2757,142100,169900,169900,142100,27800,154033,169900,5500.0,3.35,185,176,4500.0,2700,300.0,46.0,26.0,17,9,4800.0,3000,1800,-,
20/09/2024,16229042,16229042,164400,189000,139800,-,,2668,164400,164400,164400,164400,-,164400,164400,,,276,175,4700.0,2100,,,17.0,12,5,4700.0,2100,2600,-,
19/09/2024,16229042,16229042,168200,193400,143000,1389,229.0,2709,170000,166900,170000,160000,10000,164377,166900,-1300.0,-0.77,177,420,911.0,7011,1389.0,229.0,13.0,20,-7,2300.0,8400,-6100,-,
18/09/2024,16229042,16229042,165400,190200,140600,200,34.0,2726,168400,168000,168400,168000,400,168200,168000,2600.0,1.57,126,221,2200.0,2900,200.0,34.0,19.0,14,5,2400.0,3100,-700,-,
17/09/2024,16229042,16229042,173000,198900,147100,2521,417.0,2733,169900,168400,169900,160000,9900,165416,168400,-4600.0,-2.66,283,288,4279.0,4379,2521.0,417.0,24.0,24,-,6800.0,6900,-100,-,
16/09/2024,16229042,16229042,173000,198900,147100,1,0.0,2808,173000,173000,173000,173000,-,173000,173000,,,163,185,1299.0,2399,1.0,0.0,8.0,13,-5,1300.0,2400,-1100,-,
13/09/2024,16229042,16229042,173000,198900,147100,-,,2808,173000,173000,173000,173000,-,173000,173000,,,100,264,1300.0,3700,,,13.0,14,-1,1300.0,3700,-2400,-,
12/09/2024,16229042,16229042,173000,198900,147100,-,,2808,173000,173000,173000,173000,-,173000,173000,,,88,174,700.0,3300,,,8.0,19,-11,700.0,3300,-2600,-,
11/09/2024,16229042,16229042,173000,198900,147100,6,1.0,2808,173000,173000,173000,173000,-,173000,173000,,,91,506,994.0,8094,6.0,1.0,11.0,16,-5,1000.0,8100,-7100,-,
10/09/2024,16229042,16229042,161800,186000,137600,103,18.0,2808,173000,173000,173000,173000,-,173000,173000,11200.0,6.92,269,148,3397.0,3597,103.0,18.0,13.0,25,-12,3500.0,3700,-200,-,
09/09/2024,16229042,16229042,150200,172700,127700,1407,228.0,2442,151000,150500,165000,150500,14500,161786,150500,300.0,0.2,243,346,3693.0,6893,1407.0,228.0,21.0,24,-3,5100.0,8300,-3200,-,
06/09/2024,16229042,16229042,149700,172100,127300,1803,271.0,2442,149800,150500,150500,149800,700,150217,150500,800.0,0.53,200,200,1397.0,797,1803.0,271.0,16.0,13,3,3200.0,2600,600,-,
05/09/2024,16229042,16229042,149700,172100,127300,5,1.0,2429,149700,146000,149700,149700,-,149700,149700,-3700.0,-2.47,175,410,2095.0,4095,5.0,1.0,12.0,10,2,2100.0,4100,-2000,-,
04/09/2024,16229042,16229042,144400,166000,122800,1200,180.0,2369,150000,146000,150000,146000,4000,149658,146000,1600.0,1.11,207,173,1700.0,1400,1200.0,180.0,14.0,15,-1,2900.0,2600,300,-,
30/08/2024,16229042,16229042,142300,163600,121000,2200,318.0,2434,142000,150000,150000,142000,8000,144382,150000,7700.0,5.41,244,255,2200.0,600,2200.0,318.0,18.0,11,7,4400.0,2800,1600,-,
29/08/2024,16229042,16229042,141700,162900,120500,100,14.0,2309,142300,142300,142300,142300,-,142300,142300,600.0,0.42,142,133,1600.0,1100,100.0,14.0,12.0,9,3,1700.0,1200,500,-,
28/08/2024,16229042,16229042,141700,162900,120500,10,1.0,2300,141700,142000,141700,141700,-,141700,141700,300.0,0.21,63,167,490.0,1490,10.0,1.0,8.0,9,-1,500.0,1500,-1000,-,
27/08/2024,16229042,16229042,141000,162100,119900,500,71.0,2305,142500,142000,142500,141000,1500,141700,142000,1000.0,0.71,82,191,900.0,1600,500.0,71.0,17.0,11,6,1400.0,2100,-700,-,
