Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8151820,8151820,18100,19350,16850,100,1.0,157,19250,19250,19250,19250,-,10000.0,19300,1150.0,6.35,50,171,,800.0,100.0,1.0,2.0,7.0,-5,100.0,1200.0,-1100,-,
26/09/2024,8151820,8151820,17000,18150,15850,1700,27.0,148,17000,18100,18100,15900,2200,15882.0,18100,1100.0,6.47,306,450,1500.0,400.0,1700.0,27.0,16.0,8.0,8,4900.0,3600.0,1300,-,
25/09/2024,8151820,8151820,17500,18700,16300,700,11.0,139,16350,17000,17000,16350,650,15714.0,17000,-500.0,-2.86,154,188,1100.0,500.0,700.0,11.0,13.0,8.0,5,2000.0,1500.0,500,-,
24/09/2024,8151820,8151820,18000,19250,16750,300,5.0,143,17500,17500,17500,17500,-,16667.0,17500,-500.0,-2.78,250,471,,2100.0,300.0,5.0,2.0,7.0,-5,500.0,3300.0,-2800,-,
23/09/2024,8151820,8151820,18950,20250,17650,300,5.0,147,18000,18000,18000,18000,-,16667.0,18000,-950.0,-5.01,100,450,,800.0,300.0,5.0,3.0,8.0,-5,300.0,3600.0,-3300,-,
20/09/2024,8151820,8151820,18950,20250,17650,-,,154,18950,18950,18950,18950,-,,19000,,,-,388,,2800.0,,,,8.0,-8,,3100.0,-3100,-,
19/09/2024,8151820,8151820,18950,20250,17650,-,,154,18950,18950,18950,18950,-,,19000,,,-,117,,600.0,,,2.0,6.0,-4,,700.0,-700,-,
18/09/2024,8151820,8151820,18950,20250,17650,-,,154,18950,18950,18950,18950,-,,19000,,,-,83,,500.0,,,,6.0,-6,,500.0,-500,-,
17/09/2024,8151820,8151820,17900,19150,16650,100,1.0,154,18950,18950,18950,18950,-,10000.0,19000,1050.0,5.87,50,156,100.0,700.0,100.0,1.0,6.0,9.0,-3,300.0,1400.0,-1100,-,
