Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
08/07/2024,5280000,5264000,42300,48600,36000,-,,223,42300,42300,42300,42300,-,42300,42300,,,2056,-,18500.0,,,,9.0,,9,18500.0,,18500,-,
05/07/2024,5280000,5264000,43000,49400,36600,300,13.0,221,43000,42000,43000,42000,1000,42333,42000,-1000.0,-2.33,1443,150,9800.0,,300.0,13.0,7.0,2.0,5,10100.0,300.0,9800,-,
04/07/2024,5280000,5264000,43500,50000,37000,4900,211.0,226,43000,43000,43000,43000,-,43000,43000,-500.0,-1.15,1492,667,13000.0,1100.0,4900.0,211.0,12.0,9.0,3,17900.0,6000.0,11900,-,
03/07/2024,5280000,5264000,43500,50000,37000,-,,229,43500,43500,43500,43500,-,43500,43500,,,1700,750,1700.0,1500.0,,,1.0,2.0,-1,1700.0,1500.0,200,-,
02/07/2024,5280000,5264000,44000,50600,37400,2400,104.0,226,44000,43000,44000,43000,1000,43458,43000,-1000.0,-2.27,820,680,1700.0,1000.0,2400.0,104.0,5.0,5.0,-,4100.0,3400.0,700,-,
01/07/2024,5280000,5264000,45000,51700,38300,2700,113.0,232,44000,44000,44000,44000,-,44000,44000,-1000.0,-2.22,575,240,1100.0,,1200.0,53.0,4.0,5.0,-1,2300.0,1200.0,1100,1500,60.0
28/06/2024,5280000,5264000,45800,52600,39000,2300,104.0,232,45500,44000,46100,44000,2100,45035,44000,-1800.0,-3.93,720,571,1300.0,1700.0,2300.0,104.0,5.0,7.0,-2,3600.0,4000.0,-400,-,
27/06/2024,5280000,5264000,44000,50600,37400,600,28.0,242,45000,46000,46000,45000,1000,45833,46000,2000.0,4.55,213,267,1100.0,1800.0,600.0,28.0,8.0,9.0,-1,1700.0,2400.0,-700,-,
26/06/2024,5280000,5264000,44000,50600,37400,-,,232,44000,44000,44000,44000,-,44000,44000,,,550,350,1100.0,700.0,,,2.0,2.0,-,1100.0,700.0,400,-,
