Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
26/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
25/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
24/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
23/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
20/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
19/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
18/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
17/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,150,-,300.0,,,,2.0,,2,300.0,,300,-,
13/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,-,-,,,,,1.0,,1,,,-,-,
12/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
11/09/2024,2345000,2345000,20500,23500,17500,-,,48,20500,20500,20500,20500,-,20500,20500,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
10/09/2024,2345000,2345000,21000,24100,17900,2735,56.0,48,20500,20500,20500,20500,-,20500,20500,-500.0,-2.38,960,2700,2065.0,,2735.0,56.0,5.0,1.0,4,4800.0,2700.0,2100,-,
09/09/2024,2345000,2345000,21000,24100,17900,1,0.0,49,21000,21000,21000,21000,-,21000,21000,,,100,-,199.0,,1.0,0.0,2.0,,2,200.0,,200,-,
06/09/2024,2345000,2345000,21000,24100,17900,-,,49,21000,21000,21000,21000,-,21000,21000,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
