Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,10219484,9965584,10800,11800,9800,320,3.0,108,11000,10800,11000,10800,200,11000,10800,,,258,319,2780.0,4780.0,320.0,3.0,12.0,16,-4,3100.0,5100,-2000,-,
26/09/2024,10219484,9965584,11000,12100,9900,100,1.0,108,10800,10800,10800,10800,-,10800,10800,-200.0,-1.82,242,373,2800.0,4000.0,100.0,1.0,12.0,11,1,2900.0,4100,-1200,-,
25/09/2024,10219484,9965584,10800,11800,9800,600,7.0,110,10800,11000,11000,10800,200,10883,11000,200.0,1.85,231,321,3100.0,3900.0,600.0,7.0,16.0,14,2,3700.0,4500,-800,-,
24/09/2024,10219484,9965584,10800,11800,9800,200,2.0,108,10800,10800,10800,10800,-,10800,10800,,,262,300,3200.0,3400.0,200.0,2.0,13.0,12,1,3400.0,3600,-200,-,
23/09/2024,10219484,9965584,11100,12200,10000,712,8.0,108,10600,10800,10800,10500,300,10633,10800,-300.0,-2.7,165,360,2088.0,4688.0,712.0,8.0,17.0,15,2,2800.0,5400,-2600,-,
20/09/2024,10219484,9965584,10900,11900,9900,605,7.0,111,10900,11100,11100,10900,200,10967,11100,200.0,1.83,424,278,8295.0,4395.0,605.0,7.0,21.0,18,3,8900.0,5000,3900,-,
19/09/2024,10219484,9965584,10600,11600,9600,188,2.0,109,10900,10900,10900,10900,-,10900,10900,300.0,2.83,553,563,9212.0,4312.0,188.0,2.0,17.0,8,9,9400.0,4500,4900,-,
18/09/2024,10219484,9965584,11000,12100,9900,7300,77.0,106,10500,10600,11000,10500,500,10599,10600,-400.0,-3.64,389,600,6300.0,2900.0,7300.0,77.0,35.0,17,18,13600.0,10200,3400,-,
17/09/2024,10219484,9965584,10800,11800,9800,1300,14.0,110,10800,11000,11300,10800,500,10885,11000,200.0,1.85,450,450,8600.0,3200.0,1300.0,14.0,22.0,10,12,9900.0,4500,5400,-,
16/09/2024,10219484,9965584,11900,13000,10800,23010,249.0,108,11700,10800,11900,10800,1100,10810,10800,-1100.0,-9.24,742,878,,5090.0,23010.0,249.0,31.0,32,-1,23000.0,28100,-5100,-,
13/09/2024,10219484,9965584,11900,13000,10800,103,1.0,119,11900,11900,11900,11900,-,11900,11900,,,100,730,197.0,7197.0,103.0,1.0,3.0,10,-7,300.0,7300,-7000,-,
12/09/2024,10219484,9965584,11400,12500,10300,110,1.0,119,11900,11900,11900,11900,-,11900,11900,500.0,4.39,157,307,990.0,4490.0,110.0,1.0,7.0,15,-8,1100.0,4600,-3500,-,
11/09/2024,10219484,9965584,11400,12500,10300,1,0.0,114,11400,11400,11400,11400,-,11400,11400,,,100,385,599.0,4999.0,1.0,0.0,6.0,13,-7,600.0,5000,-4400,-,
10/09/2024,10219484,9965584,11000,12100,9900,4200,46.0,114,10400,11400,11900,10400,1500,10766,11400,400.0,3.64,447,713,4300.0,7200.0,4200.0,46.0,19.0,16,3,8500.0,11400,-2900,-,
09/09/2024,10219484,9965584,11000,12100,9900,2000,22.0,110,11000,11000,11000,11000,-,11000,11000,,,445,700,2900.0,5700.0,2000.0,22.0,11.0,11,-,4900.0,7700,-2800,-,
06/09/2024,10219484,9965584,10900,11900,9900,2584,28.0,110,10600,11000,11000,10600,400,10614,11000,100.0,0.92,450,538,4616.0,1716.0,2584.0,28.0,16.0,8,8,7200.0,4300,2900,-,
05/09/2024,10219484,9965584,10700,11700,9700,6100,66.0,109,10800,10900,10900,10800,100,10818,10900,200.0,1.87,533,717,3500.0,2500.0,6100.0,66.0,18.0,12,6,9600.0,8600,1000,-,
04/09/2024,10219484,9965584,11100,12200,10000,500,5.0,107,11100,10700,11100,10600,500,10840,10700,-400.0,-3.6,236,355,2100.0,3400.0,500.0,5.0,11.0,11,-,2600.0,3900,-1300,-,
30/08/2024,10219484,9965584,11100,12200,10000,211,2.0,111,11100,11100,11100,11100,-,11100,11100,,,609,278,6489.0,2289.0,211.0,2.0,11.0,9,2,6700.0,2500,4200,-,
29/08/2024,10219484,9965584,11000,12100,9900,1395,15.0,111,11000,11100,11100,10500,600,10662,11100,100.0,0.91,567,281,10505.0,3105.0,1395.0,15.0,21.0,16,5,11900.0,4500,7400,-,
28/08/2024,10219484,9965584,11100,12200,10000,700,7.0,110,10600,11000,11000,10600,400,10600,11000,-100.0,-0.9,272,300,4200.0,2600.0,700.0,7.0,18.0,11,7,4900.0,3300,1600,-,
27/08/2024,10219484,9965584,11300,12400,10200,8110,90.0,111,11300,11100,11300,11000,300,11111,11100,-200.0,-1.77,831,680,2690.0,8890.0,8110.0,90.0,13.0,25,-12,10800.0,17000,-6200,-,
26/08/2024,10219484,9965584,11300,12400,10200,-,,113,11300,11300,11300,11300,-,11300,11300,,,411,269,3700.0,4300.0,,,9.0,16,-7,3700.0,4300,-600,-,
23/08/2024,10219484,9965584,11300,12400,10200,-,,113,11300,11300,11300,11300,-,11300,11300,,,400,194,3200.0,3100.0,,,8.0,16,-8,3200.0,3100,100,-,
22/08/2024,10219484,9965584,11300,12400,10200,-,,113,11300,11300,11300,11300,-,11300,11300,,,425,344,3400.0,3100.0,,,8.0,9,-1,3400.0,3100,300,-,
21/08/2024,10219484,9965584,11300,12400,10200,10,0.0,113,11300,11300,11300,11300,-,11300,11300,,,355,267,3890.0,3190.0,10.0,0.0,11.0,12,-1,3900.0,3200,700,-,
20/08/2024,10219484,9965584,11000,12100,9900,2804,30.0,113,10600,11300,11300,10400,900,10821,11300,300.0,2.73,567,400,12496.0,3196.0,2804.0,30.0,27.0,15,12,15300.0,6000,9300,-,
19/08/2024,10219484,9965584,11100,12200,10000,687,8.0,110,11000,11000,11100,11000,100,11020,11000,-100.0,-0.9,431,225,4913.0,2913.0,687.0,8.0,13.0,16,-3,5600.0,3600,2000,-,
16/08/2024,10219484,9965584,11100,12200,10000,15,0.0,111,11100,11100,11100,11100,-,11100,11100,,,542,413,6485.0,3285.0,15.0,0.0,12.0,8,4,6500.0,3300,3200,-,
15/08/2024,10219484,9965584,11100,12200,10000,-,,111,11100,11100,11100,11100,-,11100,11100,,,550,410,5500.0,4100.0,,,10.0,10,-,5500.0,4100,1400,-,
14/08/2024,10219484,9965584,11100,12200,10000,16,0.0,111,11100,11100,11100,11100,-,11100,11100,,,308,293,3684.0,4384.0,16.0,0.0,12.0,15,-3,3700.0,4400,-700,-,
13/08/2024,10219484,9965584,11100,12200,10000,500,6.0,111,11000,11100,11100,11000,100,11020,11100,,,420,225,5800.0,2200.0,500.0,6.0,15.0,12,3,6300.0,2700,3600,-,
12/08/2024,10219484,9965584,10900,11900,9900,1103,12.0,111,10900,11100,11100,10800,300,10964,11100,200.0,1.83,305,239,4697.0,3197.0,1103.0,12.0,19.0,18,1,5800.0,4300,1500,-,
09/08/2024,10219484,9965584,10700,11700,9700,200,2.0,109,10900,10900,10900,10900,-,10900,10900,200.0,1.87,508,529,6400.0,3500.0,200.0,2.0,13.0,7,6,6600.0,3700,2900,-,
08/08/2024,10219484,9965584,11000,12100,9900,9304,96.0,107,10300,10700,10700,10300,400,10302,10700,-300.0,-2.73,1000,920,7696.0,4496.0,9304.0,96.0,17.0,15,2,17000.0,13800,3200,-,
07/08/2024,10219484,9965584,10900,11900,9900,300,3.0,110,11000,11000,11000,10700,300,10900,11000,100.0,0.92,407,343,5400.0,4500.0,300.0,3.0,14.0,14,-,5700.0,4800,900,-,
06/08/2024,10219484,9965584,10400,11400,9400,1100,12.0,109,10400,10900,10900,10400,500,10564,10900,500.0,4.81,485,269,5200.0,2400.0,1100.0,12.0,13.0,13,-,6300.0,3500,2800,-,
05/08/2024,10219484,9965584,11000,12100,9900,10710,110.0,104,11400,10400,11400,10200,1200,10303,10400,-600.0,-5.45,600,729,5490.0,4590.0,10710.0,110.0,27.0,21,6,16200.0,15300,900,-,
02/08/2024,10219484,9965584,10800,11800,9800,1276,14.0,110,11400,11000,11400,11000,400,11317,11000,200.0,1.85,400,406,5124.0,5624.0,1276.0,14.0,16.0,17,-1,6400.0,6900,-500,-,
01/08/2024,10219484,9965584,11900,13000,10800,912,10.0,108,11000,10800,11000,10800,200,10822,10800,-1100.0,-9.24,667,292,3088.0,6088.0,912.0,10.0,6.0,24,-18,4000.0,7000,-3000,-,
31/07/2024,10219484,9965584,11400,12500,10300,104,1.0,119,11900,11900,11900,11900,-,11900,11900,500.0,4.39,1078,294,9596.0,4596.0,104.0,1.0,9.0,16,-7,9700.0,4700,5000,-,
30/07/2024,10219484,9965584,10900,11900,9900,600,7.0,114,10900,11400,11400,10900,500,11017,11400,500.0,4.59,333,688,4400.0,10400.0,600.0,7.0,15.0,16,-1,5000.0,11000,-6000,-,
29/07/2024,10219484,9965584,10900,11900,9900,-,,109,10900,10900,10900,10900,-,10900,10900,,,590,343,5900.0,2400.0,,,10.0,7,3,5900.0,2400,3500,-,
26/07/2024,10219484,9965584,10900,11900,9900,1,0.0,109,10900,10900,10900,10900,-,10900,10900,,,991,343,10899.0,2399.0,1.0,0.0,11.0,7,4,10900.0,2400,8500,-,
25/07/2024,10219484,9965584,10900,11900,9900,100,1.0,109,10900,10900,10900,10900,-,10900,10900,,,455,411,4900.0,3600.0,100.0,1.0,11.0,9,2,5000.0,3700,1300,-,
24/07/2024,10219484,9965584,10700,11700,9700,100,1.0,109,10900,10900,10900,10900,-,10900,10900,200.0,1.87,356,578,3100.0,5100.0,100.0,1.0,9.0,9,-,3200.0,5200,-2000,-,
23/07/2024,10219484,9965584,10700,11700,9700,15000,160.0,107,10700,10700,10700,10600,100,10633,10700,,,1188,1458,4000.0,2500.0,15000.0,160.0,16.0,12,4,19000.0,17500,1500,-,
22/07/2024,10219484,9965584,10700,11700,9700,5400,57.0,107,10500,10700,10700,10500,200,10559,10700,,,794,689,7300.0,7700.0,5400.0,57.0,16.0,19,-3,12700.0,13100,-400,-,
19/07/2024,10219484,9965584,10700,11700,9700,2000,21.0,107,10700,10700,10700,10500,200,10645,10700,,,479,600,7100.0,5200.0,2000.0,21.0,19.0,12,7,9100.0,7200,1900,-,
18/07/2024,10219484,9965584,10600,11600,9600,1000,11.0,107,10700,10700,10700,10700,-,10700,10700,100.0,0.94,506,755,7100.0,7300.0,1000.0,11.0,16.0,11,5,8100.0,8300,-200,-,
17/07/2024,10219484,9965584,10700,11700,9700,2700,28.0,106,10300,10600,10600,10300,300,10385,10600,-100.0,-0.93,704,721,14200.0,7400.0,2700.0,28.0,24.0,14,10,16900.0,10100,6800,-,
16/07/2024,10219484,9965584,11100,12200,10000,2100,22.0,107,10600,10700,11200,10400,800,10588,10700,-400.0,-3.6,842,650,18100.0,9600.0,2100.0,22.0,24.0,18,6,20200.0,11700,8500,-,
15/07/2024,10219484,9965584,11100,12200,10000,-,,111,11100,11100,11100,11100,-,11100,11100,,,364,867,4000.0,5200.0,,,11.0,6,5,4000.0,5200,-1200,-,
12/07/2024,10219484,9965584,11000,12100,9900,5500,63.0,111,11000,11100,11500,11000,500,11378,11100,100.0,0.91,855,674,13300.0,10000.0,5500.0,63.0,22.0,23,-1,18800.0,15500,3300,-,
11/07/2024,10219484,9965584,11000,12100,9900,7800,84.0,110,10900,11000,11000,10700,300,10754,11000,,,776,933,8500.0,6200.0,7800.0,84.0,21.0,15,6,16300.0,14000,2300,-,
10/07/2024,10219484,9965584,11000,12100,9900,-,,110,11000,11000,11000,11000,-,11000,11000,,,464,775,5100.0,9300.0,,,11.0,12,-1,5100.0,9300,-4200,-,
09/07/2024,10219484,9965584,11000,12100,9900,800,9.0,110,11000,11000,11000,11000,-,11000,11000,,,379,1188,4500.0,19400.0,800.0,9.0,14.0,17,-3,5300.0,20200,-14900,-,
08/07/2024,10219484,9965584,11000,12100,9900,218,2.0,110,11000,11000,11000,11000,-,11000,11000,,,717,1450,8382.0,17182.0,218.0,2.0,12.0,12,-,8600.0,17400,-8800,-,
05/07/2024,10219484,9965584,11000,12100,9900,100,1.0,110,11000,11000,11000,11000,-,11000,11000,,,473,538,7000.0,8500.0,100.0,1.0,15.0,16,-1,7100.0,8600,-1500,-,
04/07/2024,10219484,9965584,10900,11900,9900,700,8.0,110,10900,11000,11200,10900,300,11014,11000,100.0,0.92,613,878,13400.0,15100.0,700.0,8.0,23.0,18,5,14100.0,15800,-1700,-,
03/07/2024,10219484,9965584,11200,12300,10100,2400,26.0,109,10900,10900,11200,10900,300,10913,10900,-300.0,-2.68,506,571,6700.0,7300.0,2400.0,26.0,18.0,17,1,9100.0,9700,-600,-,
02/07/2024,10219484,9965584,11200,12300,10100,710,8.0,112,10800,11200,11200,10500,700,10786,11200,,,485,585,8990.0,6890.0,710.0,8.0,20.0,13,7,9700.0,7600,2100,-,
01/07/2024,10219484,9965584,11200,12300,10100,2930,32.0,112,11200,11200,11200,11000,200,11019,11200,,,520,727,7470.0,5070.0,2930.0,32.0,20.0,11,9,10400.0,8000,2400,-,
28/06/2024,10219484,9965584,11200,12300,10100,-,,112,11200,11200,11200,11200,-,11200,11200,,,543,1371,7600.0,9600.0,,,14.0,7,7,7600.0,9600,-2000,-,
27/06/2024,10219484,9965584,11200,12300,10100,19500,214.0,112,11100,11200,11200,10800,400,10962,11200,,,1155,2843,18600.0,20300.0,19500.0,214.0,33.0,14,19,38100.0,39800,-1700,-,
26/06/2024,10219484,9965584,11100,12200,10000,2300,26.0,112,11100,11200,11200,11000,200,11109,11200,100.0,0.9,368,775,6900.0,10100.0,2300.0,26.0,25.0,16,9,9200.0,12400,-3200,-,
25/06/2024,10219484,9965584,11600,12700,10500,9000,100.0,111,11100,11100,11500,11000,500,11082,11100,-500.0,-4.31,1200,913,16200.0,4700.0,9000.0,100.0,21.0,15,6,25200.0,13700,11500,-,
24/06/2024,10219484,9965584,11700,12800,10600,15312,168.0,116,11100,11600,11700,10700,1000,10971,11600,-100.0,-0.85,834,822,8888.0,3588.0,15312.0,168.0,29.0,23,6,24200.0,18900,5300,-,
